panel,patch_id,block,center_median_mm,n_stat_units,center_statistic,shaded_band,statistical_unit,bin_edge_lo_m,bin_edge_hi_m,range_center_m,band_q25_mm,band_q75_mm,bin_index
2B,0,0.0,47.11788985878225,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,1,0.0,48.545443452894645,68,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,2,0.0,48.37640002369875,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,3,0.0,26.44288633018725,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,4,0.0,51.789205521345096,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,5,0.0,50.67710950970645,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,6,0.0,96.15276567637915,54,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,7,0.0,52.3192416876554,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,8,0.0,62.1135458350181,67,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,9,0.0,88.44576217234129,54,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,10,0.0,62.630072236061054,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,11,0.0,78.69054563343525,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,12,0.0,100.4132479429245,49,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,13,0.0,79.0824051946401,52,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,14,0.0,102.22153924405569,58,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,15,0.0,50.9136421605944,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,16,0.0,49.926392734050694,68,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,17,0.0,56.32231477648015,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,18,0.0,80.100730061531,59,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,19,0.0,70.5847814679145,58,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,20,0.0,49.2528192698955,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,21,0.0,60.9193947166204,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,22,0.0,44.936075806617694,68,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,23,0.0,80.28951846063134,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,0,1.0,50.5626611411571,70,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
