order,scan,range_m,nearest_d,pred_et_mm_p2p,pred_eR_deg_p2p,pred_et_mm_p2l,pred_eR_deg_p2l,real_et_mm_p2p,real_eR_deg_p2p,real_et_mm_p2l,real_eR_deg_p2l,iters_p2p,iters_p2l,onbound_p2p,pred_dxi0_p2p,pred_dxi0_p2l,real_xi0_p2p,real_xi0_p2l,pred_dxi1_p2p,pred_dxi1_p2l,real_xi1_p2p,real_xi1_p2l,pred_dxi2_p2p,pred_dxi2_p2l,real_xi2_p2p,real_xi2_p2l,pred_dxi3_p2p,pred_dxi3_p2l,real_xi3_p2p,real_xi3_p2l,pred_dxi4_p2p,pred_dxi4_p2l,real_xi4_p2p,real_xi4_p2l,pred_dxi5_p2p,pred_dxi5_p2l,real_xi5_p2p,real_xi5_p2l,in_support,block_full,block_primary
0,0,19.77533705613384,2.412317086013498,25.827801577734245,0.5135371524517226,66.76853976301538,1.4161055717979052,95.99954471591228,2.0936156585348384,98.01468565429487,2.209862321176959,40,40,0,0.009935992208348066,0.019803417805226438,0.03138262074327464,0.034089201878017984,0.023831949418478215,0.0630348510393796,0.07667434369182152,0.07687808607603466,-0.0006241635118733223,-0.009616137465751573,-0.048498337294949186,-0.05034446146812753,0.004298775595136757,0.014959294629150587,0.0323798973741142,0.030947788844743116,0.0003082594736121087,0.0009139021093245115,-0.016873886887963485,-0.020130101295304834,-0.007858710733272583,-0.019653252913661996,0.0014217390484700127,0.01116288319434365,False,0,-1
1,1,19.77180584090904,2.411303360132923,25.25060767279778,0.4613532351551852,67.46692902258158,1.7352849034132456,98.42020889491306,2.0111238394018476,100.82918317067355,2.2024428436282792,40,19,0,0.011403373545520571,0.02150813465668813,0.03550310304994352,0.039602180500764396,0.02246268108321175,0.06271576793852048,0.07615542037259151,0.07582367263154388,-0.0017274889813821458,-0.012486757273587093,-0.05124860135279095,-0.05337566999218442,0.004238403303936805,0.021142898470471332,0.029353634369274354,0.0290743965853983,0.00018191348185006562,0.000927343206691968,-0.019235157607700778,-0.02438817678211346,-0.006843952823890645,-0.021665318491785455,-0.0006590103148486772,0.006125406924283723,False,0,-1
2,2,19.768727789319698,2.410787416132602,24.37456260626664,0.46263911213184633,64.6514405592736,1.6005368635609436,100.92541261307326,2.363968757235463,103.34949658703017,2.68489630994411,39,26,0,0.01151210913828751,0.021831520889158074,0.04088736852979299,0.04490063759602825,0.021304104660022992,0.05934943546235629,0.07485048348972172,0.07505745757261567,-0.0027795269507158494,-0.01344760098884357,-0.053958939270364444,-0.05505841671350254,0.004046837566785194,0.019509496078287888,0.033937714395011545,0.03502621873926123,-0.0002521926945690516,0.0008940305958527375,-0.02081967219215288,-0.031101185393725493,-0.0069827128094594945,-0.01997308879700861,-0.01082039865053826,-0.0013289746574335422,False,0,-1
3,3,19.7663114259606,2.4104424244366762,24.08344473170234,0.4487260273928567,63.28011698973398,1.1831754621146344,103.43658297443832,2.208967320236248,106.27442464787259,2.4035132617128374,40,40,0,0.011965603935005493,0.021626684046360502,0.04148044563197053,0.04623540309859558,0.020577633896116523,0.05730253400655178,0.07423627505896488,0.0740376276527117,-0.003660275379385905,-0.015908467551002302,-0.05888526804703117,-0.06062153516783576,0.004104132252461589,0.004856560150384609,0.028957089100357374,0.0289924287583018,-0.0006276144983159261,-0.0005196906006809301,-0.02384957645728687,-0.030292878741070447,-0.006640666651395668,-0.02006436997923261,-0.008892499600860552,0.0012319227194292238,False,0,-1
4,4,19.75545285620966,2.4060899998539815,24.23978622479507,0.4275439439762081,64.91274561993936,0.9899621142986876,114.55928253657531,2.1733531951142715,117.30071072514342,2.3363309287610345,40,40,0,0.014101456784324748,0.02498184605697968,0.0439639736827316,0.048106661936283594,0.01910809272306073,0.05530165113899635,0.07931022108178458,0.0798813695508511,-0.004857668707363629,-0.02304993042950603,-0.07000633589381339,-0.07116300030670615,0.004293980153168434,0.0031115530419341965,0.028085696854915757,0.027767341301731016,-0.001453622085300533,-0.004267251693868004,-0.022644066163091853,-0.028977626317790127,-0.005927132553478877,-0.016451184873507427,-0.011717053795043075,0.007211692705898417,False,0,-1
5,5,19.725484934043543,2.3928000686679907,24.32189092434754,0.39989330946462687,66.0440476683865,1.2061922469124455,122.09194798541746,2.0255932359548705,125.44836125058212,1.632535712724237,40,40,0,0.015391094041431188,0.026582179674842422,0.05736633732368191,0.061445008764317126,0.018085737660248655,0.056099197025837225,0.08296832853245473,0.08380892456215473,-0.0052511613599606636,-0.022540719802499592,-0.06878810627913873,-0.07026995376506665,0.0038772542396166075,0.00875207787532314,0.025660793664697087,0.021029951393542884,-0.001205975398918663,-0.003117681088309055,-0.016946812155460657,-0.019047262326550164,-0.005676734421777291,-0.018890976715893588,-0.01744084332840021,-0.0026078765524339687,False,0,-1
6,6,19.6841115890861,2.3740499347238715,24.509371090017993,0.4060217006124468,66.31496547737297,1.9411962566591805,120.54595131838991,1.7159560530525804,126.04775662764672,1.8706143728219529,40,40,0,0.016046355195032006,0.026922785674570154,0.058004098861467984,0.06388714932392754,0.01762506627951839,0.05662301011134798,0.08061997591246738,0.08165416971033838,-0.005707958901889784,-0.021602615205491026,-0.06831742368091656,-0.07168727691187537,0.004110235849267712,0.02440654538086192,0.025583101041274658,0.019678724608422328,-0.0008533596636762426,0.00020672793268218873,-0.011559393654904531,-0.008092549304814654,-0.005709205140077567,-0.023497877298882888,-0.010432302176748216,0.024762373669922313,False,0,-1
7,7,19.643162121212512,2.3551577738569986,23.891387978293253,0.35809489614862094,67.22645809260139,2.6242600810706826,117.28662637024482,1.4921662756581848,121.62494445217298,2.060295247443522,40,40,0,0.016122720980548975,0.024487258721537293,0.05517412711434896,0.059412638425973226,0.01676668789107233,0.05944395151774327,0.07617083156191364,0.07802462879816895,-0.005452931768880833,-0.019651652753317594,-0.07007119837457934,-0.07193693633431075,0.0035579646782164373,0.035350001942926756,0.019803113712639688,0.014252525298478208,-0.00027789437808439484,0.0014337603825575317,-0.016885661982994776,-0.010751904931802923,-0.005130823444845802,-0.02908853656968581,0.000979861235503666,0.03121389297530699,False,0,-1
8,8,19.60276369526919,2.336853298356153,23.729586993280837,0.3471438389460416,65.73910787691673,2.4222645025275504,113.82475768546067,1.6416710699872845,117.36886898895364,2.1889730447321307,40,40,0,0.016861870499743446,0.02661168414279625,0.052702530133928685,0.05581859265710255,0.01543250248927164,0.05279474265090511,0.07179930937761801,0.07419444117074772,-0.006372479034111399,-0.028743063858288377,-0.07087579242966721,-0.07179777866262352,0.004125436597977778,0.034079836425822484,0.023028379727309246,0.020457440491715523,-0.00022532475491487524,-0.0034102529376158035,-0.017023165217304344,-0.014960095218201054,-0.004431601858396729,-0.024783797305448187,0.0009354557526994632,0.028588361604298243,False,0,-1
9,9,19.56301223570605,2.319184343424167,24.39371828747337,0.31360704962415753,63.33889505537962,1.998882936061514,112.47938224994843,2.0635590381319826,115.13286852184841,2.3644625361963505,40,40,0,0.019038711563708326,0.028624437176849617,0.0515051095679714,0.05271780097954895,0.013920353852235678,0.049588239219862176,0.0676689852608378,0.07065851023788813,-0.006229342060850303,-0.02708253596358188,-0.07361890758147524,-0.07405258810407749,0.003747302206699463,0.026229371767563327,0.02879129003588515,0.023438449528362444,-0.000601380523685855,-0.00333441955808751,-0.020145915573804865,-0.018302656264184446,-0.003943983074263567,-0.022759847398632366,0.007896120714328998,0.028612432850119312,False,0,-1
