dataset,order,scan,block_full,in_support,condition,kind,n_points,gt_norm,gr_norm,residual_rms_mm,trans_error_mm,rot_error_deg,patch_spread_mm
IV,0,0,0,False,raw,p2p,9515,0.05769231255714968,0.016422657116534352,66.83037720127457,104.25570412650734,1.8842031441601357,168.79952168813125
IV,0,0,0,False,raw,p2l,9515,0.05448860387344483,0.01098469943440852,63.79505021516268,100.17099015131957,1.624924995977445,168.79952168813125
IV,0,0,0,False,N1,p2p,9515,0.01992834547061947,0.014897459721230405,54.78947821058473,89.75431040567409,1.9557567577601227,163.47447818975232
IV,0,0,0,False,N1,p2l,9515,0.015906604157720234,0.010005286865494052,51.12042278832497,86.36778447327708,1.6577275440736294,163.47447818975232
IV,0,0,0,False,N2,p2p,9515,0.017507478668232074,0.013985425140030878,54.384594472451504,90.9759461839286,3.58824044087343,167.87213672395748
IV,0,0,0,False,N2,p2l,9515,0.013491112727449985,0.01259648442037739,50.76787893988137,86.932564803975,4.011041915288873,167.87213672395748
IV,0,0,0,False,N3,p2p,9515,0.032013116653856956,0.017319221133473353,62.806317083178925,98.5366330472398,1.903859715647591,180.15847722047883
IV,0,0,0,False,N3,p2l,9515,0.029993542183215923,0.01377244418430213,59.49309594513585,94.74086046960574,2.051684076157896,180.15847722047883
IV,1,1,0,False,raw,p2p,9491,0.05885460535028677,0.016336354220053584,67.85924105421356,103.72556786256061,1.9979077142695425,168.61026211056335
IV,1,1,0,False,raw,p2l,9491,0.05410413808915293,0.01281892590273341,64.264313907503,99.04390750199865,1.9310556363623113,168.61026211056335
IV,1,1,0,False,N1,p2p,9491,0.01907802844312741,0.014267667765853845,55.54550418081314,88.61145713879563,2.024456051751482,162.59914028582574
IV,1,1,0,False,N1,p2l,9491,0.012794101937925089,0.009498568170484225,51.080086172755344,85.54294454520497,1.9709757154886902,162.59914028582574
IV,1,1,0,False,N2,p2p,9491,0.017126656567021684,0.013119366129208483,55.286435486650525,90.56624585331954,3.8175331771547025,129.62562332645922
IV,1,1,0,False,N2,p2l,9491,0.012924540380127168,0.010406648043584186,51.092786961853434,86.86385418526748,4.342421091355727,129.62562332645922
IV,1,1,0,False,N3,p2p,9491,0.033043006338436105,0.016937727355818378,63.846587251549956,96.5107694442831,2.003332144263708,179.3275997960727
IV,1,1,0,False,N3,p2l,9491,0.030341923293050365,0.01251416458983834,59.79604081613932,90.60362733933158,2.4140001165792406,179.3275997960727
IV,2,2,0,False,raw,p2p,9473,0.058393246628974146,0.016323727660969206,67.45466628368085,104.23744113003553,1.8133676238165253,173.2008732705081
IV,2,2,0,False,raw,p2l,9473,0.053735414233810036,0.012979273236877541,64.24292097010333,99.42839208953852,1.8290399895833793,173.2008732705081
IV,2,2,0,False,N1,p2p,9473,0.019525029471624936,0.014089982940051295,55.34731253584022,89.76938750594528,1.704557659794704,167.76699209014217
IV,2,2,0,False,N1,p2l,9473,0.014020382104644347,0.010755902238758108,51.16623663219957,86.20622472336314,1.909417861520453,167.76699209014217
IV,2,2,0,False,N2,p2p,9473,0.01669757898958123,0.012624433691042117,54.99080509940457,92.35739699479218,3.3967912722417024,174.6116120692826
IV,2,2,0,False,N2,p2l,9473,0.017158760539498795,0.015835095826664862,50.21623665499948,87.32761842082232,4.196328590004633,174.6116120692826
IV,2,2,0,False,N3,p2p,9473,0.032690457046209785,0.016909638302433274,63.480570688039734,99.47217962711436,1.9585409933414337,184.69800625307477
IV,2,2,0,False,N3,p2l,9473,0.028741357476969664,0.012365236579295634,59.95123269450326,94.56209972788058,2.4813825854168816,184.69800625307477
IV,3,3,0,False,raw,p2p,9509,0.058822160536474606,0.016977290815295504,66.33242294629017,99.59022249346992,1.5913613571104137,43.68183849360112
IV,3,3,0,False,raw,p2l,9509,0.05434829235221021,0.013351299933354028,63.14495844259785,94.86270527124553,1.4909755242210232,43.68183849360112
IV,3,3,0,False,N1,p2p,9509,0.01908816598882637,0.014481214731402802,53.90509555868388,84.58795898879218,1.5936735979490504,47.75747759463207
IV,3,3,0,False,N1,p2l,9509,0.012437102697438949,0.01134471060893208,49.927821670012534,79.9254625818734,1.3889397379923787,47.75747759463207
