dataset,order,cond,max_abs_dg,max_abs_dJ0,max_abs_dxistar
IV,0,raw,0.0,0.0,0.0
IV,0,N1,0.0,0.0,0.0
IV,0,N2,0.0,0.0,0.0
IV,0,N3,0.0,0.0,0.0
IV,485,raw,0.0,0.0,0.0
IV,485,N1,0.0,0.0,0.0
IV,485,N2,0.0,0.0,0.0
IV,485,N3,0.0,0.0,0.0
IV,970,raw,0.0,0.0,0.0
IV,970,N1,0.0,0.0,0.0
IV,970,N2,0.0,0.0,0.0
IV,970,N3,0.0,0.0,0.0
IV,1456,raw,0.0,0.0,0.0
IV,1456,N1,0.0,0.0,0.0
IV,1456,N2,0.0,0.0,0.0
IV,1456,N3,0.0,0.0,0.0
IV,1941,raw,0.0,0.0,0.0
IV,1941,N1,0.0,0.0,0.0
IV,1941,N2,0.0,0.0,0.0
IV,1941,N3,0.0,0.0,0.0
IV,2427,raw,0.0,0.0,0.0
IV,2427,N1,0.0,0.0,0.0
IV,2427,N2,0.0,0.0,0.0
IV,2427,N3,0.0,0.0,0.0
II,0,raw,0.0,0.0,0.0
II,0,N1,0.0,0.0,0.0
II,0,N2,0.0,0.0,0.0
II,0,N3,0.0,0.0,0.0
II,250,raw,0.0,0.0,0.0
II,250,N1,0.0,0.0,0.0
II,250,N2,0.0,0.0,0.0
II,250,N3,0.0,0.0,0.0
II,500,raw,0.0,0.0,0.0
II,500,N1,0.0,0.0,0.0
II,500,N2,0.0,0.0,0.0
II,500,N3,0.0,0.0,0.0
II,751,raw,0.0,0.0,0.0
II,751,N1,0.0,0.0,0.0
II,751,N2,0.0,0.0,0.0
II,751,N3,0.0,0.0,0.0
II,1001,raw,0.0,0.0,0.0
II,1001,N1,0.0,0.0,0.0
II,1001,N2,0.0,0.0,0.0
II,1001,N3,0.0,0.0,0.0
II,1252,raw,0.0,0.0,0.0
II,1252,N1,0.0,0.0,0.0
II,1252,N2,0.0,0.0,0.0
II,1252,N3,0.0,0.0,0.0
V,0,raw,0.0,0.0,0.0
V,0,N1,0.0,0.0,0.0
V,0,N2,0.0,0.0,0.0
V,0,N3,0.0,0.0,0.0
V,373,raw,0.0,0.0,0.0
V,373,N1,0.0,0.0,0.0
V,373,N2,0.0,0.0,0.0
V,373,N3,0.0,0.0,0.0
V,746,raw,0.0,0.0,0.0
V,746,N1,0.0,0.0,0.0
V,746,N2,0.0,0.0,0.0
V,746,N3,0.0,0.0,0.0
V,1120,raw,0.0,0.0,0.0
V,1120,N1,0.0,0.0,0.0
V,1120,N2,0.0,0.0,0.0
V,1120,N3,0.0,0.0,0.0
V,1493,raw,0.0,0.0,0.0
V,1493,N1,0.0,0.0,0.0
V,1493,N2,0.0,0.0,0.0
V,1493,N3,0.0,0.0,0.0
V,1867,raw,0.0,0.0,0.0
V,1867,N1,0.0,0.0,0.0
V,1867,N2,0.0,0.0,0.0
V,1867,N3,0.0,0.0,0.0
