trajectory,arm,n,rms_delta_mm,gt_norm,gr_norm,pjw_delta_mm,et_mm,eR_deg
II,full,428,77.42167636395388,0.030667651519819494,0.004728565368692455,20.70580233380941,68.8585295049208,2.2479043673156216
II,patch,428,79.07994261673,0.022825079605624916,0.004002127350138284,16.016101265863107,41.77723740078632,1.2694027224561912
II,raw,428,84.6722987985078,0.0516363367717084,0.008106860805886384,28.286367620199677,66.14920168537466,1.7742670258913975
III,full,371,59.54241499862916,0.019510743606009906,0.0041997363595778076,12.382763528429571,51.23756950157603,2.641464510948353
III,patch,371,59.4987707339034,0.01736572477282442,0.004120524226927458,11.757952949746343,41.29782690845897,2.116023558976764
III,raw,371,69.6308404179091,0.04599586387109186,0.004958482948812432,25.79582363025918,75.03685823906689,1.6582788034687348
IV,full,156,70.5342117973556,0.033488087319410775,0.00954607382854152,22.01772399404682,82.89797130448864,2.4644492346945155
IV,patch,156,85.91034940736729,0.04028479950787925,0.009100108308899757,27.24087977855032,126.26002467918383,4.0003627437297276
IV,raw,156,99.4370110645538,0.06583864179700193,0.00855411005368134,40.317054342406266,160.423862077838,4.006055547406119
V,full,1868,88.58388782757982,0.049331320048173574,0.016004866033815034,41.76087638691237,118.45232561236567,3.2063809417279634
V,patch,1868,95.26309516910017,0.05919978314142448,0.018206987590137214,49.17887538883314,134.5754189314069,3.619855131502801
V,raw,1868,106.56440677706392,0.06852297364213064,0.016977935458973827,54.918111704773224,173.7605206910253,3.026001479697481
VI,full,501,67.045707975817,0.03103298346439587,0.006376462328069194,19.293593406730427,76.85698936670394,2.880859773738778
VI,patch,501,84.97193779494995,0.043551224484589694,0.006301504754177858,26.350544193095782,116.81527871617058,4.66731556808484
VI,raw,501,104.14727262480069,0.06872357221301749,0.004525619387182229,38.157197227998424,161.4078916359028,4.509032326167583
