trajectory,comparison,metric,error,spearman_rho,p,K
VI,raw_to_patch,rms_delta_mm,et_mm,-0.08571428571428573,0.8717434402332361,6
VI,raw_to_patch,rms_delta_mm,eR_deg,0.028571428571428574,0.9571545189504373,6
VI,raw_to_patch,gt_norm,et_mm,-0.6,0.208,6
VI,raw_to_patch,gt_norm,eR_deg,-0.4285714285714286,0.3965014577259473,6
VI,raw_to_patch,gr_norm,et_mm,-0.2571428571428572,0.6227871720116619,6
VI,raw_to_patch,gr_norm,eR_deg,-0.08571428571428573,0.8717434402332361,6
VI,raw_to_patch,pjw_delta_mm,et_mm,-0.6,0.208,6
VI,raw_to_patch,pjw_delta_mm,eR_deg,-0.4285714285714286,0.3965014577259473,6
VI,raw_to_full,rms_delta_mm,et_mm,-0.6,0.208,6
VI,raw_to_full,rms_delta_mm,eR_deg,-0.3142857142857143,0.5440932944606415,6
VI,raw_to_full,gt_norm,et_mm,-0.6,0.208,6
VI,raw_to_full,gt_norm,eR_deg,-0.3142857142857143,0.5440932944606415,6
VI,raw_to_full,gr_norm,et_mm,0.6,0.208,6
VI,raw_to_full,gr_norm,eR_deg,0.6,0.208,6
VI,raw_to_full,pjw_delta_mm,et_mm,0.14285714285714288,0.7871720116618076,6
VI,raw_to_full,pjw_delta_mm,eR_deg,0.14285714285714288,0.7871720116618076,6
IV,raw_to_patch,rms_delta_mm,et_mm,0.7999999999999999,0.2000000000000001,4
IV,raw_to_patch,rms_delta_mm,eR_deg,-0.7999999999999999,0.2000000000000001,4
IV,raw_to_patch,gt_norm,et_mm,0.7999999999999999,0.2000000000000001,4
IV,raw_to_patch,gt_norm,eR_deg,-0.7999999999999999,0.2000000000000001,4
IV,raw_to_patch,gr_norm,et_mm,-0.6000000000000001,0.4,4
IV,raw_to_patch,gr_norm,eR_deg,1.0,0.0,4
IV,raw_to_patch,pjw_delta_mm,et_mm,1.0,0.0,4
IV,raw_to_patch,pjw_delta_mm,eR_deg,-0.6000000000000001,0.4,4
IV,raw_to_full,rms_delta_mm,et_mm,1.0,0.0,4
IV,raw_to_full,rms_delta_mm,eR_deg,0.39999999999999997,0.6000000000000001,4
IV,raw_to_full,gt_norm,et_mm,1.0,0.0,4
IV,raw_to_full,gt_norm,eR_deg,0.39999999999999997,0.6000000000000001,4
IV,raw_to_full,gr_norm,et_mm,-1.0,0.0,4
IV,raw_to_full,gr_norm,eR_deg,-0.39999999999999997,0.6000000000000001,4
IV,raw_to_full,pjw_delta_mm,et_mm,1.0,0.0,4
IV,raw_to_full,pjw_delta_mm,eR_deg,0.39999999999999997,0.6000000000000001,4
II,raw_to_patch,rms_delta_mm,et_mm,0.9166666666666666,0.0005066190663052083,9
II,raw_to_patch,rms_delta_mm,eR_deg,0.43333333333333335,0.24395243588005172,9
II,raw_to_patch,gt_norm,et_mm,0.7999999999999999,0.009627924725379839,9
II,raw_to_patch,gt_norm,eR_deg,0.43333333333333335,0.24395243588005172,9
II,raw_to_patch,gr_norm,et_mm,0.21666666666666667,0.5755148957119259,9
II,raw_to_patch,gr_norm,eR_deg,0.38333333333333336,0.3084952723803716,9
II,raw_to_patch,pjw_delta_mm,et_mm,0.75,0.01994212613199253,9
II,raw_to_patch,pjw_delta_mm,eR_deg,0.39999999999999997,0.286105101908313,9
II,raw_to_full,rms_delta_mm,et_mm,0.5499999999999999,0.12497678418833194,9
II,raw_to_full,rms_delta_mm,eR_deg,0.06666666666666667,0.8646897846262036,9
II,raw_to_full,gt_norm,et_mm,0.8666666666666667,0.002495398285990204,9
II,raw_to_full,gt_norm,eR_deg,0.16666666666666669,0.668231040071504,9
II,raw_to_full,gr_norm,et_mm,-0.15,0.7000942309691418,9
II,raw_to_full,gr_norm,eR_deg,-0.26666666666666666,0.48792227483870076,9
II,raw_to_full,pjw_delta_mm,et_mm,0.8499999999999999,0.0037047773275858125,9
II,raw_to_full,pjw_delta_mm,eR_deg,0.13333333333333333,0.7323675052362973,9
III,raw_to_patch,rms_delta_mm,et_mm,0.3571428571428572,0.38512064355625614,8
III,raw_to_patch,rms_delta_mm,eR_deg,-0.1666666666666667,0.693238811728395,8
III,raw_to_patch,gt_norm,et_mm,0.14285714285714288,0.735764859879812,8
III,raw_to_patch,gt_norm,eR_deg,-0.6666666666666669,0.07098765432098755,8
III,raw_to_patch,gr_norm,et_mm,0.09523809523809526,0.8225054302036114,8
III,raw_to_patch,gr_norm,eR_deg,-0.04761904761904763,0.9108491685195836,8
III,raw_to_patch,pjw_delta_mm,et_mm,0.261904761904762,0.530922861565801,8
III,raw_to_patch,pjw_delta_mm,eR_deg,-0.6190476190476191,0.10173303745426478,8
III,raw_to_full,rms_delta_mm,et_mm,0.5714285714285715,0.13895995716070672,8
III,raw_to_full,rms_delta_mm,eR_deg,0.7380952380952381,0.03655276105286081,8
III,raw_to_full,gt_norm,et_mm,0.6666666666666669,0.07098765432098755,8
III,raw_to_full,gt_norm,eR_deg,0.261904761904762,0.530922861565801,8
III,raw_to_full,gr_norm,et_mm,0.04761904761904763,0.9108491685195836,8
III,raw_to_full,gr_norm,eR_deg,0.0,1.0,8
III,raw_to_full,pjw_delta_mm,et_mm,0.5714285714285715,0.13895995716070672,8
III,raw_to_full,pjw_delta_mm,eR_deg,0.2380952380952381,0.5701563208157683,8
