traj,block,median
vi,0,0.07525868527983201
vi,1,0.07161290021832505
vi,2,0.0796937897170348
vi,3,0.07059442563360166
vi,4,0.0579162199184364
vi,5,0.0630915649076617
iv,4,0.06956008869598025
iv,5,0.06378982664120295
iv,6,0.06817557476419411
iv,7,0.07089972153773605
ii,2,0.0424303246406803
ii,3,0.053775147059566694
ii,4,0.03114496962221645
ii,5,0.058709663900157597
ii,6,0.08218153770163195
ii,7,0.0524993993240313
ii,8,0.0525811754571901
ii,9,0.26380026063124407
ii,10,0.093450088806021
ii,12,0.0292264465061649
ii,13,0.035008615207694355
ii,14,0.0295059328261535
iii,3,0.0555355231084544
iii,4,0.04981692576654615
iii,5,0.054467962447308005
iii,6,0.044335019780590595
iii,7,0.0442446752881161
iii,8,0.041277276875851504
iii,9,0.03638701756577325
iii,10,0.0465890326176805
