geometry,dtype,mag,J0,gradient,error,n,bound_fraction,residual_rms_mm
GA,D1_appendage_disp,0.0,1.1959774995038576e-05,3.262381907964629e-05,0.0196690090043641,20,0.0,3.458290762072873
GA,D1_appendage_disp,2.0,1.4087256767249819e-05,0.002069812020604,1.0762385216507087,20,0.0,3.7532994507832464
GA,D1_appendage_disp,5.0,2.503312676324202e-05,0.0051290710488182,2.7706031610308224,20,0.0,5.003311579668212
GA,D1_appendage_disp,10.0,6.31410549538139e-05,0.010187724894873101,8.928474981074032,20,0.0,7.946134591977027
GA,D1_appendage_disp,25.0,0.00033085000257065,0.0255116180271415,18.66100615125641,20,0.0,18.1892826293576
GA,D1_appendage_disp,50.0,0.00128842487562635,0.051043674673671394,39.16299536763985,20,0.0,35.89463575001632
GA,D1_appendage_disp,100.0,0.0051129874903162505,0.1019468188339472,80.72999486975826,20,0.0,71.50515708895583
GA,D2_missing_component,0.0,1.1959876163095e-05,2.6461111240063872e-05,0.01431820857046575,20,0.0,3.458305388928948
GA,D2_missing_component,0.25,0.00134959849829565,3.2606297496639776e-05,0.0166850166241031,20,0.0,36.736881989298574
GA,D2_missing_component,0.5,0.009732679667027101,0.0002055925644648,0.06270682893824905,20,0.0,98.65434439003232
GA,D2_missing_component,0.75,0.02746173249567145,4.290020303409064e-05,0.0167861779837093,20,0.0,165.71581848354566
GA,D2_missing_component,0.9,0.047332777330376954,3.308483057481709e-05,0.017579143138981297,20,0.0,217.56097382199997
GA,D2_missing_component,1.0,0.17391053550482993,0.4073463899304237,324.7052963979644,20,1.0,417.0258211487988
GA,D3_local_surface_off,0.0,1.1956693373183075e-05,3.621239412116307e-05,0.01628186857932435,20,0.0,3.457845192194566
GA,D3_local_surface_off,2.0,1.2077870629478982e-05,0.0001307018959961,0.06041259208406695,20,0.0,3.4753230971348525
GA,D3_local_surface_off,5.0,1.2681976318548115e-05,0.0003036222161162,0.14495318505994295,20,0.0,3.5611762549118677
GA,D3_local_surface_off,10.0,1.48415026724948e-05,0.0005996195775389501,0.2937947036830061,20,0.0,3.8524670890865247
GA,D3_local_surface_off,25.0,2.9089626877112315e-05,0.001057244560486,0.5559651619393513,20,0.0,5.393480033995891
GA,D3_local_surface_off,50.0,5.928168844648646e-05,0.0018318857241737,0.901318928291024,20,0.0,7.699460269816739
GA,D3_local_surface_off,100.0,0.00021025159430215,0.00441460327976985,2.3499286835345243,20,0.0,14.500054975831988
GA,D4_appendage_scale,0.0,1.1962319141071678e-05,3.2066499297773944e-05,0.0158716506845824,20,0.0,3.45865857538319
GA,D4_appendage_scale,0.005,1.3817395987947702e-05,0.00031134904318475,0.5774229995002036,20,0.0,3.7171758080493986
GA,D4_appendage_scale,0.01,1.545585021565059e-05,0.000159031955547,0.22821397882173589,20,0.0,3.9313929103627623
GA,D4_appendage_scale,0.025,1.7170157275584554e-05,0.00027653927105865,0.19384337358809756,20,0.0,4.143688848789753
GA,D4_appendage_scale,0.05,2.9214767994819058e-05,0.0008220067095304499,0.6190900067007652,20,0.0,5.405068731738669
GA,D4_appendage_scale,0.1,0.00010834236491285,0.0026574109458403997,1.8908795142658779,20,0.0,10.408763851334605
GA,D5_appendage_tilt,0.0,1.1975698755154788e-05,3.0148897576205977e-05,0.015729098473766,20,0.0,3.460592254969485
GA,D5_appendage_tilt,0.1,1.5002348910095933e-05,0.0010983607010799,0.17955118716894436,20,0.0,3.873286577326281
GA,D5_appendage_tilt,0.25,2.572041186139914e-05,0.00170934151145025,0.42173407111689987,20,0.0,5.071529538649966
GA,D5_appendage_tilt,0.5,2.68703843998235e-05,0.0027155834507211,0.06676124100194185,20,0.0,5.183665151205612
GA,D5_appendage_tilt,1.0,7.128780174099703e-05,0.0058238512836802005,0.8177013668517481,20,0.0,8.443210393031611
GA,D5_appendage_tilt,2.0,0.0002437311000922,0.012902452464495201,0.10006974128485241,20,0.0,15.611889702793828
GB,D1_appendage_disp,0.0,1.1987108966417316e-05,3.6201362375643654e-05,0.01826924999541785,20,0.0,3.462240454736978
GB,D1_appendage_disp,2.0,1.3716005734300349e-05,0.0017293769549176,0.9053625984659606,20,0.0,3.703512621053201
GB,D1_appendage_disp,5.0,2.26670364822036e-05,0.0042936379867605495,2.2974478032050936,20,0.0,4.760991123936654
GB,D1_appendage_disp,10.0,5.490895856032264e-05,0.0085924497455496,9.779203418296412,20,0.0,7.410057932318926
GB,D1_appendage_disp,25.0,0.00027985433832275,0.0214315466236484,17.564955333848218,20,0.0,16.728847489374456
GB,D1_appendage_disp,50.0,0.00108304953283315,0.0428523817041493,39.46576946794377,20,0.0,32.909717908744675
GB,D1_appendage_disp,100.0,0.00429500048515385,0.08566458717179115,80.76725997516454,20,0.0,65.53625321265972
GB,D2_missing_component,0.0,1.1950862637112722e-05,3.396694666748803e-05,0.0221387451390143,20,0.0,3.4570019723906324
GB,D2_missing_component,0.25,0.00269133832744855,4.503407208824029e-05,0.025629368933027648,20,0.0,51.87811029180371
GB,D2_missing_component,0.5,0.0191142801087928,4.7816718792672644e-05,0.0274922430223747,20,0.0,138.25440357830487
GB,D2_missing_component,0.75,0.0527119625517821,4.721790088126205e-05,0.027013146551195952,20,0.0,229.59085903359068
GB,D2_missing_component,0.9,0.0951763851718614,5.8463762976771246e-05,0.0285337726101636,20,0.0,308.5067019885652
GB,D2_missing_component,1.0,0.31994647396624176,0.6852223902262677,300.0,20,1.0,565.6381121938671
GB,D3_local_surface_off,0.0,1.198991239509732e-05,3.948742579608485e-05,0.02349005613181005,20,0.0,3.462645288662603
GB,D3_local_surface_off,2.0,1.2105926250320133e-05,0.0001670389912987,0.13162325559037916,20,0.0,3.4793571604996423
GB,D3_local_surface_off,5.0,1.2950933900733339e-05,0.00040171981045205,0.317004148990387,20,0.0,3.598740599255987
GB,D3_local_surface_off,10.0,1.575161400337628e-05,0.0007763646547663001,0.620566039533851,20,0.0,3.968830306699479
GB,D3_local_surface_off,25.0,3.5376643312506816e-05,0.00192474536417655,1.58016359530089,20,0.0,5.9478267722342775
GB,D3_local_surface_off,50.0,0.0001055612811535,0.0038482454366603504,3.5836471943425097,20,0.0,10.274301978893748
GB,D3_local_surface_off,100.0,0.00038585371133415,0.0076681940538865,13.845619655957329,20,0.0,19.643159403063194
GB,D4_appendage_scale,0.0,1.1984506903160721e-05,3.8982852198956355e-05,0.023415733117262298,20,0.0,3.4618646569675025
GB,D4_appendage_scale,0.005,1.3747990948153803e-05,0.0002644839714718,0.16948227575330005,20,0.0,3.7078283331559194
GB,D4_appendage_scale,0.01,1.483616616476377e-05,0.00013646539308835,0.0411646026577121,20,0.0,3.8517744176890436
GB,D4_appendage_scale,0.025,1.648138147157809e-05,0.00039734132823274996,0.05835866326949135,20,0.0,4.059726773020334
GB,D4_appendage_scale,0.05,2.8417299777467155e-05,0.0012609775393094,0.18394905310935966,20,0.0,5.330787913382707
GB,D4_appendage_scale,0.1,0.00010800638341615,0.00436552284486525,0.7732868653090856,20,0.0,10.392611963127942
GB,D5_appendage_tilt,0.0,1.1955444921944663e-05,3.4522518921150264e-05,0.024432070636815753,20,0.0,3.4576646630268617
GB,D5_appendage_tilt,0.1,1.5280007017351367e-05,0.0008884340918781501,0.13376831502726,20,0.0,3.908964954735635
GB,D5_appendage_tilt,0.25,2.4707848263611106e-05,0.00158805152808335,0.3476693475569732,20,0.0,4.970698971333016
