trajectory,loss,field,n,q25,median,q75
vi,ls,et_mm,501,152.70978278288007,161.4078916359028,168.44528313870774
vi,huber,et_mm,501,141.1590681495923,148.89218795717866,155.27008807498268
vi,trim,et_mm,501,134.29923260982906,144.76727027751295,149.66378812562292
iv,ls,et_mm,156,155.9652361070568,160.423862077838,164.9181833365643
iv,huber,et_mm,156,129.78010435501523,132.56240261356217,137.74681418304988
iv,trim,et_mm,156,120.37774483658254,125.20455103544867,131.2629376222437
ii,ls,et_mm,428,56.05622781927296,66.14920168537466,93.7099404086743
ii,huber,et_mm,428,37.2035207627341,50.896762880148486,64.42596751337776
ii,trim,et_mm,428,35.92466672172632,47.31514450153497,56.757844814787816
iii,ls,et_mm,371,54.04778861708195,75.03685823906689,86.37978732748773
iii,huber,et_mm,371,41.034981873995164,55.890951830742615,61.14496076340186
iii,trim,et_mm,371,44.227511795833166,55.03018006664552,58.40678526503709
vi,ls,eR_deg,501,3.857759547284926,4.509032326167583,5.007369806393239
vi,huber,eR_deg,501,3.329901824509544,3.946522813593576,4.460226305170366
vi,trim,eR_deg,501,3.1804923315855387,3.773222206815592,4.306651785594891
iv,ls,eR_deg,156,3.5530973815376594,4.006055547406119,4.434011171279623
iv,huber,eR_deg,156,3.0874654023769805,3.401346458758705,3.761057978381865
iv,trim,eR_deg,156,2.82578858285076,3.2216573377504494,3.556773561882612
ii,ls,eR_deg,428,1.3216990310266234,1.7742670258913975,2.373878905311585
ii,huber,eR_deg,428,0.9330811820808177,1.048944368693606,1.1593406796598653
ii,trim,eR_deg,428,0.932366846810256,1.0510585845729663,1.1341604536519885
iii,ls,eR_deg,371,1.2380414804303843,1.6582788034687348,2.525925743519894
iii,huber,eR_deg,371,0.8968670076257107,1.0469504575392192,1.3654207686537259
iii,trim,eR_deg,371,1.0048572914415836,1.1529579492353623,1.2925643592310077
