traj,method,q25,median,q75
vi,Raw,152.70978278288007,161.4078916359028,168.44528313870774
vi,DBS,10.920426130248426,17.888389891596606,24.27241344092541
vi,Patch,109.77223450483656,116.81527871617058,124.6922904641099
vi,Full,67.53246487238185,76.85698936670394,85.44029651943671
iv,Raw,155.9652361070568,160.423862077838,164.9181833365643
iv,DBS,12.306003812630369,19.916882340163063,26.06662201765389
iv,Patch,118.76083474606382,126.26002467918384,139.28082107730205
iv,Full,76.71861656367321,82.89797130448864,107.23724859911252
ii,Raw,56.05622781927296,66.14920168537466,93.7099404086743
ii,DBS,134.01545081302731,142.96984150042437,158.12640238375607
ii,Patch,33.94298068132507,41.77723740078632,73.3932571360748
ii,Full,57.81129500579188,68.8585295049208,78.18076948067001
