traj,method,delta_of_medians_mm,median_paired_delta_mm
vi,Huber,-12.515703678724151,-14.423872613903598
vi,Patch,-44.59261291973223,-43.5102795086748
vi,Full,-84.55090226919887,-83.05314334223371
vi,Estimated Full,-84.27920539782468,-82.67547644257742
iv,Huber,-27.86145946427584,-24.58977859305496
iv,Patch,-34.16383739865418,-33.630700956669884
iv,Full,-77.52589077334937,-74.44839356625735
iv,Estimated Full,-73.80234666341335,-71.98736287987606
ii,Huber,-15.252438805226177,-20.083720612890968
ii,Patch,-24.371964284588344,-19.1030687120173
ii,Full,2.7093278195461323,-0.7890331893236393
ii,Estimated Full,3.8631897316928985,0.26711259782974395
iii,Huber,-19.145906408324272,-14.356682095830394
iii,Patch,-33.739031330607915,-28.929768382518283
iii,Full,-23.799288737490855,-21.9382748470042
iii,Estimated Full,-23.64990868963193,-21.59180627014775
