traj,method,n,q25_raw_minus_method,median_raw_minus_method,q75_raw_minus_method
vi,Huber,501,10.536361123153995,14.423872613903598,17.39810431114668
vi,Patch,501,39.326245447293815,43.5102795086748,48.16699354162495
vi,Full,501,77.53603090197329,83.05314334223371,90.35504316691312
vi,Estimated Full,501,76.79015809872098,82.67547644257742,89.68077216796515
iv,Huber,156,19.68174149817277,24.58977859305496,34.332044385123154
iv,Patch,156,27.53242508120094,33.630700956669884,39.26552404078118
iv,Full,156,59.85068133438349,74.44839356625735,81.49905158833671
iv,Estimated Full,156,58.59398154081401,71.98736287987606,80.10363778906182
ii,Huber,428,12.956814432796724,20.083720612890968,32.40309828052547
ii,Patch,428,10.083481827802766,19.1030687120173,29.896330654032127
ii,Full,428,-15.55835917459074,0.7890331893236393,20.36271414542319
ii,Estimated Full,428,-19.067278079831283,-0.26711259782974395,18.514759844739782
iii,Huber,371,6.035444926092325,14.356682095830394,24.123518255735974
iii,Patch,371,20.228785937844584,28.929768382518283,38.87892117421381
iii,Full,371,-19.307516551522546,21.9382748470042,39.16923319825216
iii,Estimated Full,371,-18.706744000959727,21.59180627014775,38.10202944459026
