trajectory,method,field,n,q25,median,q75
vi,Raw,et_mm,501,152.70978278288007,161.4078916359028,168.44528313870774
vi,Huber,et_mm,501,141.1590681495923,148.89218795717866,155.27008807498268
vi,Patch,et_mm,501,109.77223450483656,116.81527871617058,124.6922904641099
vi,Full,et_mm,501,67.53246487238185,76.85698936670394,85.44029651943671
vi,Estimated Full,et_mm,501,67.41936630633232,77.12868623807813,86.09964807542734
iv,Raw,et_mm,156,155.9652361070568,160.423862077838,164.9181833365643
iv,Huber,et_mm,156,129.78010435501523,132.56240261356217,137.74681418304988
iv,Patch,et_mm,156,118.76083474606382,126.26002467918383,139.28082107730205
iv,Full,et_mm,156,76.71861656367321,82.89797130448864,107.23724859911253
iv,Estimated Full,et_mm,156,77.68512271230637,86.62151541442466,109.15482285000357
ii,Raw,et_mm,428,56.05622781927296,66.14920168537466,93.7099404086743
ii,Huber,et_mm,428,37.2035207627341,50.896762880148486,64.42596751337776
ii,Patch,et_mm,428,33.94298068132507,41.77723740078632,73.3932571360748
ii,Full,et_mm,428,57.81129500579188,68.8585295049208,78.18076948067001
ii,Estimated Full,et_mm,428,60.26027241002561,70.01239141706756,79.15794824601369
iii,Raw,et_mm,371,54.04778861708195,75.03685823906689,86.37978732748773
iii,Huber,et_mm,371,41.034981873995164,55.890951830742615,61.14496076340186
iii,Patch,et_mm,371,24.00642019848893,41.29782690845897,57.82741774164175
iii,Full,et_mm,371,42.35235765175301,51.23756950157603,71.55772102992489
iii,Estimated Full,et_mm,371,42.05967055068424,51.38694954943496,71.19493842026468
vi,Raw,eR_deg,501,3.857759547284926,4.509032326167583,5.007369806393239
vi,Huber,eR_deg,501,3.329901824509544,3.946522813593576,4.460226305170366
vi,Patch,eR_deg,501,3.884236345277726,4.66731556808484,5.592374948351854
vi,Full,eR_deg,501,2.0720622463046667,2.880859773738778,3.630353074489021
vi,Estimated Full,eR_deg,501,2.060035204996251,2.8515056875378404,3.638138758777896
iv,Raw,eR_deg,156,3.5530973815376594,4.006055547406119,4.434011171279623
iv,Huber,eR_deg,156,3.0874654023769805,3.401346458758705,3.761057978381865
iv,Patch,eR_deg,156,3.524863949048087,4.0003627437297276,4.546873924519737
iv,Full,eR_deg,156,1.8064360561840263,2.4644492346945155,3.0137922184903467
iv,Estimated Full,eR_deg,156,1.758360615611636,2.270207543642389,2.817602492645069
ii,Raw,eR_deg,428,1.3216990310266234,1.7742670258913975,2.373878905311585
ii,Huber,eR_deg,428,0.9330811820808177,1.048944368693606,1.1593406796598653
ii,Patch,eR_deg,428,0.7676099879311041,1.2694027224561912,1.8966694064831404
ii,Full,eR_deg,428,1.564926066745998,2.2479043673156216,2.766906145461408
ii,Estimated Full,eR_deg,428,1.8209245272653516,2.2871947603811527,2.954255356961812
iii,Raw,eR_deg,371,1.2380414804303843,1.6582788034687348,2.525925743519894
iii,Huber,eR_deg,371,0.8968670076257107,1.0469504575392192,1.3654207686537259
iii,Patch,eR_deg,371,1.4227398557113804,2.116023558976764,2.6597152799425725
iii,Full,eR_deg,371,2.056715951451003,2.641464510948353,3.4166457607787084
iii,Estimated Full,eR_deg,371,2.071610368314503,2.6185953974212675,3.423291327364117
