regime,geometry,dose,metric,ls,huber,ratio
D1,GA,50.0,et_mm,39.16299536763985,43.70996735258336,1.1161037847656732
D1,GB,50.0,et_mm,39.46576946794377,42.75337415090006,1.0833026880579804
D1,GC,50.0,et_mm,11.779784794156786,2.0946431260183314,0.17781675664035498
D2,GA,1.0,et_mm,324.7052963979644,11.601123869756673,0.035728163348275464
D2,GB,1.0,et_mm,300.0,320.5829170752413,1.0686097235841376
D2,GC,1.0,et_mm,18.247626787018834,1.3005263512712442,0.07127098589041862
D3,GA,100.0,et_mm,2.3499286835345243,0.5016187174619418,0.21346125138889652
D3,GB,100.0,et_mm,13.845619655957329,1.1483334618013723,0.08293839426011396
D3,GC,100.0,et_mm,48.49455002424759,8.131069192507194,0.16766975234210044
D4,GA,0.1,et_mm,1.8908795142658779,0.5832880321394849,0.3084744573828348
D4,GB,0.1,et_mm,0.7732868653090856,0.19961213661258392,0.25813465295676297
D4,GC,0.1,et_mm,0.11614155661528841,0.10384090720030775,0.8940891634875725
D5,GA,2.0,eR_deg,1.4960844839000798,1.4960508738262892,0.9999775346418253
D5,GB,2.0,eR_deg,1.2749627795084146,1.2760306531090504,1.0008375723729344
D5,GC,2.0,eR_deg,0.08431553619308099,0.0841125416546861,0.9975924420627529
