dataset,condition,metric,value,note
VI,raw,spearman_gn6_vs_xit_p2p,0.43943765059522394,Spearman r between 6-DoF ||g|| and ||xi*_t||(mm); p=4.54e-25
VI,raw,pearson_gn6_vs_xit_p2p,0.49473912703354167,Pearson r between 6-DoF ||g|| and ||xi*_t||(mm); p=2.73e-32
VI,raw,spearman_gnt_vs_xit_p2p,0.4451682133740488,Spearman r between ||g_t||(m) and ||xi*_t||(mm); p=9.30e-26
VI,raw,pearson_gnt_vs_xit_p2p,0.495498821328644,Pearson r between ||g_t||(m) and ||xi*_t||(mm); p=2.13e-32
VI,raw,spearman_gn6_vs_xit_p2l,0.4201520146957082,Spearman r between 6-DoF ||g|| and ||xi*_t||(mm); p=7.58e-23
VI,raw,pearson_gn6_vs_xit_p2l,-0.573511643718448,Pearson r between 6-DoF ||g|| and ||xi*_t||(mm); p=3.74e-45
VI,raw,spearman_gnt_vs_xit_p2l,0.43486881217644396,Spearman r between ||g_t||(m) and ||xi*_t||(mm); p=1.57e-24
VI,raw,pearson_gnt_vs_xit_p2l,0.2849937393376075,Pearson r between ||g_t||(m) and ||xi*_t||(mm); p=8.12e-11
VI,scale,spearman_gn6_vs_xit_p2p,0.2644761791158719,Spearman r between 6-DoF ||g|| and ||xi*_t||(mm); p=1.83e-09
VI,scale,pearson_gn6_vs_xit_p2p,0.3525656357715976,Pearson r between 6-DoF ||g|| and ||xi*_t||(mm); p=4.14e-16
VI,scale,spearman_gnt_vs_xit_p2p,0.27991688336474463,Spearman r between ||g_t||(m) and ||xi*_t||(mm); p=1.80e-10
VI,scale,pearson_gnt_vs_xit_p2p,0.3599943078204836,Pearson r between ||g_t||(m) and ||xi*_t||(mm); p=8.94e-17
VI,scale,spearman_gn6_vs_xit_p2l,0.2657102368967245,Spearman r between 6-DoF ||g|| and ||xi*_t||(mm); p=1.53e-09
VI,scale,pearson_gn6_vs_xit_p2l,-0.47106705973418866,Pearson r between 6-DoF ||g|| and ||xi*_t||(mm); p=4.89e-29
VI,scale,spearman_gnt_vs_xit_p2l,0.2750062265906434,Spearman r between ||g_t||(m) and ||xi*_t||(mm); p=3.82e-10
VI,scale,pearson_gnt_vs_xit_p2l,0.1680528633911381,Pearson r between ||g_t||(m) and ||xi*_t||(mm); p=1.57e-04
VI,combined,spearman_gn6_vs_xit_p2p,0.6203273135004891,Spearman r between 6-DoF ||g|| and ||xi*_t||(mm); p=1.31e-54
VI,combined,pearson_gn6_vs_xit_p2p,0.6806638667629178,Pearson r between 6-DoF ||g|| and ||xi*_t||(mm); p=1.93e-69
VI,combined,spearman_gnt_vs_xit_p2p,0.6195226757640099,Spearman r between ||g_t||(m) and ||xi*_t||(mm); p=1.96e-54
VI,combined,pearson_gnt_vs_xit_p2p,0.6923336949709425,Pearson r between ||g_t||(m) and ||xi*_t||(mm); p=9.88e-73
VI,combined,spearman_gn6_vs_xit_p2l,0.29911520385523777,Spearman r between 6-DoF ||g|| and ||xi*_t||(mm); p=8.17e-12
VI,combined,pearson_gn6_vs_xit_p2l,0.13855968010655043,Pearson r between 6-DoF ||g|| and ||xi*_t||(mm); p=1.88e-03
VI,combined,spearman_gnt_vs_xit_p2l,0.3796163847603598,Spearman r between ||g_t||(m) and ||xi*_t||(mm); p=1.28e-18
VI,combined,pearson_gnt_vs_xit_p2l,0.3714191800664881,Pearson r between ||g_t||(m) and ||xi*_t||(mm); p=7.81e-18
VI,raw,cos_cos6_median_p2p,0.7692792267869619,"median direction cosine; IQR=[0.515,0.911]; frac positive=0.946"
VI,raw,cos_cost_median_p2p,0.9585870087204602,"median direction cosine; IQR=[0.895,0.978]; frac positive=0.966"
VI,raw,cos_cosr_median_p2p,0.6632498470850068,"median direction cosine; IQR=[-0.530,0.847]; frac positive=0.657"
VI,raw,cos_cos6_median_p2l,0.25527497540919725,"median direction cosine; IQR=[-0.094,0.549]; frac positive=0.697"
VI,raw,cos_cost_median_p2l,0.38629421698424093,"median direction cosine; IQR=[-0.184,0.726]; frac positive=0.685"
VI,raw,cos_cosr_median_p2l,0.016796427332267366,"median direction cosine; IQR=[-0.511,0.473]; frac positive=0.506"
VI,scale,cos_cos6_median_p2p,0.8102914898004516,"median direction cosine; IQR=[0.520,0.936]; frac positive=0.890"
VI,scale,cos_cost_median_p2p,0.9697860421627393,"median direction cosine; IQR=[0.916,0.987]; frac positive=0.978"
VI,scale,cos_cosr_median_p2p,0.737482281102708,"median direction cosine; IQR=[-0.502,0.905]; frac positive=0.627"
VI,scale,cos_cos6_median_p2l,0.1857356760276474,"median direction cosine; IQR=[-0.240,0.471]; frac positive=0.635"
VI,scale,cos_cost_median_p2l,0.3199797269393557,"median direction cosine; IQR=[-0.388,0.690]; frac positive=0.631"
VI,scale,cos_cosr_median_p2l,-0.008696055675830552,"median direction cosine; IQR=[-0.492,0.469]; frac positive=0.496"
VI,combined,cos_cos6_median_p2p,0.9806991893631423,"median direction cosine; IQR=[0.957,0.992]; frac positive=0.988"
VI,combined,cos_cost_median_p2p,0.9984576911217502,"median direction cosine; IQR=[0.996,0.999]; frac positive=1.000"
