trajectory,method,block,n_frames,translation_median_mm,rotation_median_deg
II,Full,0,50,52.6135597720295,2.365608097541357
II,Full,1,50,47.8220351296943,1.389566730294301
II,Full,2,50,76.00949065260932,1.3381815753798727
II,Full,3,50,68.9710871897771,2.323408138802548
II,Full,4,50,61.981036431999186,2.665605960993479
II,Full,5,50,84.16484575682927,2.3593391216247386
II,Full,6,50,112.57362747435334,1.4494861848641354
II,Full,7,50,74.74201030163937,2.067719103084696
II,Full,8,28,78.39904930930739,2.5440524725260882
II,Global,0,50,79.67499335603475,1.918584352186207
II,Global,1,50,41.761909521743924,1.2901668872062846
II,Global,2,50,81.54158713380959,1.9273474706665277
II,Global,3,50,61.00227458923752,1.562944104819067
II,Global,4,50,54.06455569118809,2.0379540833096215
II,Global,5,50,49.42836734815645,1.3687242098713632
II,Global,6,50,84.63001298569051,1.0633929431482412
II,Global,7,50,42.52137473764398,2.7310214179264323
II,Global,8,28,41.7341892681647,1.5580891409395279
II,Huber,0,50,70.04550668620264,1.0927122578488464
II,Huber,1,50,47.629959924699165,0.8599218725501445
II,Huber,2,50,66.42057753247806,1.0428751600486503
II,Huber,3,50,55.34818176161909,0.941141820420071
II,Huber,4,50,50.92201621160673,1.044080823812601
II,Huber,5,50,43.994726478403265,1.0799599983042834
II,Huber,6,50,33.4083710289151,1.0642346147539177
II,Huber,7,50,27.328921893658137,1.2552441705331367
II,Huber,8,28,34.19691682466947,1.1392902210585631
II,Patch,0,50,38.65335537036603,1.1023224674143024
II,Patch,1,50,40.20806056767968,1.1925905881235481
II,Patch,2,50,76.27406296780603,1.8071102970220498
II,Patch,3,50,46.54409533290669,1.3767578879765419
II,Patch,4,50,32.41111376676234,0.40599010304462724
II,Patch,5,50,35.311931385330496,0.936949549834607
II,Patch,6,50,88.89010703610367,0.6491342687556886
II,Patch,7,50,41.217285478730474,1.8988715763341537
II,Patch,8,28,47.65376273732501,1.6990402499921906
II,Raw,0,50,89.72698451737185,1.9297996857706083
II,Raw,1,50,57.15757534817586,1.2900040477287007
II,Raw,2,50,93.80070846383565,1.9266777357968496
II,Raw,3,50,74.84078412222338,1.5626192881965615
II,Raw,4,50,64.14790162922029,2.038308776204911
II,Raw,5,50,61.648560388482906,1.3711068243762852
II,Raw,6,50,94.98086405875941,1.0656116976508612
II,Raw,7,50,53.722764037283355,2.7316205196765835
II,Raw,8,28,55.66782266632798,1.5561611549641716
II,Trim,0,50,63.576702193063745,0.9959674848059428
II,Trim,1,50,48.50562862120782,0.8641329593362135
II,Trim,2,50,58.74510912960195,1.118522412297439
II,Trim,3,50,50.09799629893922,1.114644983615193
II,Trim,4,50,47.04545494315148,1.0606208542549616
II,Trim,5,50,40.26334992290915,1.02107156682922
II,Trim,6,50,32.37789138001727,0.9143743195675051
II,Trim,7,50,25.685327936425544,1.1072291841762105
II,Trim,8,28,32.31459563826418,1.2318210838545585
III,Full,0,50,40.50634626663573,2.2171892727584694
III,Full,1,50,49.003257173035735,2.5311268837092715
III,Full,2,50,43.068700092769134,1.7668794504618934
III,Full,3,50,40.93718293898038,2.5955843559919236
III,Full,4,50,51.83363264879659,3.3774310324424137
III,Full,5,50,69.59211450273298,3.374738074254987
III,Full,6,50,86.11454243912513,2.702744233721573
III,Full,7,21,91.19749356419526,4.193267567335074
III,Global,0,50,71.49801755394097,1.4715323703271377
III,Global,1,50,82.50970644122044,1.7999287356989528
III,Global,2,50,75.27716124268184,3.3636706954894082
III,Global,3,50,58.3733314322881,1.8037052935595947
III,Global,4,50,45.24916594280771,1.538545897087875
III,Global,5,50,45.398142085653646,1.1478517075717671
III,Global,6,50,47.80387487276898,1.5308914969372585
III,Global,7,21,92.49380716111776,3.2612432657293726
III,Huber,0,50,66.01657818627702,1.2698806625088106
III,Huber,1,50,61.61769454404253,1.4723706343204361
III,Huber,2,50,60.80618235969014,1.5166673420389296
III,Huber,3,50,56.50293953467082,0.9795904132111174
III,Huber,4,50,45.781779833612234,0.8918720810360465
III,Huber,5,50,44.0623664245345,0.8774310919903793
III,Huber,6,50,36.91234947411445,0.9102663469888412
III,Huber,7,21,37.21204610153736,0.9279068649597813
III,Patch,0,50,59.872028014755415,1.9674616432766654
III,Patch,1,50,62.78762958451281,2.4280442277163914
III,Patch,2,50,45.22750367723258,2.6457782553661193
III,Patch,3,50,22.44160637825305,1.8446301629930852
III,Patch,4,50,17.860576731808084,2.788815160125875
III,Patch,5,50,23.963873514890302,1.219501125373713
III,Patch,6,50,49.17639577861411,1.0659053963063305
III,Patch,7,21,58.51130155117774,1.92324918016252
III,Raw,0,50,79.17141388770943,1.4670188203907504
III,Raw,1,50,90.61309406629223,1.802275409454904
III,Raw,2,50,85.00276269533241,3.362244593134884
III,Raw,3,50,64.78443774217322,1.7883641404433934
III,Raw,4,50,49.89795950288007,1.5481026423232604
III,Raw,5,50,51.70794146670495,1.1429974714664208
III,Raw,6,50,58.082790747938404,1.5129027300766296
III,Raw,7,21,100.60352184974192,3.257714721231708
III,Trim,0,50,63.50134018405872,1.2601060007408806
III,Trim,1,50,58.9572963078665,1.3562076384120236
III,Trim,2,50,55.712008038097395,1.2430983854633462
III,Trim,3,50,58.20674807638904,1.0819727490700792
III,Trim,4,50,49.97038997067267,1.170601626981938
III,Trim,5,50,46.97713069335603,1.050274958619803
III,Trim,6,50,34.69287767031089,0.9893522907412546
III,Trim,7,21,32.78887892885919,0.9728154440218558
IV,Full,0,50,77.1725091861518,2.5239944849079676
IV,Full,1,50,78.76292317968563,2.548447925808067
IV,Full,2,50,110.28081297065262,2.066670185798872
IV,Full,3,6,116.52027574440987,3.231876890735199
IV,Global,0,50,150.71552212040962,4.161189702969328
IV,Global,1,50,151.3177781018661,3.8802519177909507
IV,Global,2,50,159.68379323554677,3.902701953774984
IV,Global,3,6,158.20550176962422,3.913293049708696
IV,Huber,0,50,139.64441262932112,3.5641504325391153
IV,Huber,1,50,133.12093145034362,3.4932467041606268
IV,Huber,2,50,129.734252458625,3.290552708799721
IV,Huber,3,6,119.80243714004726,2.974492155772853
IV,Patch,0,50,120.49021037123283,4.464348027248754
IV,Patch,1,50,120.5265036175322,4.016040565444146
IV,Patch,2,50,142.29249559345453,3.6353855553197207
IV,Patch,3,6,146.52729836328137,3.7744131156655274
IV,Raw,0,50,158.48159106545035,4.164412815344692
IV,Raw,1,50,157.5282097360639,3.883711342382385
IV,Raw,2,50,167.34531348982387,3.902590187239403
IV,Raw,3,6,164.4280207452125,3.9195880366896585
IV,Trim,0,50,132.8604392388392,3.279416771586676
IV,Trim,1,50,125.93000903879434,3.3402896743943784
IV,Trim,2,50,118.30105148785981,3.065163684799024
IV,Trim,3,6,109.34036048625836,2.466550076746662
VI,Full,0,70,73.43263159489968,3.3301899601916296
VI,Full,1,70,73.61378512641602,3.311213217513197
VI,Full,2,79,83.4517854967179,3.398884816001123
VI,Full,3,96,81.61675378710561,2.53564758402055
VI,Full,4,103,78.5897359786519,2.326288549783487
VI,Full,5,83,72.65191191559703,2.873853448234863
VI,Global,0,70,142.9502252806458,4.8316979272084115
VI,Global,1,70,143.3883118192044,4.993650730291008
VI,Global,2,79,157.56506631480624,4.650645929669056
VI,Global,3,96,162.59791886955804,4.1834888729715365
VI,Global,4,103,160.79511209673495,3.866840814523021
VI,Global,5,83,158.26889806037897,4.604553707547791
VI,Huber,0,70,132.82968525230854,4.472297097069026
VI,Huber,1,70,133.53328459729948,4.420476659502134
VI,Huber,2,79,148.22968668594535,4.201380244015467
VI,Huber,3,96,154.27598076537305,3.714676261003903
VI,Huber,4,103,152.8180538043268,3.345247713528155
VI,Huber,5,83,153.47516867669228,3.9528756727112175
VI,Patch,0,70,111.17278296418343,5.596231448258425
VI,Patch,1,70,110.49228072619013,5.614928935173253
VI,Patch,2,79,123.63434041915492,5.025115371335013
VI,Patch,3,96,122.54133485006295,4.153367118075278
VI,Patch,4,103,117.66796238468564,3.741547084778768
VI,Patch,5,83,113.90884206317152,4.860549739363893
VI,Raw,0,70,151.2366843667386,4.830858011549058
VI,Raw,1,70,151.7171962222667,4.98605656047063
VI,Raw,2,79,165.48160584038175,4.65190744384812
VI,Raw,3,96,168.3879374728596,4.177004632046296
VI,Raw,4,103,164.1743308436783,3.8645555293233618
VI,Raw,5,83,159.27083929792474,4.602200871581683
VI,Trim,0,70,126.36471818314675,4.3252362359183385
VI,Trim,1,70,128.2221615414623,4.238132836558908
VI,Trim,2,79,141.25769998186465,3.909126274598786
VI,Trim,3,96,147.5338419792232,3.374409933985076
VI,Trim,4,103,149.18695304959223,3.1898121199277725
VI,Trim,5,83,153.49609413685977,3.968738769753978
