trajectory,order,scan,method,block,in_support,translation_error_mm,rotation_error_deg
II,143,143,Full,0,True,65.55536122928584,2.7502797184171524
II,143,143,Global,0,True,74.15447163863674,1.1057265332968609
II,143,143,Huber,0,True,71.3052520569424,0.6542226946679328
II,143,143,Patch,0,True,38.39221029477905,0.866979882480121
II,143,143,Raw,0,True,80.70583454424826,1.101337906156752
II,143,143,Trim,0,True,69.96440083078102,0.6540341307238456
II,144,144,Full,0,True,63.964858035201615,2.6246849835099773
II,144,144,Global,0,True,72.89519772186678,1.0385272833526793
II,144,144,Huber,0,True,70.41446425131798,0.743915758818129
II,144,144,Patch,0,True,36.407282233377714,1.108335177572935
II,144,144,Raw,0,True,79.98221002282226,1.0330077725319122
II,144,144,Trim,0,True,69.11841685745944,0.6274176560225738
II,145,145,Full,0,True,65.52946554805554,2.3897109592419348
II,145,145,Global,0,True,72.53626623642076,1.1970874605846509
II,145,145,Huber,0,True,70.10134858661921,0.7432731308021482
II,145,145,Patch,0,True,37.57965748254473,0.8049060329402552
II,145,145,Raw,0,True,79.9500767091035,1.192461308047272
II,145,145,Trim,0,True,68.64326130635767,0.6958662508481797
II,146,146,Full,0,True,63.28443230215286,2.544907478549092
II,146,146,Global,0,True,72.16907860775335,1.1511831657716816
II,146,146,Huber,0,True,70.13588682836131,0.7284109651757138
II,146,146,Patch,0,True,33.53962709941984,0.820517536974967
II,146,146,Raw,0,True,79.1357779933677,1.1461009967883733
II,146,146,Trim,0,True,68.68750858152332,0.6876908596519509
II,147,147,Full,0,True,62.610592952686574,2.4178504021362537
II,147,147,Global,0,True,73.33191166750404,1.1948447861536975
II,147,147,Huber,0,True,70.3974736054376,0.4492921558047975
II,147,147,Patch,0,True,35.681824066466035,0.8208432624766683
II,147,147,Raw,0,True,80.57950615112223,1.1899525415282464
II,147,147,Trim,0,True,69.04417526031341,0.7125179566797863
II,148,148,Full,0,True,60.83262576635034,2.438935896993012
II,148,148,Global,0,True,73.71857494821887,1.2205658561518054
II,148,148,Huber,0,True,69.98966478578608,0.7178611424175922
II,148,148,Patch,0,True,35.84367395157885,0.8335861368061964
II,148,148,Raw,0,True,81.45680358590573,1.2173398473225612
II,148,148,Trim,0,True,67.95929845784451,0.6698809464810827
II,149,149,Full,0,True,59.12255074619491,2.241410490599874
II,149,149,Global,0,True,75.46048046988274,1.5392358642712372
II,149,149,Huber,0,True,70.73107628595035,0.7440171703934393
II,149,149,Patch,0,True,35.67955822280118,0.976450369362839
II,149,149,Raw,0,True,82.71749761093558,1.535330916083061
II,149,149,Trim,0,True,68.81112197414315,0.7408406893123138
II,150,150,Full,0,True,59.40451029475628,2.447401515954808
II,150,150,Global,0,True,74.87702349209563,1.513733007173264
II,150,150,Huber,0,True,70.49407262055222,0.8212843117607708
II,150,150,Patch,0,True,40.1552770903259,1.1038389898147225
II,150,150,Raw,0,True,83.48656351884189,1.5120478124739756
II,150,150,Trim,0,True,67.96126078735153,0.66655572225445
II,151,151,Full,0,True,59.41239283630226,2.4555183743404183
II,151,151,Global,0,True,75.26638080517142,1.3184557634946623
II,151,151,Huber,0,True,70.88309228374357,0.7799852154905176
II,151,151,Patch,0,True,36.75847123115415,0.7422185251681401
II,151,151,Raw,0,True,83.74971446378396,1.3125508164936883
II,151,151,Trim,0,True,67.9215585578885,0.8853469877803517
II,152,152,Full,0,True,56.120704716515625,2.560335861018366
II,152,152,Global,0,True,75.15912739472623,1.6114981235309729
II,152,152,Huber,0,True,71.15486335128912,0.908701446715986
II,152,152,Patch,0,True,35.765355266363606,0.7935619384445818
II,152,152,Raw,0,True,83.78298141262292,1.6115850796497313
II,152,152,Trim,0,True,67.86775030468243,0.7838106964112419
II,153,153,Full,0,True,56.46883533167925,2.599980042521288
II,153,153,Global,0,True,76.7237505776728,1.8629145624789107
II,153,153,Huber,0,True,71.4891345948437,1.059546409637509
II,153,153,Patch,0,True,36.205604304928045,0.7533877753885828
II,153,153,Raw,0,True,85.49786925839234,1.8597108433538767
II,153,153,Trim,0,True,67.80261970661665,0.9725876706228176
II,154,154,Full,0,True,54.73332563732222,2.4469037640776024
