table,trajectory,method,block,n_frames,median_translation_mm,median_rotation_deg,axis,block_benefit
marginal,II,Huber Raw,0,50,70.04550668620264,1.0927122578488464,both,
marginal,II,Huber Raw,1,50,47.629959924699165,0.8599218725501445,both,
marginal,II,Huber Raw,2,50,66.42057753247806,1.0428751600486503,both,
marginal,II,Huber Raw,3,50,55.34818176161909,0.941141820420071,both,
marginal,II,Huber Raw,4,50,50.92201621160673,1.044080823812601,both,
marginal,II,Huber Raw,5,50,43.994726478403265,1.0799599983042834,both,
marginal,II,Huber Raw,6,50,33.4083710289151,1.0642346147539177,both,
marginal,II,Huber Raw,7,50,27.328921893658137,1.2552441705331367,both,
marginal,II,Huber Raw,8,28,34.19691682466947,1.1392902210585631,both,
marginal,II,Patch LS,0,50,38.65335537036603,1.1023224674143024,both,
marginal,II,Patch LS,1,50,40.20806056767968,1.1925905881235481,both,
marginal,II,Patch LS,2,50,76.27406296780603,1.8071102970220498,both,
marginal,II,Patch LS,3,50,46.54409533290669,1.3767578879765419,both,
marginal,II,Patch LS,4,50,32.41111376676234,0.40599010304462724,both,
marginal,II,Patch LS,5,50,35.311931385330496,0.936949549834607,both,
marginal,II,Patch LS,6,50,88.89010703610367,0.6491342687556886,both,
marginal,II,Patch LS,7,50,41.217285478730474,1.8988715763341537,both,
marginal,II,Patch LS,8,28,47.65376273732501,1.6990402499921906,both,
marginal,II,Patch+Huber,0,50,16.92647837124914,1.1232660904714065,both,
marginal,II,Patch+Huber,1,50,41.65721943437417,0.8578753244826564,both,
marginal,II,Patch+Huber,2,50,63.17904917232619,1.5202202770545616,both,
marginal,II,Patch+Huber,3,50,43.342459167617235,2.149115652212972,both,
marginal,II,Patch+Huber,4,50,40.502990417263646,1.7529885453305114,both,
marginal,II,Patch+Huber,5,50,38.67953611678568,2.0911087314102783,both,
marginal,II,Patch+Huber,6,50,38.799000587875,1.1026067992068558,both,
marginal,II,Patch+Huber,7,50,40.40805040693602,1.3197348242353542,both,
marginal,II,Patch+Huber,8,28,31.45671681155727,1.263553045831451,both,
marginal,II,Patch+Trim,0,50,11.00842013541736,1.4140736486699725,both,
marginal,II,Patch+Trim,1,50,37.86295490024459,0.9895670943693113,both,
