trajectory,order,scan,block,in_support,method,arm,translation_error_mm,rotation_error_deg,iters,on_bound,n_points,wmean,sumw,ess_w,keep_ratio,n_retain
II,143,143,0,True,Huber Raw,Huber,71.3052520569424,0.6542226946679328,40,0,10013,0.7684008485464241,7693.997696495345,8668.567160455537,,10013
II,143,143,0,True,Patch LS,Patch,38.39221029477905,0.866979882480121,40,0,10013,1.0,10013.0,10013.0,1.0,10013
II,143,143,0,True,Patch+Huber,PatchHuber,29.0954029327775,1.9368878596348007,40,0,10013,0.7868502992000448,7878.732045890048,8829.97157432174,,10013
II,143,143,0,True,Patch+Trim,PatchTrim,30.76030343301584,2.4545073142764418,40,0,10013,0.7999600519324878,8010.0,8010.0,0.7999600519324878,8010
II,143,143,0,True,Raw LS,Raw,80.70583454424826,1.101337906156752,40,0,10013,1.0,10013.0,10013.0,1.0,10013
II,143,143,0,True,Trim Raw,Trim,69.96440083078102,0.6540341307238456,40,0,10013,0.7999600519324878,8010.0,8010.0,0.7999600519324878,8010
II,144,144,0,True,Huber Raw,Huber,70.41446425131798,0.743915758818129,40,0,9913,0.7627779951128,7561.418265553186,8550.488188816269,,9913
II,144,144,0,True,Patch LS,Patch,36.407282233377714,1.108335177572935,40,0,9913,1.0,9913.0,9913.0,1.0,9913
II,144,144,0,True,Patch+Huber,PatchHuber,25.49713480890645,1.956387452067256,40,0,9913,0.782541921233406,7757.338065186755,8713.207080648946,,9913
II,144,144,0,True,Patch+Trim,PatchTrim,26.96462488637818,2.4063162627869183,40,0,9913,0.7999596489458287,7930.0,7930.0,0.7999596489458287,7930
II,144,144,0,True,Raw LS,Raw,79.98221002282226,1.0330077725319122,40,0,9913,1.0,9913.0,9913.0,1.0,9913
II,144,144,0,True,Trim Raw,Trim,69.11841685745944,0.6274176560225738,40,0,9913,0.7999596489458287,7930.0,7930.0,0.7999596489458287,7930
II,145,145,0,True,Huber Raw,Huber,70.10134858661921,0.7432731308021482,40,0,9905,0.7680766655373881,7607.799372147829,8570.968232100235,,9905
II,145,145,0,True,Patch LS,Patch,37.57965748254473,0.8049060329402552,40,0,9905,1.0,9905.0,9905.0,1.0,9905
II,145,145,0,True,Patch+Huber,PatchHuber,24.160844247552056,1.7819416926718334,40,0,9905,0.7861621634132864,7786.936228608602,8719.579513902037,,9905
II,145,145,0,True,Patch+Trim,PatchTrim,24.39380609947853,2.3619865758292184,40,0,9905,0.8,7924.0,7924.0,0.8,7924
II,145,145,0,True,Raw LS,Raw,79.9500767091035,1.192461308047272,40,0,9905,1.0,9905.0,9905.0,1.0,9905
II,145,145,0,True,Trim Raw,Trim,68.64326130635767,0.6958662508481797,40,0,9905,0.8,7924.0,7924.0,0.8,7924
II,146,146,0,True,Huber Raw,Huber,70.13588682836131,0.7284109651757138,40,0,9906,0.7637153942599512,7565.364695539076,8547.750333418766,,9906
II,146,146,0,True,Patch LS,Patch,33.53962709941984,0.820517536974967,40,0,9906,1.0,9906.0,9906.0,1.0,9906
II,146,146,0,True,Patch+Huber,PatchHuber,23.530695094926465,1.6485081398912584,40,0,9906,0.782563159933929,7752.070662305501,8704.04566691383,,9906
II,146,146,0,True,Patch+Trim,PatchTrim,24.94088786125722,2.143741713084921,40,0,9906,0.8000201897839693,7925.0,7925.0,0.8000201897839693,7925
II,146,146,0,True,Raw LS,Raw,79.1357779933677,1.1461009967883733,40,0,9906,1.0,9906.0,9906.0,1.0,9906
II,146,146,0,True,Trim Raw,Trim,68.68750858152332,0.6876908596519509,40,0,9906,0.8000201897839693,7925.0,7925.0,0.8000201897839693,7925
II,147,147,0,True,Huber Raw,Huber,70.3974736054376,0.4492921558047975,22,0,9848,0.7613518392175754,7497.792912614683,8464.283923465535,,9848
II,147,147,0,True,Patch LS,Patch,35.681824066466035,0.8208432624766683,40,0,9848,1.0,9848.0,9848.0,1.0,9848
II,147,147,0,True,Patch+Huber,PatchHuber,24.11480705006056,1.6195742422753563,37,0,9848,0.7830273816590252,7711.25365457808,8645.948428520136,,9848
II,147,147,0,True,Patch+Trim,PatchTrim,25.22802741886757,2.364291390994604,40,0,9848,0.7999593826157595,7878.0,7878.0,0.7999593826157595,7878
II,147,147,0,True,Raw LS,Raw,80.57950615112223,1.1899525415282464,40,0,9848,1.0,9848.0,9848.0,1.0,9848
II,147,147,0,True,Trim Raw,Trim,69.04417526031341,0.7125179566797863,40,0,9848,0.7999593826157595,7878.0,7878.0,0.7999593826157595,7878
II,148,148,0,True,Huber Raw,Huber,69.98966478578608,0.7178611424175922,40,0,9873,0.7659491956786069,7562.216408934885,8517.325384590218,,9873
II,148,148,0,True,Patch LS,Patch,35.84367395157885,0.8335861368061964,40,0,9873,1.0,9873.0,9873.0,1.0,9873
II,148,148,0,True,Patch+Huber,PatchHuber,22.33532977403229,1.5138311179861346,40,0,9873,0.7873439356567941,7773.446676739528,8692.117014926835,,9873
II,148,148,0,True,Patch+Trim,PatchTrim,23.5442053753133,2.285752994974909,40,0,9873,0.7999594854654107,7898.0,7898.0,0.7999594854654107,7898
II,148,148,0,True,Raw LS,Raw,81.45680358590573,1.2173398473225612,40,0,9873,1.0,9873.0,9873.0,1.0,9873
II,148,148,0,True,Trim Raw,Trim,67.95929845784451,0.6698809464810827,40,0,9873,0.7999594854654107,7898.0,7898.0,0.7999594854654107,7898
II,149,149,0,True,Huber Raw,Huber,70.73107628595035,0.7440171703934393,40,0,9902,0.7663973623086391,7588.866681580144,8534.390573394941,,9902
II,149,149,0,True,Patch LS,Patch,35.67955822280118,0.976450369362839,34,0,9902,1.0,9902.0,9902.0,1.0,9902
II,149,149,0,True,Patch+Huber,PatchHuber,19.62688092568913,1.4438925785022936,35,0,9902,0.781392792693941,7737.351433255404,8675.484550970035,,9902
II,149,149,0,True,Patch+Trim,PatchTrim,19.43601356785233,2.1950427437796014,40,0,9902,0.8000403958796203,7922.0,7922.0,0.8000403958796203,7922
II,149,149,0,True,Raw LS,Raw,82.71749761093558,1.535330916083061,40,0,9902,1.0,9902.0,9902.0,1.0,9902
II,149,149,0,True,Trim Raw,Trim,68.81112197414315,0.7408406893123138,40,0,9902,0.8000403958796203,7922.0,7922.0,0.8000403958796203,7922
II,150,150,0,True,Huber Raw,Huber,70.49407262055222,0.8212843117607708,40,0,9955,0.7690038412328272,7655.433239472794,8584.784405620536,,9955
II,150,150,0,True,Patch LS,Patch,40.1552770903259,1.1038389898147225,40,0,9955,1.0,9955.0,9955.0,1.0,9955
II,150,150,0,True,Patch+Huber,PatchHuber,21.337917014362542,1.5010197335112554,35,0,9955,0.7836593953620863,7801.329280829569,8733.501312945271,,9955
II,150,150,0,True,Patch+Trim,PatchTrim,21.36451633794436,2.2659083333494934,40,0,9955,0.8,7964.0,7964.0,0.8,7964
II,150,150,0,True,Raw LS,Raw,83.48656351884189,1.5120478124739756,40,0,9955,1.0,9955.0,9955.0,1.0,9955
II,150,150,0,True,Trim Raw,Trim,67.96126078735153,0.66655572225445,40,0,9955,0.8,7964.0,7964.0,0.8,7964
II,151,151,0,True,Huber Raw,Huber,70.88309228374357,0.7799852154905176,40,0,10051,0.7682120790807966,7721.299606841087,8665.1401937993,,10051
II,151,151,0,True,Patch LS,Patch,36.75847123115415,0.7422185251681401,40,0,10051,1.0,10051.0,10051.0,1.0,10051
II,151,151,0,True,Patch+Huber,PatchHuber,22.50977903857877,1.3378037998907484,40,0,10051,0.7813408658171231,7853.257042327905,8793.610739074886,,10051
II,151,151,0,True,Patch+Trim,PatchTrim,19.914185391467807,2.09482589586774,40,0,10051,0.8000198985175604,8041.0,8041.0,0.8000198985175604,8041
II,151,151,0,True,Raw LS,Raw,83.74971446378396,1.3125508164936883,40,0,10051,1.0,10051.0,10051.0,1.0,10051
II,151,151,0,True,Trim Raw,Trim,67.9215585578885,0.8853469877803517,40,0,10051,0.8000198985175604,8041.0,8041.0,0.8000198985175604,8041
II,152,152,0,True,Huber Raw,Huber,71.15486335128912,0.908701446715986,40,0,10048,0.7722917274994571,7759.987277914544,8682.701947877084,,10048
II,152,152,0,True,Patch LS,Patch,35.765355266363606,0.7935619384445818,40,0,10048,1.0,10048.0,10048.0,1.0,10048
II,152,152,0,True,Patch+Huber,PatchHuber,19.39632140766662,1.4316466160627912,37,0,10048,0.7838473256170477,7876.097927800096,8812.82094268867,,10048
II,152,152,0,True,Patch+Trim,PatchTrim,19.73733377376137,2.1658957505872043,40,0,10048,0.7999601910828026,8038.0,8038.0,0.7999601910828026,8038
