section,trajectory,method,arm,n,K,t_median,t_q25,t_q75,t_ci_lo,t_ci_hi,r_median,r_q25,r_q75,r_ci_lo,r_ci_hi,med_iters,on_bound_rate,med_wmean,med_ess_w,med_keep,comparison,axis,target,comparator,k_improved,n_negative,n_zero,median_block_benefit,q25,q75,ci_lo,ci_hi,sign_p,wilcoxon_p,median_frame_benefit
marginal,VI,Raw LS,Raw,501.0,,161.4078916359028,152.70978278288007,168.44528313870774,154.38743131525254,166.2218009934645,4.509032326167583,3.857759547284926,5.007369806393239,4.0880212674281635,4.751034371055729,40.0,0.0,1.0,10048.0,1.0,,both,,,,,,,,,,,,,
marginal,VI,Huber Raw,Huber,501.0,,148.89218795717866,141.1590681495923,155.27008807498268,139.19079843739323,153.39030564961683,3.946522813593576,3.329901824509544,4.460226305170366,3.586443134197669,4.2975342547552575,40.0,0.0,0.7914514337218524,8813.219334695006,,,both,,,,,,,,,,,,,
marginal,VI,Trim Raw,Trim,501.0,,144.76727027751295,134.29923260982906,149.66378812562292,130.1302855163707,148.93009816330095,3.773222206815592,3.1804923315855387,4.306651785594891,3.454155826058265,4.166569600557516,40.0,0.0,0.8,8038.0,0.8,,both,,,,,,,,,,,,,
marginal,VI,Patch LS,Patch,501.0,,116.81527871617058,109.77223450483656,124.6922904641099,112.28025534665262,121.25573988739629,4.66731556808484,3.884236345277726,5.592374948351854,4.198334710903446,5.296373136656632,39.0,0.0,1.0,10048.0,1.0,,both,,,,,,,,,,,,,
marginal,VI,Patch+Huber,PatchHuber,501.0,,102.85815636252336,93.34450960438092,109.31855591877398,96.98985864652846,104.9399817974874,4.308393753652117,3.507798286788598,5.113718184525895,3.8107949014902234,4.749025573639703,40.0,0.0,0.7986402103831431,8919.28528623911,,,both,,,,,,,,,,,,,
marginal,VI,Patch+Trim,PatchTrim,501.0,,96.14782598349376,86.55901878382014,103.16709444073317,87.30191771016902,100.40750030496011,4.475721425729827,3.685279948637767,5.243639569400414,4.069031426136547,4.948605647564854,40.0,0.0,0.8,8038.0,0.8,,both,,,,,,,,,,,,,
marginal,IV,Raw LS,Raw,156.0,,160.423862077838,155.9652361070568,164.9181833365643,157.78674174395752,166.31083619143928,4.006055547406119,3.5530973815376594,4.434011171279623,3.883711342382385,4.145260237274031,40.0,0.0,1.0,9926.0,1.0,,both,,,,,,,,,,,,,
marginal,IV,Huber Raw,Huber,156.0,,132.56240261356217,129.78010435501523,137.74681418304988,129.28483675471108,138.5518234327535,3.401346458758705,3.0874654023769805,3.761057978381865,3.240869566802078,3.54870541572744,40.0,0.0,0.787484451957312,8567.232781595441,,,both,,,,,,,,,,,,,
marginal,IV,Trim Raw,Trim,156.0,,125.20455103544867,120.37774483658254,131.2629376222437,117.59998494933734,132.55770059936344,3.2216573377504494,2.82578858285076,3.556773561882612,2.9782200301624524,3.294585376648558,40.0,0.0,0.8,7941.0,0.8,,both,,,,,,,,,,,,,
marginal,IV,Patch LS,Patch,156.0,,126.26002467918383,118.76083474606382,139.28082107730205,120.5265036175322,142.6894794900802,4.0003627437297276,3.524863949048087,4.546873924519737,3.6577099608096235,4.377422837808339,40.0,0.0,1.0,9926.0,1.0,,both,,,,,,,,,,,,,
marginal,IV,Patch+Huber,PatchHuber,156.0,,102.13888397725754,95.52459567026801,111.10634664436563,100.3985853162075,108.3728277641095,3.535414005614065,3.1436838655378825,3.9710743116112335,3.161459487658656,3.9305104701769373,40.0,0.0,0.8096316057352944,8777.781267522747,,,both,,,,,,,,,,,,,
marginal,IV,Patch+Trim,PatchTrim,156.0,,89.8800778508889,80.16145055438709,96.10919786724094,81.95943527315815,94.13664606168824,3.4548368067541393,2.982042621001164,4.031888325775933,2.872911070288823,3.930097057991869,40.0,0.0,0.8,7941.0,0.8,,both,,,,,,,,,,,,,
marginal,II,Raw LS,Raw,428.0,,66.14920168537466,56.05622781927296,93.7099404086743,57.9869324932067,88.81321987402296,1.7742670258913975,1.3216990310266234,2.373878905311585,1.4400669005038877,2.0844373784122303,40.0,0.07009345794392523,1.0,10025.0,1.0,,both,,,,,,,,,,,,,
marginal,II,Huber Raw,Huber,428.0,,50.896762880148486,37.2035207627341,64.42596751337776,36.39452353830862,64.30153495030626,1.048944368693606,0.9330811820808177,1.1593406796598653,0.9991224314379561,1.1110434670674696,40.0,0.0,0.7723349915124407,8624.5222647507,,,both,,,,,,,,,,,,,
