trajectory,block,n_frames,nearest_d,nearest_over_tau,ess_kernel,coverage,n_fallback,corr_full_median_mm,cos_pred_raw_t,raw_et_mm,patch_et_mm,full_et_mm,full_minus_patch_mm,full_minus_raw_mm,frac_full_beats_patch,frac_fallback_any
II,0,50.0,0.2680748951741606,0.6088037533280195,15.93980576659791,0.9583333333333334,1.0,32.14632364407097,0.9091217713438564,89.72698451737185,38.65335537036603,52.6135597720295,-9.822243790579716,42.84528868858699,0.32,0.74
II,1,50.0,0.3125371610817379,0.7097784990177107,15.910801307991846,1.0,0.0,49.051921826433315,0.8295083130154333,57.15757534817586,40.20806056767968,47.8220351296943,-2.100619295075994,11.631228634267831,0.48,0.0
II,2,50.0,0.131485513866348,0.29860638124316174,15.656180501989457,1.0,0.0,41.803674275462136,0.7408006475911971,93.80070846383565,76.27406296780603,76.00949065260932,2.2263019500524663,20.365994742976234,0.66,0.0
II,3,50.0,0.20735710941593133,0.47091237845921174,15.76917101429913,1.0,0.0,38.80891989798778,0.8215798437309658,74.84078412222338,46.54409533290669,68.9710871897771,-25.789555015326513,3.066168576338036,0.16,0.0
II,4,50.0,0.1708323167189243,0.3879638022077154,15.65592080862056,1.0,0.0,41.204893871402064,0.8401976345502029,64.14790162922029,32.41111376676234,61.981036431999186,-28.951320803572877,1.6710666337803062,0.0,0.0
II,5,50.0,0.12097767438120666,0.2747428556647359,15.740268751599416,1.0,0.0,45.25141095490898,0.4416419452935228,61.648560388482906,35.311931385330496,84.16484575682927,-39.454586471472396,-13.897747967352718,0.1,0.0
II,6,50.0,0.3654861985999859,0.8300268824229267,15.894025645439257,1.0,0.0,51.07475668457701,0.711192478621056,94.98086405875941,88.89010703610367,112.57362747435334,-23.861962515467322,-5.667574396694455,0.16,0.26
II,7,50.0,0.1745505323735059,0.39640794855242123,15.675728043337966,0.9583333333333334,1.0,48.771409432040485,0.3769966626089438,53.722764037283355,41.217285478730474,74.74201030163937,-34.220189799056335,-25.12753177529781,0.0,1.0
II,8,28.0,0.277826149790805,0.630949058677905,15.750918620567894,1.0,0.0,46.296580514471174,0.30279163076598037,55.66782266632798,47.65376273732501,78.39904930930739,-30.32511318432627,-22.209596058221837,0.0,0.35714285714285715
III,0,50.0,0.18453596824029256,0.41908508447134596,15.859452557822493,1.0,0.0,39.39597088525626,0.8924119084371603,79.17141388770943,59.872028014755415,40.50634626663573,19.456648113425146,40.33266097675531,1.0,0.14
III,1,50.0,0.38151495559680865,0.8664285283678358,15.891132692272638,1.0,0.0,42.54780893505199,0.8599831412708299,90.61309406629223,62.78762958451281,49.003257173035735,17.60822380643667,42.72486631336983,1.0,0.08
III,2,50.0,0.1940682849209281,0.44073317714079185,15.741482221331434,1.0,0.0,44.71195259600702,0.8159803150771575,85.00276269533241,45.22750367723258,43.068700092769134,0.8176183188841932,40.948735067707844,0.52,0.0
III,3,50.0,0.19655779912618804,0.4463869165226203,15.694410632721507,1.0,0.0,42.497960494456166,0.9802671744601135,64.78443774217322,22.441606378253052,40.93718293898038,-15.162676389007228,27.011372483919374,0.0,0.0
III,4,50.0,0.33743180017675933,0.766314750608704,15.827971748375717,1.0,0.0,42.510836261487526,0.9130747128967573,49.89795950288007,17.860576731808084,51.83363264879659,-37.81615241750231,-2.141883166360728,0.0,0.0
III,5,50.0,0.3138384728412567,0.712733805529834,15.890059786668065,0.9583333333333334,1.0,36.163392958687965,0.8055044121636988,51.70794146670495,23.963873514890302,69.59211450273298,-45.36929838939933,-19.953969425555826,0.0,0.96
III,6,50.0,0.1620523427840137,0.3680242958163278,15.637109676271393,0.9791666666666667,0.5,46.4224794478819,0.718648680653555,58.082790747938404,49.17639577861411,86.11454243912513,-36.61938682888183,-26.844358945726686,0.06,0.5
III,7,21.0,0.339405373541572,0.770796777436265,15.749461183457264,1.0,0.0,55.21750737268255,0.6904823847840227,100.60352184974192,58.51130155117774,91.19749356419526,-32.19001068820585,7.903266750910134,0.0,0.0
IV,0,50.0,0.1379325476171347,0.3132477311642776,15.841095097031285,0.9583333333333334,1.0,42.82332477575949,0.9003351767157919,158.48159106545035,120.49021037123283,77.1725091861518,42.7161804037085,81.69814703610496,1.0,0.54
IV,1,50.0,0.13957891224830782,0.3169866600414242,15.826821069626575,0.9583333333333334,1.0,41.124347175132975,0.8378776436293647,157.5282097360639,120.5265036175322,78.76292317968563,39.01169932249894,76.56860760424632,1.0,0.56
IV,2,50.0,0.3220085730442427,0.7312882757849185,15.97969387813798,1.0,0.0,40.564452385873096,0.8064305395885545,167.34531348982387,142.29249559345453,110.28081297065262,31.785862846027342,59.14776240376709,1.0,0.38
IV,3,6.0,0.4294922679775428,0.9753860188967631,15.998479592600841,0.9583333333333334,1.0,45.48782734281987,0.8445284802471664,164.4280207452125,146.52729836328137,116.52027574440987,29.62896534509668,46.65035842891236,1.0,1.0
