section,trajectory,n,K,nearest_d_med,nearest_over_tau_med,ess_med,coverage_med,fallback_rate,n_fallback_med,cos_pred_raw_med,pred_mag_med,raw_et_med,patch_et_med,full_et_med,full_minus_patch_med,full_minus_raw_med,frac_full_beats_patch,frac_full_beats_raw,analysis,spearman_rho,p_value,support_bin,nearest_over_tau_lo,nearest_over_tau_hi,cos_med
trajectory,VI,501,6.0,0.0,0.0,15.571319361794137,1.0,0.2694610778443114,0.0,0.935103875756164,29.052971992881822,161.4078916359028,116.81527871617058,76.85698936670394,39.73862559607522,83.05314334223368,1.0,1.0,,,,,,,
trajectory,IV,156,4.0,0.21569731923310304,0.48985317124377503,15.94048537773996,0.9583333333333334,0.5128205128205128,1.0,0.8406880432570483,24.428372887958414,160.423862077838,126.26002467918383,82.89797130448864,38.89690635998631,74.44839356625735,1.0,1.0,,,,,,,
trajectory,II,428,9.0,0.20494511178717745,0.46543468086112205,15.785912694167173,1.0,0.2570093457943925,0.0,0.7881211922311466,22.545407470498088,66.14920168537466,41.77723740078632,68.8585295049208,-24.553776852594645,0.7890331893236393,0.21962616822429906,0.5420560747663551,,,,,,,
trajectory,III,371,8.0,0.2509711456867853,0.5699607767145946,15.810780631927404,1.0,0.22641509433962265,0.0,0.8594722213854963,29.469096003942603,75.03685823906689,41.29782690845897,51.23756950157603,-20.0237876526714,21.938274847004195,0.3477088948787062,0.6442048517520216,,,,,,,
trajectory,V,1868,38.0,2.193709517078984,4.98196068244817,15.993260480425345,1.0,0.0,0.0,0.9017127725835602,18.374459280620933,173.7605206910253,134.5754189314069,118.45232561236567,19.37511072291317,56.820723006297655,0.7510706638115632,0.9973233404710921,,,,,,,
corr,VI,501,,,,,,,,,,,,,,,,,A_benefit_vs_nearest_d,0.026978129615460058,0.5468722563393177,,,,
corr,VI,501,,,,,,,,,,,,,,,,,B_benefit_vs_ESS,-0.09057594770618127,0.042716956298015904,,,,
corr,VI,501,,,,,,,,,,,,,,,,,C_benefit_vs_coverage,-0.10812215201832556,0.015471163329924495,,,,
corr,VI,501,,,,,,,,,,,,,,,,,D_cos_vs_full_benefit,0.0580728582675287,0.1943921646262784,,,,
corr,IV,156,,,,,,,,,,,,,,,,,A_benefit_vs_nearest_d,-0.3879502457682034,5.617675954687894e-07,,,,
corr,IV,156,,,,,,,,,,,,,,,,,B_benefit_vs_ESS,-0.474609220654012,3.8664135710592497e-10,,,,
corr,IV,156,,,,,,,,,,,,,,,,,C_benefit_vs_coverage,0.11184065169049358,0.16452287206743854,,,,
corr,IV,156,,,,,,,,,,,,,,,,,D_cos_vs_full_benefit,0.3513236711921733,6.893988335363859e-06,,,,
corr,II,428,,,,,,,,,,,,,,,,,A_benefit_vs_nearest_d,0.15594039326858045,0.0012100255110243467,,,,
corr,II,428,,,,,,,,,,,,,,,,,B_benefit_vs_ESS,0.13983299890481965,0.0037473537865134864,,,,
corr,II,428,,,,,,,,,,,,,,,,,C_benefit_vs_coverage,0.3161264370555761,2.181001726195582e-11,,,,
corr,II,428,,,,,,,,,,,,,,,,,D_cos_vs_full_benefit,0.5629397917589188,3.796181406532954e-37,,,,
corr,III,371,,,,,,,,,,,,,,,,,A_benefit_vs_nearest_d,-0.07309916646496074,0.15998603582260326,,,,
corr,III,371,,,,,,,,,,,,,,,,,B_benefit_vs_ESS,0.057944197566839085,0.26559961244441127,,,,
corr,III,371,,,,,,,,,,,,,,,,,C_benefit_vs_coverage,0.4439873209822173,2.3642187954636786e-19,,,,
corr,III,371,,,,,,,,,,,,,,,,,D_cos_vs_full_benefit,0.1885859513978808,0.00025919969754479086,,,,
corr,V,1868,,,,,,,,,,,,,,,,,A_benefit_vs_nearest_d,-0.07806197486957928,0.0007334439107577205,,,,
corr,V,1868,,,,,,,,,,,,,,,,,B_benefit_vs_ESS,0.26186710666062946,1.1494589745380729e-30,,,,
corr,V,1868,,,,,,,,,,,,,,,,,C_benefit_vs_coverage,,,,,,
corr,V,1868,,,,,,,,,,,,,,,,,D_cos_vs_full_benefit,0.5993170081307216,1.4877959005339018e-182,,,,
support_bin,VI,166,,,,15.573900801539757,1.0,,,,,,116.2205450320939,74.86391902212381,40.1299274753988,83.66219881507988,1.0,,,,,far,3.3840852041988274e-08,6.768170408397656e-08,0.9423850094098182
support_bin,VI,335,,,,15.571319361794137,1.0,,,,,,117.42729459928276,77.33738034520958,39.65217256709887,82.95382838760638,1.0,,,,,mid,0.0,0.0,0.9329773547087142
support_bin,IV,52,,,,15.987294420472187,0.9583333333333334,,,,,,138.97965110182056,106.80651074479366,35.40006779080679,60.003859955023024,1.0,,,,,far,0.6527205477560889,0.9965305047324376,0.8400263465358238
support_bin,IV,52,,,,15.94048537773996,0.9583333333333334,,,,,,127.3211200970849,88.5182849607842,38.07327546459998,71.67174686445219,1.0,,,,,mid,0.3308097474535358,0.6458620709621351,0.7995503813347827
support_bin,IV,52,,,,15.690173184692837,1.0,,,,,,119.41220746337818,76.84205093198496,41.474751654385386,80.58966951475213,1.0,,,,,near,0.0247130537656646,0.3255510769631379,0.8625056539809182
support_bin,II,143,,,,15.919487711367609,1.0,,,,,,45.09950899145972,62.610592952686574,-15.463309173665102,0.0,0.21678321678321677,,,,,far,0.5884611816805578,0.9987875252102396,0.7993671747557364
support_bin,II,143,,,,15.808955712593182,1.0,,,,,,40.70672092986794,67.22117994168983,-25.977539206280184,3.371774059590159,0.11888111888111888,,,,,mid,0.3814415537634422,0.5874719192718465,0.8107756939192445
support_bin,II,142,,,,15.631701119649065,1.0,,,,,,44.20118698350268,74.13964891518555,-27.660224765824765,-0.0961707184593692,0.323943661971831,,,,,near,0.0822017294944431,0.3812256294010994,0.7015332092785165
support_bin,III,124,,,,15.922110551851025,1.0,,,,,,24.423081709169306,52.842090291914744,-30.76977913029002,8.708393515785549,0.3548387096774194,,,,,far,0.7545061072184199,0.990527075979738,0.8496013997363143
support_bin,III,124,,,,15.835039007296919,1.0,,,,,,39.60088302402008,51.297567000282754,-20.464639473172326,22.620969810610177,0.3709677419354839,,,,,mid,0.4577486370277257,0.7542371785820888,0.8858622627492656
support_bin,III,123,,,,15.652186877842208,1.0,,,,,,44.60144938548283,49.92225188128178,-8.430561556200391,28.793057152267025,0.3170731707317073,,,,,near,0.0811297303488902,0.4550526382794597,0.856337284449815
support_bin,V,623,,,,15.999221274790443,1.0,,,,,,152.57433516082003,131.78786889859597,19.32581724857809,45.39092794075732,0.7865168539325843,,,,,far,5.611205386265134,7.065660076539514,0.8843684829629099
support_bin,V,623,,,,15.994288707367122,1.0,,,,,,134.83364659518577,127.0147882013958,9.144790744741996,51.116512348339,0.6420545746388443,,,,,mid,3.822798235382016,5.610604064096047,0.912982232618614
support_bin,V,622,,,,15.967979782464898,1.0,,,,,,114.19072480077403,89.5685629116958,26.77635507211925,73.5741531562104,0.8247588424437299,,,,,near,1.09846869218646,3.820001518210596,0.9180589120708602
