trajectory,order,scan,arm,et_mm,eR_deg,iters,on_bound,n_points,wmean,sumw,ess_w,keep_ratio,n_retain,block,in_support
VI,0,0,Raw,148.82663013139725,4.916122977551957,25,0,9187,1.0,9187.0,9187.0,1.0,9187,0,True
VI,0,0,Huber,137.80211559671113,4.725143915022509,40,0,9187,0.7840017874984067,7202.624421747862,8010.1024067275985,,9187,0,True
VI,0,0,Trim,135.99292916068336,4.613807707046368,40,0,9187,0.8000435397844781,7350.0,7350.0,0.8000435397844781,7350,0,True
VI,0,0,Patch,106.61129452244053,5.764873846447402,32,0,9187,1.0,9187.0,9187.0,1.0,9187,0,True
VI,0,0,PatchHuber,89.23532731735456,5.415370849675565,40,0,9187,0.796802653874423,7320.225981144324,8152.187351096774,,9187,0,True
VI,0,0,PatchTrim,86.25845212996248,5.552093515515004,40,0,9187,0.8000435397844781,7350.0,7350.0,0.8000435397844781,7350,0,True
VI,0,0,Full,66.91086381228725,3.959045372299236,34,0,9187,1.0,9187.0,9187.0,1.0,9187,0,True
VI,1,1,Raw,152.12704174652154,4.585390755827114,39,0,8693,1.0,8693.0,8693.0,1.0,8693,0,True
VI,1,1,Huber,137.4099014134543,4.172898283486231,40,0,8693,0.7836477317393026,6812.249732009757,7580.732718313373,,8693,0,True
VI,1,1,Trim,134.280848922388,4.289166713959034,40,0,8693,0.7999539859657195,6954.0,6954.0,0.7999539859657195,6954,0,True
VI,1,1,Patch,108.88781266907915,5.104143735386898,36,0,8693,1.0,8693.0,8693.0,1.0,8693,0,True
VI,1,1,PatchHuber,89.25609902185873,4.748255459212246,40,0,8693,0.7978331665217688,6935.563716573736,7702.488485675539,,8693,0,True
VI,1,1,PatchTrim,80.88003210882736,4.801158927670765,40,0,8693,0.7999539859657195,6954.0,6954.0,0.7999539859657195,6954,0,True
VI,1,1,Full,69.14918707300393,3.2865809173997946,26,0,8693,1.0,8693.0,8693.0,1.0,8693,0,True
VI,2,2,Raw,155.5163438278263,6.306839081781899,40,0,10100,1.0,10100.0,10100.0,1.0,10100,0,True
VI,2,2,Huber,139.37858816870744,5.507928747921981,40,0,10100,0.7952811515809032,8032.3396309671225,8862.067907508845,,10100,0,True
VI,2,2,Trim,133.7903405608291,5.345708147647618,40,0,10100,0.8,8080.0,8080.0,0.8,8080,0,True
VI,2,2,Patch,112.42273323651258,6.387281172993511,40,0,10100,1.0,10100.0,10100.0,1.0,10100,0,True
VI,2,2,PatchHuber,93.22185758255495,5.945957124794927,40,0,10100,0.795370797678672,8033.245056554588,8920.008420265165,,10100,0,True
VI,2,2,PatchTrim,86.78870981513772,5.940144965980709,40,0,10100,0.8,8080.0,8080.0,0.8,8080,0,True
VI,2,2,Full,74.27971220243914,4.800295418974269,40,0,10100,1.0,10100.0,10100.0,1.0,10100,0,True
VI,3,3,Raw,157.5692560650436,4.049028099531629,32,0,10446,1.0,10446.0,10446.0,1.0,10446,0,True
VI,3,3,Huber,138.93976703494354,3.677022423841322,40,0,10446,0.8018901425242013,8376.544428807807,9222.132095835663,,10446,0,True
VI,3,3,Trim,131.00687220570435,3.401004819370198,40,0,10446,0.8000191460846257,8357.0,8357.0,0.8000191460846257,8357,0,True
VI,3,3,Patch,116.88414374121585,4.4508227784987655,29,0,10446,1.0,10446.0,10446.0,1.0,10446,0,True
VI,3,3,PatchHuber,96.66466968366278,4.470884694098201,40,0,10446,0.804094367427252,8399.569762145074,9290.963409651467,,10446,0,True
VI,3,3,PatchTrim,89.30631835997806,4.657611965576224,40,0,10446,0.8000191460846257,8357.0,8357.0,0.8000191460846257,8357,0,True
VI,3,3,Full,78.91559633838777,2.932166065760782,40,0,10446,1.0,10446.0,10446.0,1.0,10446,0,True
VI,4,4,Raw,151.40492711490427,4.183191994792766,31,0,10627,1.0,10627.0,10627.0,1.0,10627,0,True
VI,4,4,Huber,134.90078553778338,4.323982441380863,40,0,10627,0.7986954554640591,8487.736605216556,9360.349278262449,,10627,0,True
VI,4,4,Trim,129.4727635105788,4.170449515442712,40,0,10627,0.8000376399736521,8502.0,8502.0,0.8000376399736521,8502,0,True
VI,4,4,Patch,111.10199439994919,5.052951589049166,31,0,10627,1.0,10627.0,10627.0,1.0,10627,0,True
VI,4,4,PatchHuber,92.60843118703947,5.481980785506281,40,0,10627,0.7981792330178864,8482.25070928108,9402.402904589975,,10627,0,True
VI,4,4,PatchTrim,91.45627198928082,5.495183416459594,40,0,10627,0.8000376399736521,8502.0,8502.0,0.8000376399736521,8502,0,True
VI,4,4,Full,75.16956208013794,3.452329415015847,29,0,10627,1.0,10627.0,10627.0,1.0,10627,0,True
VI,5,5,Raw,148.72802999250268,4.665506818002147,29,0,10360,1.0,10360.0,10360.0,1.0,10360,0,True
VI,5,5,Huber,131.14662471839424,4.714330005367564,40,0,10360,0.8034791763057689,8324.044266527766,9175.220789406407,,10360,0,True
VI,5,5,Trim,125.43439191955305,4.577564772881478,40,0,10360,0.8,8288.0,8288.0,0.8,8288,0,True
VI,5,5,Patch,111.56584067977315,5.993242296533156,37,0,10360,1.0,10360.0,10360.0,1.0,10360,0,True
VI,5,5,PatchHuber,93.01536328566597,6.013549392470212,40,0,10360,0.8065149740879249,8355.495131550902,9254.295140656455,,10360,0,True
VI,5,5,PatchTrim,90.92961148584578,5.689880164634729,40,0,10360,0.8,8288.0,8288.0,0.8,8288,0,True
VI,5,5,Full,71.4515447537257,3.191741725197853,36,0,10360,1.0,10360.0,10360.0,1.0,10360,0,True
VI,6,6,Raw,152.74119589850528,5.536149267156991,40,0,9729,1.0,9729.0,9729.0,1.0,9729,0,True
VI,6,6,Huber,132.95212387286983,5.234492203733785,40,0,9729,0.7911753735982221,7697.345209737103,8492.432111011287,,9729,0,True
VI,6,6,Trim,127.65172026395696,5.086867489562816,40,0,9729,0.7999794429026621,7783.0,7783.0,0.7999794429026621,7783,0,True
VI,6,6,Patch,117.58284244097284,6.917776635006355,40,0,9729,1.0,9729.0,9729.0,1.0,9729,0,True
VI,6,6,PatchHuber,97.36747109360624,6.4935230827687285,40,0,9729,0.8015845692877062,7798.616274600093,8642.727270553252,,9729,0,True
VI,6,6,PatchTrim,86.6346152693515,6.426941672851659,40,0,9729,0.7999794429026621,7783.0,7783.0,0.7999794429026621,7783,0,True
VI,6,6,Full,74.9294274368768,3.890521552924663,40,0,9729,1.0,9729.0,9729.0,1.0,9729,0,True
VI,7,7,Raw,152.49312421602895,4.851415783437144,33,0,9546,1.0,9546.0,9546.0,1.0,9546,0,True
VI,7,7,Huber,133.4362440324334,4.05016001785038,40,0,9546,0.7834732976498318,7479.036099365294,8264.942017657004,,9546,0,True
VI,7,7,Trim,129.4448933244331,4.047239222246583,34,0,9546,0.8000209511837418,7637.0,7637.0,0.8000209511837418,7637,0,True
VI,7,7,Patch,116.3236409284911,5.932500773140361,40,0,9546,1.0,9546.0,9546.0,1.0,9546,0,True
VI,7,7,PatchHuber,99.00824092301174,5.5124522196440795,40,0,9546,0.8110480482519141,7742.264668612772,8566.563103317572,,9546,0,True
VI,7,7,PatchTrim,84.76177234005671,5.708758102564365,40,0,9546,0.8000209511837418,7637.0,7637.0,0.8000209511837418,7637,0,True
VI,7,7,Full,75.19252017456682,3.775284988485355,38,0,9546,1.0,9546.0,9546.0,1.0,9546,0,True
VI,8,8,Raw,154.40232019421464,5.439939235794481,36,0,9250,1.0,9250.0,9250.0,1.0,9250,0,True
VI,8,8,Huber,137.02797432303734,4.74162213960683,40,0,9250,0.7923093233027838,7328.86124055075,8118.408803015821,,9250,0,True
VI,8,8,Trim,130.6172530175401,4.654352703915815,40,0,9250,0.8,7400.0,7400.0,0.8,7400,0,True
VI,8,8,Patch,114.86677845159817,6.279582331728293,40,0,9250,1.0,9250.0,9250.0,1.0,9250,0,True
VI,8,8,PatchHuber,99.88411174460398,5.878825914260858,40,0,9250,0.8166639821352744,7554.141834751288,8349.859371205495,,9250,0,True
VI,8,8,PatchTrim,86.55901878382014,5.966446804247354,40,0,9250,0.8,7400.0,7400.0,0.8,7400,0,True
VI,8,8,Full,70.79719364122876,4.3852753642057065,40,0,9250,1.0,9250.0,9250.0,1.0,9250,0,True
VI,9,9,Raw,162.76387570565672,5.695298360469941,35,0,9503,1.0,9503.0,9503.0,1.0,9503,0,True
VI,9,9,Huber,145.90834163879467,5.52016764184728,40,0,9503,0.8135215264965809,7730.895066297009,8547.219023194755,,9503,0,True
VI,9,9,Trim,131.40773744358725,4.984769758953495,40,0,9503,0.7999579080290434,7602.0,7602.0,0.7999579080290434,7602,0,True
VI,9,9,Patch,124.01804107555135,6.490173052181121,40,0,9503,1.0,9503.0,9503.0,1.0,9503,0,True
