patch_id,mu_x_mm,mu_y_mm,mu_z_mm,norm_mm
0,6.4823,0.5998,-6.0979,8.9199
1,11.9820,0.1084,-0.0481,11.9826
2,5.5873,3.6290,4.6219,8.1086
3,7.0376,1.0461,-0.0909,7.1155
4,4.8106,11.2636,-7.6282,14.4291
5,1.2928,-6.9161,4.6503,8.4338
6,0.5107,29.6867,46.9617,55.5604
7,18.7155,0.0253,0.1102,18.7159
8,0.2096,-10.5719,-15.3596,18.6474
9,0.0847,-7.4244,84.0373,84.3647
10,-31.4806,-5.0565,-2.0724,31.9513
11,-0.4194,14.3862,10.7689,17.9751
12,0.1871,65.5768,-1.8876,65.6043
13,0.3507,-46.2125,22.9130,51.5822
14,5.0849,33.9927,-22.5611,41.1141
15,-8.3767,-0.3669,1.2293,8.4744
16,8.3898,-0.1773,0.0221,8.3917
17,3.7461,18.1654,8.8652,20.5574
18,0.6052,3.9269,-69.0038,69.1181
19,1.2358,-14.3222,-2.7981,14.6452
20,4.8844,-4.6040,-4.1986,7.9173
21,-32.8467,4.5539,2.0238,33.2226
22,21.4798,-0.1472,-0.1523,21.4808
23,-15.8220,-8.0481,-8.6004,19.7250
