trajectory,method,field,n,q25,median,q75
VI,Raw,et_mm,501,152.70978278288007,161.4078916359028,168.44528313870774
VI,Huber,et_mm,501,141.1590681495923,148.89218795717866,155.27008807498268
VI,Global-Vector,et_mm,501,143.0847593666256,155.94241210283988,162.14108864605083
VI,Patch,et_mm,501,109.77223450483656,116.81527871617058,124.6922904641099
VI,Full,et_mm,501,67.53246487238185,76.85698936670394,85.44029651943671
VI,Raw,eR_deg,501,3.857759547284926,4.509032326167583,5.007369806393239
VI,Huber,eR_deg,501,3.329901824509544,3.946522813593576,4.460226305170366
VI,Patch,eR_deg,501,3.884236345277726,4.66731556808484,5.592374948351854
VI,Full,eR_deg,501,2.0720622463046667,2.880859773738778,3.630353074489021
IV,Raw,et_mm,156,155.9652361070568,160.423862077838,164.9181833365643
IV,Huber,et_mm,156,129.78010435501523,132.56240261356217,137.74681418304988
IV,Global-Vector,et_mm,156,141.91082241859996,146.61330783603296,152.6249310011902
IV,Patch,et_mm,156,118.76083474606382,126.26002467918383,139.28082107730205
IV,Full,et_mm,156,76.71861656367321,82.89797130448864,107.23724859911253
IV,Raw,eR_deg,156,3.5530973815376594,4.006055547406119,4.434011171279623
IV,Huber,eR_deg,156,3.0874654023769805,3.401346458758705,3.761057978381865
IV,Patch,eR_deg,156,3.524863949048087,4.0003627437297276,4.546873924519737
IV,Full,eR_deg,156,1.8064360561840263,2.4644492346945155,3.0137922184903467
II,Raw,et_mm,428,56.05622781927296,66.14920168537466,93.7099404086743
II,Huber,et_mm,428,37.2035207627341,50.896762880148486,64.42596751337776
II,Global-Vector,et_mm,428,42.10738978580008,51.164140468069704,72.81933626792787
II,Patch,et_mm,428,33.94298068132507,41.77723740078632,73.3932571360748
II,Full,et_mm,428,57.81129500579188,68.8585295049208,78.18076948067001
II,Raw,eR_deg,428,1.3216990310266234,1.7742670258913975,2.373878905311585
II,Huber,eR_deg,428,0.9330811820808177,1.048944368693606,1.1593406796598653
II,Patch,eR_deg,428,0.7676099879311041,1.2694027224561912,1.8966694064831404
II,Full,eR_deg,428,1.564926066745998,2.2479043673156216,2.766906145461408
III,Raw,et_mm,371,54.04778861708195,75.03685823906689,86.37978732748773
III,Huber,et_mm,371,41.034981873995164,55.890951830742615,61.14496076340186
III,Global-Vector,et_mm,371,55.367903405746446,62.35139239336614,73.60285800116489
III,Patch,et_mm,371,24.00642019848893,41.29782690845897,57.82741774164175
III,Full,et_mm,371,42.35235765175301,51.23756950157603,71.55772102992489
III,Raw,eR_deg,371,1.2380414804303843,1.6582788034687348,2.525925743519894
III,Huber,eR_deg,371,0.8968670076257107,1.0469504575392192,1.3654207686537259
III,Patch,eR_deg,371,1.4227398557113804,2.116023558976764,2.6597152799425725
III,Full,eR_deg,371,2.056715951451003,2.641464510948353,3.4166457607787084
