comparison,trajectory,n,paired_median_mm,iqr_q25_mm,iqr_q75_mm,boot_lo95_mm,boot_hi95_mm,n_blocks
Patch vs Raw,VI,501,43.5102795086748,39.326245447293815,48.16699354162495,41.931537995542605,45.00253815437324,6
Patch vs Raw,IV,156,33.630700956669884,27.53242508120094,39.26552404078118,24.500096784798842,36.97387438525245,4
Patch vs Raw,II,428,19.1030687120173,10.083481827802766,29.896330654032127,11.889974540865653,30.113590387777112,9
Patch vs Raw,III,371,28.929768382518283,20.228785937844584,38.87892117421381,21.142902884338405,38.58934520104432,8
Patch vs Global-Vector,VI,501,33.91652779074042,25.849545864592542,44.35333329983695,26.691113331563344,43.55453096424758,6
Patch vs Global-Vector,IV,156,19.309845105301584,14.995126330373381,24.720446125996972,12.085896301240084,24.21107782888722,4
Patch vs Global-Vector,II,428,0.24040977969369948,-9.998543966174823,16.547372115833813,-8.493392098709009,18.015303964598967,9
Patch vs Global-Vector,III,371,25.034598317679105,14.014365981739932,31.124572722582275,15.808856621513243,30.358385294302316,8
Patch+Huber vs Huber,VI,501,45.3799532674704,39.505250814088484,51.63183592204531,43.191085603712864,47.06426401110586,6
Patch+Huber vs Huber,IV,156,31.806695607959142,26.103503781039247,38.060075296283145,22.396123948651727,34.68638056436181,4
Patch+Huber vs Huber,II,428,7.873511154948556,-0.011515460842041136,12.489239025335179,1.6113392056900473,12.085140901162951,9
Patch+Huber vs Huber,III,371,19.662711543654517,7.562930155669507,34.34958520185086,6.080280269829871,34.16447139539983,8
