trajectory,method,level,label,n,n_directions,frac_meet_threshold,et_median,et_q25,et_q75,solver_valid_rate,itercap_rate,safeguard_rate,rot_boundary_rate
VI,Raw,L0,"ref
0/0",20,1,0.0,160.58248093477386,154.0698219238603,167.90420045801955,1.0,0.6,0.0,0.0
VI,Raw,L1,10/0.5,80,4,0.0,160.54725822754935,153.92789662739037,167.88134448914778,1.0,0.6125,0.0,0.0
VI,Raw,L2,30/1,80,4,0.0,160.70589467538008,153.813249241035,167.890912932405,1.0,0.65,0.0,0.0
VI,Raw,L3,50/2,80,4,0.0,160.79194708115256,153.82510352740803,167.91078170653768,1.0,0.725,0.0,0.0
VI,Raw,L4,100/5,80,4,0.0,160.89049921307125,153.66946767560367,167.74013367387118,1.0,0.85,0.0,0.0
VI,Raw,L5,200/10,80,4,0.0,160.09252694397742,153.05410845039754,167.40859794447852,0.975,0.9125,0.0,0.025
VI,Raw,L6,300/15,80,4,0.0,162.4544952228194,153.1745384890972,197.27361564935768,0.65,0.6125,0.0,0.35
VI,Patch,L0,"ref
0/0",20,1,0.0,115.26890796330157,106.4397305522604,124.55591524337548,1.0,0.35,0.0,0.0
VI,Patch,L1,10/0.5,80,4,0.0,115.24775718253238,106.26559481145577,124.55240186886189,1.0,0.3875,0.0,0.0
VI,Patch,L2,30/1,80,4,0.0,115.3111210964235,105.98474854320474,124.53130780154027,1.0,0.5625,0.0,0.0
VI,Patch,L3,50/2,80,4,0.0,115.359367001253,106.00497489269773,124.49601070297095,1.0,0.725,0.0,0.0
VI,Patch,L4,100/5,80,4,0.0,115.48613890907554,106.06677542061236,124.28325510842178,1.0,0.85,0.0,0.0
VI,Patch,L5,200/10,80,4,0.0,115.46868801575283,106.0449733039937,122.80418061363672,1.0,0.9125,0.0,0.0
VI,Patch,L6,300/15,80,4,0.0,116.80604986719506,106.12155879933772,136.45728505721547,0.7,0.65,0.0,0.3
IV,Raw,L0,"ref
0/0",20,1,0.0,151.6428199864153,141.15740058169482,159.07771026983428,0.9,0.9,0.0,0.1
IV,Raw,L1,10/0.5,80,4,0.0,151.79427454229932,140.85734130393396,159.1805429133692,0.9,0.9,0.0,0.1
IV,Raw,L2,30/1,80,4,0.0,151.72828647788037,140.66592579283932,159.23654235859652,0.9,0.8875,0.0,0.1
