trajectory,method,n,et_median_mm,et_q25_mm,et_q75_mm,eR_median_deg,eR_q25_deg,eR_q75_deg
VI,Raw,501,161.4078916359028,152.70978278288007,168.44528313870774,4.509032326167583,3.857759547284926,5.007369806393239
VI,Huber,501,148.89218795717866,141.1590681495923,155.27008807498268,3.946522813593576,3.329901824509544,4.460226305170366
VI,Patch,501,116.81527871617058,109.77223450483656,124.6922904641099,4.66731556808484,3.884236345277726,5.592374948351854
VI,Full,501,76.85698936670394,67.53246487238185,85.44029651943671,2.880859773738778,2.0720622463046667,3.630353074489021
VI,Patch+Huber,501,102.85815636252336,93.34450960438092,109.31855591877398,4.308393753652117,3.507798286788598,5.113718184525895
IV,Raw,156,160.423862077838,155.9652361070568,164.9181833365643,4.006055547406119,3.5530973815376594,4.434011171279623
IV,Huber,156,132.56240261356217,129.78010435501523,137.74681418304988,3.401346458758705,3.0874654023769805,3.761057978381865
IV,Patch,156,126.26002467918383,118.76083474606382,139.28082107730205,4.0003627437297276,3.524863949048087,4.546873924519737
IV,Full,156,82.89797130448864,76.71861656367321,107.23724859911253,2.4644492346945155,1.8064360561840263,3.0137922184903467
IV,Patch+Huber,156,102.13888397725754,95.52459567026801,111.10634664436563,3.535414005614065,3.1436838655378825,3.9710743116112335
II,Raw,428,66.14920168537466,56.05622781927296,93.7099404086743,1.7742670258913975,1.3216990310266234,2.373878905311585
II,Huber,428,50.896762880148486,37.2035207627341,64.42596751337776,1.048944368693606,0.9330811820808177,1.1593406796598653
II,Patch,428,41.77723740078632,33.94298068132507,73.3932571360748,1.2694027224561912,0.7676099879311041,1.8966694064831404
II,Full,428,68.8585295049208,57.81129500579188,78.18076948067001,2.2479043673156216,1.564926066745998,2.766906145461408
II,Patch+Huber,428,40.133061803888246,33.60623202530039,44.99187657159463,1.53086484902532,1.1222553398488229,1.8954407415607095
III,Raw,371,75.03685823906689,54.04778861708195,86.37978732748773,1.6582788034687348,1.2380414804303843,2.525925743519894
III,Huber,371,55.890951830742615,41.034981873995164,61.14496076340186,1.0469504575392192,0.8968670076257107,1.3654207686537259
III,Patch,371,41.29782690845897,24.00642019848893,57.82741774164175,2.116023558976764,1.4227398557113804,2.6597152799425725
III,Full,371,51.23756950157603,42.35235765175301,71.55772102992489,2.641464510948353,2.056715951451003,3.4166457607787084
III,Patch+Huber,371,32.19458455669096,21.984641476614982,45.78537405343986,1.732525011135248,1.2802554010029996,2.2770562549245223
