panel,trajectory,x_deg,ecdf
FO,VI,0.8571,0.0
FO,VI,0.8571,0.002
FO,VI,1.6932,0.00399
FO,VI,1.767,0.00599
FO,VI,2.0527,0.00798
FO,VI,2.4376,0.00998
FO,VI,2.5821,0.01198
FO,VI,2.8054,0.01397
FO,VI,2.9778,0.01597
FO,VI,3.0073,0.01796
FO,VI,3.0821,0.01996
FO,VI,3.1338,0.02196
FO,VI,3.3153,0.02395
FO,VI,3.358,0.02595
FO,VI,3.4376,0.02794
FO,VI,4.0531,0.02994
FO,VI,4.4774,0.03194
FO,VI,4.5176,0.03393
FO,VI,4.5511,0.03593
FO,VI,4.5819,0.03792
FO,VI,5.0056,0.03992
FO,VI,5.0561,0.04192
FO,VI,5.0742,0.04391
FO,VI,5.0776,0.04591
FO,VI,5.3414,0.0479
FO,VI,5.4193,0.0499
FO,VI,5.4253,0.0519
FO,VI,5.4574,0.05389
FO,VI,5.486,0.05589
FO,VI,5.537,0.05788
FO,VI,5.5547,0.05988
FO,VI,5.6168,0.06188
FO,VI,5.6279,0.06387
FO,VI,5.6543,0.06587
FO,VI,5.6971,0.06786
FO,VI,5.7573,0.06986
FO,VI,5.8385,0.07186
FO,VI,5.8811,0.07385
FO,VI,6.0294,0.07585
FO,VI,6.0427,0.07784
FO,VI,6.05,0.07984
FO,VI,6.106,0.08184
FO,VI,6.4664,0.08383
FO,VI,6.4702,0.08583
FO,VI,6.4812,0.08782
FO,VI,6.4879,0.08982
FO,VI,6.5765,0.09182
FO,VI,6.5796,0.09381
FO,VI,6.7092,0.09581
FO,VI,6.7282,0.0978
FO,VI,6.8796,0.0998
FO,VI,6.9022,0.1018
FO,VI,6.9946,0.10379
FO,VI,7.0706,0.10579
FO,VI,7.2326,0.10778
FO,VI,7.2668,0.10978
FO,VI,7.303,0.11178
FO,VI,7.5299,0.11377
FO,VI,7.5324,0.11577
FO,VI,7.5639,0.11776
FO,VI,7.5976,0.11976
FO,VI,7.6581,0.12176
FO,VI,7.6722,0.12375
FO,VI,7.6768,0.12575
FO,VI,7.6787,0.12774
FO,VI,7.7051,0.12974
FO,VI,7.7493,0.13174
FO,VI,7.8832,0.13373
FO,VI,7.8877,0.13573
FO,VI,8.2215,0.13772
FO,VI,8.2343,0.13972
FO,VI,8.3213,0.14172
FO,VI,8.4343,0.14371
FO,VI,8.5086,0.14571
FO,VI,8.6213,0.1477
FO,VI,8.7907,0.1497
FO,VI,8.8333,0.1517
FO,VI,8.9445,0.15369
FO,VI,8.9684,0.15569
FO,VI,8.9795,0.15768
FO,VI,8.9851,0.15968
FO,VI,8.9887,0.16168
FO,VI,9.1118,0.16367
FO,VI,9.1427,0.16567
FO,VI,9.1641,0.16766
FO,VI,9.2297,0.16966
FO,VI,9.2875,0.17166
FO,VI,9.3212,0.17365
FO,VI,9.3336,0.17565
FO,VI,9.4265,0.17764
FO,VI,9.4687,0.17964
FO,VI,9.5018,0.18164
FO,VI,9.5388,0.18363
FO,VI,9.5921,0.18563
FO,VI,9.595,0.18762
FO,VI,9.6883,0.18962
FO,VI,9.9201,0.19162
FO,VI,10.006,0.19361
FO,VI,10.0502,0.19561
FO,VI,10.0526,0.1976
FO,VI,10.1327,0.1996
FO,VI,10.1786,0.2016
FO,VI,10.3113,0.20359
FO,VI,10.3248,0.20559
FO,VI,10.4015,0.20758
FO,VI,10.4096,0.20958
FO,VI,10.4281,0.21158
FO,VI,10.4847,0.21357
FO,VI,10.5363,0.21557
FO,VI,10.5365,0.21756
FO,VI,10.7247,0.21956
FO,VI,10.7727,0.22156
FO,VI,10.7748,0.22355
FO,VI,10.9175,0.22555
FO,VI,10.9307,0.22754
FO,VI,10.9535,0.22954
FO,VI,10.9778,0.23154
FO,VI,11.0133,0.23353
FO,VI,11.0153,0.23553
FO,VI,11.0288,0.23752
FO,VI,11.0437,0.23952
FO,VI,11.274,0.24152
FO,VI,11.2984,0.24351
FO,VI,11.4582,0.24551
FO,VI,11.9385,0.2475
FO,VI,12.1425,0.2495
FO,VI,12.1718,0.2515
FO,VI,12.2078,0.25349
FO,VI,12.2271,0.25549
FO,VI,12.2397,0.25749
FO,VI,12.2446,0.25948
FO,VI,12.3167,0.26148
