geometry,dtype,dose,alpha,eta_t,eta_R,ete_med,eR_med
GA,D1_appendage_disp,25.0,0.3551669316375199,0.8851174175118257,0.0015718586637642,18.601050548145047,0.0123366225784457
GA,D5_appendage_tilt,1.0,0.3551669316375199,0.0029819058303028,0.341127890028853,0.819689830910463,0.4844258832874071
GA,D2_missing_component,0.1,0.0172760996290408,0.0035571478955745,0.0033595804384445,0.0171467215978361,0.0009757072434214
GA,D2_missing_component,0.25,0.0431372549019607,0.001528788279755,0.0013642066531932,0.0150246254757103,0.0013441297808244
GA,D2_missing_component,0.5,0.0862745098039215,0.0020325161408723,0.0018649695693457,0.0663487768469724,0.0042519275169827
GA,D2_missing_component,0.75,0.1293764352587882,0.0002231579433498,0.0001915126441029,0.0181729067123915,0.001295210318303
GA,D2_missing_component,1.0,0.1724960254372019,0.9583522343879348,0.000313664719719,324.7120036382429,2.838755667692144
GA,D3_local_surface_off,25.0,0.0384737678855325,0.1383747998202445,0.0497550529163344,0.5713910635052568,0.0106486866934534
GA,D4_appendage_scale,0.05,0.1764705882352941,0.1167352001069085,0.0045116942241909,0.6288371446651708,0.0097521547276438
GA,D1_appendage_disp,0.0,0.0,0.0054684109362577,0.0044910125106892,0.0187560208333811,0.0010685870873089
GB,D1_appendage_disp,25.0,0.3196648860535721,0.8502090690154301,0.0025704608498468,17.548067437528005,0.02921818564118
GB,D5_appendage_tilt,1.0,0.3194919488105761,0.0305448502926607,0.6513323250044232,2.249972749185717,0.6007044469242067
GB,D2_missing_component,0.1,0.025517850966527,0.002844367783648,0.0021735793819061,0.0177578780414675,0.0011910463390411
GB,D2_missing_component,0.25,0.0637177664194304,0.0007433596599606,0.0006792500619796,0.0149576254616356,0.0023160865932977
GB,D2_missing_component,0.5,0.1274355328388609,0.0004200966790172,0.000333830891369,0.026835130866067,0.0036098071538612
GB,D2_missing_component,0.75,0.1911532992582914,0.0002033126244193,0.0001312043063071,0.0305009948043984,0.0031327561290502
GB,D2_missing_component,1.0,0.2547942046808347,0.9249215759433812,0.0001575958759102,300.0,0.0
GB,D3_local_surface_off,25.0,0.0444256562007609,0.2343424477878881,0.0732783092555544,1.5802836964074962,0.0473618635614376
GB,D4_appendage_scale,0.05,0.1559317474347642,0.0929119757664254,0.1479703444289192,0.1804468157400535,0.030000259258134
GB,D1_appendage_disp,0.0,0.0,0.0053913220448235,0.0081103090666198,0.0286122173527134,0.0017731001971443
GC,D1_appendage_disp,25.0,0.0858049386122223,0.381580454253607,0.1576443088001363,2.3942742221595483,0.1847726731535244
GC,D5_appendage_tilt,1.0,0.0858049386122223,0.0254060938166916,0.0351465948131983,0.1681475890760109,0.0371206156542633
GC,D2_missing_component,0.1,0.0033108014898606,0.0084016525361236,0.0087322004725919,0.0426828937935868,0.0077731681218416
GC,D2_missing_component,0.25,0.0080011036004966,0.0101731058025708,0.0090589415915761,0.0406089252875374,0.00586512573094
GC,D2_missing_component,0.5,0.0160022072009932,0.0129433558675548,0.0181913927339922,0.0424025921501918,0.017790584320524
GC,D2_missing_component,0.75,0.0240033108014898,0.0714342568374463,0.0634519500441255,0.42690017857477,0.0670062111464051
GC,D2_missing_component,1.0,0.0320044144019864,0.6865388037773741,0.3847997414304626,18.26090883671228,1.949331742463505
GC,D3_local_surface_off,25.0,0.3799144709615119,0.5392026814138628,0.2511272286442564,11.38695620603265,0.3797311672922187
GC,D4_appendage_scale,0.05,0.0331080148986067,0.0273634628313962,0.0312266482679487,0.0724237331207393,0.0133694907806727
GC,D1_appendage_disp,0.0,0.0,0.0098103840730529,0.0118763612667025,0.0484346785724048,0.0079017076081268
