comparison,trajectory,median,ci_lo,ci_hi,n
Patch vs Raw,VI,43.5102795086748,41.931537995542605,45.00253815437324,501
Patch vs Raw,IV,33.630700956669884,24.500096784798842,36.97387438525245,156
Patch vs Raw,II,19.1030687120173,11.889974540865653,30.113590387777112,428
Patch vs Raw,III,28.929768382518283,21.142902884338405,38.58934520104432,371
Patch vs Global-Vector,VI,33.91652779074042,26.691113331563344,43.55453096424758,501
Patch vs Global-Vector,IV,19.309845105301584,12.085896301240084,24.21107782888722,156
Patch vs Global-Vector,II,0.24040977969369942,-8.493392098709009,18.015303964598967,428
Patch vs Global-Vector,III,25.034598317679105,15.808856621513243,30.358385294302316,371
Patch+Huber vs Huber,VI,45.3799532674704,43.191085603712864,47.06426401110586,501
Patch+Huber vs Huber,IV,31.806695607959142,22.396123948651727,34.68638056436181,156
Patch+Huber vs Huber,II,7.873511154948556,1.6113392056900473,12.08514090116295,428
Patch+Huber vs Huber,III,19.66271154365452,6.080280269829871,34.16447139539983,371
