trajectory,cond,ecdf
VI,6.30531,0.0
VI,6.30531,0.002
VI,6.35,0.00399
VI,6.36388,0.00599
VI,6.36448,0.00798
VI,6.36829,0.00998
VI,6.37818,0.01198
VI,6.39851,0.01397
VI,6.41139,0.01597
VI,6.41471,0.01796
VI,6.42127,0.01996
VI,6.42435,0.02196
VI,6.42916,0.02395
VI,6.44506,0.02595
VI,6.44724,0.02794
VI,6.45032,0.02994
VI,6.45519,0.03194
VI,6.47034,0.03393
VI,6.48835,0.03593
VI,6.4933,0.03792
VI,6.51456,0.03992
VI,6.52,0.04192
VI,6.53085,0.04391
VI,6.53142,0.04591
VI,6.55595,0.0479
VI,6.56792,0.0499
VI,6.56939,0.0519
VI,6.59554,0.05389
VI,6.60245,0.05589
VI,6.61239,0.05788
VI,6.61362,0.05988
VI,6.61781,0.06188
VI,6.65051,0.06387
VI,6.65911,0.06587
VI,6.65956,0.06786
VI,6.65974,0.06986
VI,6.69764,0.07186
VI,6.70361,0.07385
VI,6.70366,0.07585
VI,6.70563,0.07784
VI,6.70848,0.07984
VI,6.71199,0.08184
VI,6.72004,0.08383
VI,6.72445,0.08583
VI,6.7246,0.08782
VI,6.7263,0.08982
VI,6.74211,0.09182
VI,6.752,0.09381
VI,6.76051,0.09581
VI,6.76544,0.0978
VI,6.76545,0.0998
VI,6.76643,0.1018
VI,6.77787,0.10379
VI,6.79312,0.10579
VI,6.79839,0.10778
VI,6.80011,0.10978
VI,6.81096,0.11178
VI,6.81616,0.11377
VI,6.81723,0.11577
VI,6.82113,0.11776
VI,6.83416,0.11976
VI,6.83748,0.12176
VI,6.85906,0.12375
VI,6.86734,0.12575
VI,6.87137,0.12774
VI,6.87679,0.12974
VI,6.87936,0.13174
VI,6.88745,0.13373
VI,6.9056,0.13573
VI,6.91968,0.13772
VI,6.91974,0.13972
VI,6.93627,0.14172
VI,6.95318,0.14371
VI,6.95648,0.14571
VI,6.96582,0.1477
VI,6.96921,0.1497
VI,6.96986,0.1517
VI,6.97638,0.15369
VI,6.97978,0.15569
VI,6.98858,0.15768
VI,6.99053,0.15968
VI,6.99508,0.16168
VI,6.99902,0.16367
VI,7.00141,0.16567
VI,7.01291,0.16766
VI,7.01717,0.16966
VI,7.02578,0.17166
VI,7.04881,0.17365
VI,7.04987,0.17565
VI,7.05833,0.17764
VI,7.06255,0.17964
VI,7.06671,0.18164
VI,7.07775,0.18363
VI,7.08281,0.18563
VI,7.08663,0.18762
VI,7.10512,0.18962
VI,7.10512,0.19162
VI,7.10909,0.19361
VI,7.11484,0.19561
VI,7.11535,0.1976
VI,7.1192,0.1996
VI,7.12272,0.2016
VI,7.13489,0.20359
VI,7.14004,0.20559
VI,7.14834,0.20758
VI,7.15393,0.20958
VI,7.15883,0.21158
VI,7.15954,0.21357
VI,7.16913,0.21557
VI,7.17075,0.21756
VI,7.17903,0.21956
VI,7.18703,0.22156
VI,7.19193,0.22355
VI,7.20184,0.22555
VI,7.204,0.22754
VI,7.20968,0.22954
VI,7.21258,0.23154
VI,7.21531,0.23353
VI,7.21565,0.23553
VI,7.21996,0.23752
VI,7.22212,0.23952
VI,7.22227,0.24152
VI,7.22229,0.24351
VI,7.22674,0.24551
VI,7.23015,0.2475
VI,7.23297,0.2495
VI,7.23762,0.2515
VI,7.24039,0.25349
VI,7.24125,0.25549
VI,7.24613,0.25749
VI,7.24718,0.25948
VI,7.25315,0.26148
VI,7.25572,0.26347
VI,7.25579,0.26547
VI,7.25813,0.26747
VI,7.2675,0.26946
VI,7.26792,0.27146
VI,7.26992,0.27345
VI,7.27226,0.27545
VI,7.27406,0.27745
VI,7.27484,0.27944
VI,7.27566,0.28144
VI,7.27697,0.28343
VI,7.28016,0.28543
VI,7.28315,0.28743
VI,7.28832,0.28942
VI,7.28861,0.29142
VI,7.29136,0.29341
VI,7.29218,0.29541
VI,7.29612,0.29741
VI,7.30124,0.2994
VI,7.30299,0.3014
VI,7.30543,0.30339
VI,7.32388,0.30539
VI,7.32454,0.30739
VI,7.32627,0.30938
VI,7.3294,0.31138
VI,7.33186,0.31337
VI,7.33313,0.31537
VI,7.33449,0.31737
VI,7.3467,0.31936
VI,7.34777,0.32136
VI,7.35337,0.32335
VI,7.35413,0.32535
VI,7.35426,0.32735
VI,7.35625,0.32934
VI,7.35958,0.33134
VI,7.36006,0.33333
VI,7.36179,0.33533
VI,7.36686,0.33733
VI,7.36883,0.33932
VI,7.36949,0.34132
VI,7.37135,0.34331
VI,7.37233,0.34531
VI,7.37587,0.34731
VI,7.37769,0.3493
VI,7.3783,0.3513
VI,7.3823,0.35329
VI,7.38721,0.35529
VI,7.38777,0.35729
VI,7.39349,0.35928
VI,7.39375,0.36128
VI,7.39376,0.36327
VI,7.39467,0.36527
VI,7.3948,0.36727
VI,7.39659,0.36926
VI,7.39838,0.37126
VI,7.39933,0.37325
VI,7.4006,0.37525
VI,7.40244,0.37725
VI,7.40509,0.37924
VI,7.40547,0.38124
VI,7.40748,0.38323
VI,7.40841,0.38523
VI,7.41212,0.38723
VI,7.4152,0.38922
VI,7.41531,0.39122
VI,7.41552,0.39321
VI,7.41727,0.39521
VI,7.42246,0.39721
VI,7.42411,0.3992
VI,7.42629,0.4012
VI,7.42667,0.40319
VI,7.42886,0.40519
VI,7.429,0.40719
