trajectory,method,level,n,frac_meet,meet_count,et_med,et_q25,et_q75
VI,Raw,L0,20,0.0,0,160.58248093477386,154.0698219238603,167.90420045801955
VI,Raw,L1,80,0.0,0,160.54725822754935,153.92789662739037,167.88134448914778
VI,Raw,L2,80,0.0,0,160.70589467538008,153.813249241035,167.890912932405
VI,Raw,L3,80,0.0,0,160.79194708115256,153.82510352740803,167.91078170653768
VI,Raw,L4,80,0.0,0,160.89049921307125,153.66946767560367,167.74013367387118
VI,Raw,L5,80,0.0,0,160.09252694397742,153.05410845039754,167.40859794447852
VI,Raw,L6,80,0.0,0,162.4544952228194,153.1745384890972,197.27361564935768
VI,Huber,L0,20,0.0,0,149.26344749722392,142.3323776050673,157.7272034390153
VI,Huber,L1,80,0.0,0,149.272685478396,142.32902133392696,157.73999393240686
VI,Huber,L2,80,0.0,0,149.07473071717797,142.1475196527512,157.6486966038973
VI,Huber,L3,80,0.0,0,149.0734604813665,142.31032076321816,157.65268523573639
VI,Huber,L4,80,0.0,0,148.44564463935728,141.90886139391057,157.6270432014495
VI,Huber,L5,80,0.0,0,148.9168917189921,138.6606634868415,157.47005673238638
VI,Huber,L6,80,0.0,0,157.9659799128008,143.95881781632235,247.88953779022086
VI,Patch,L0,20,0.0,0,115.26890796330157,106.4397305522604,124.55591524337548
VI,Patch,L1,80,0.0,0,115.24775718253238,106.26559481145577,124.55240186886189
VI,Patch,L2,80,0.0,0,115.3111210964235,105.98474854320474,124.53130780154027
VI,Patch,L3,80,0.0,0,115.359367001253,106.00497489269773,124.49601070297095
VI,Patch,L4,80,0.0,0,115.48613890907554,106.06677542061236,124.28325510842178
VI,Patch,L5,80,0.0,0,115.46868801575283,106.0449733039937,122.80418061363672
VI,Patch,L6,80,0.0,0,116.80604986719506,106.12155879933772,136.45728505721547
VI,PatchHuber,L0,20,0.0,0,102.2297842099466,88.12795309826014,108.33803119819194
VI,PatchHuber,L1,80,0.0,0,102.24933344770866,87.64626465637049,108.28535554951499
VI,PatchHuber,L2,80,0.0,0,103.07007932368758,87.32099955812092,108.2142168171261
VI,PatchHuber,L3,80,0.0,0,103.48744501177696,86.65014880327628,108.21669977479719
VI,PatchHuber,L4,80,0.0,0,102.22684535685488,85.4201848001898,108.48368283853144
VI,PatchHuber,L5,80,0.0,0,100.97723651705755,85.28383372710027,106.98334620615753
VI,PatchHuber,L6,80,0.0,0,106.83081544180033,92.48374884058828,246.31045395265494
IV,Raw,L0,20,0.0,0,151.6428199864153,141.15740058169482,159.07771026983428
IV,Raw,L1,80,0.0,0,151.79427454229932,140.85734130393396,159.1805429133692
IV,Raw,L2,80,0.0,0,151.72828647788037,140.66592579283932,159.23654235859652
IV,Raw,L3,80,0.0,0,151.24633287307785,140.58289597667113,159.30543235318862
IV,Raw,L4,80,0.0,0,151.45391863515954,138.82148761149676,161.0196978221557
IV,Raw,L5,80,0.0,0,151.6735138967917,138.7756195735207,165.39260997593794
IV,Raw,L6,80,0.0,0,153.37445243645305,138.17091666852627,170.81124026865845
IV,Huber,L0,20,0.0,0,105.14329753257412,100.64552336670242,115.20279141164087
IV,Huber,L1,80,0.0,0,105.12608519236582,100.78357026672347,116.47067996190691
IV,Huber,L2,80,0.0,0,107.7949362619452,98.24553715091113,118.99232401888324
IV,Huber,L3,80,0.0,0,108.79904426851418,97.02914108517476,124.20631505209556
IV,Huber,L4,80,0.0,0,113.16602990289414,96.11755877414875,133.48203156426092
IV,Huber,L5,80,0.0125,1,123.23786843741564,96.80110627004953,145.93259073273492
IV,Huber,L6,80,0.0,0,134.71323099549622,99.63086496485481,195.008209281154
IV,Patch,L0,20,0.0,0,140.36712311760618,132.76010227945002,153.0861127788212
IV,Patch,L1,80,0.0,0,139.90256348788165,132.23961130063145,153.50625180168333
IV,Patch,L2,80,0.0,0,139.70994431410435,131.35799808584412,154.09325344142007
IV,Patch,L3,80,0.0,0,140.3804363677885,131.05081084974523,155.01126458797222
IV,Patch,L4,80,0.0,0,141.2137895345677,130.41644598903065,156.2007006467467
