trajectory,frame_id,method,perturbation_level,direction_id,translation_init_mm,rotation_init_deg,final_translation_error_mm,final_rotation_error_deg,iterations,termination_reason,hit_iteration_cap,hit_translation_boundary,hit_rotation_boundary,final_objective,ref_translation_error_mm,ref_rotation_error_deg,delta_init_t_mm,delta_init_r_deg,posthoc
VI,0,Raw,L4,v1,100.0,5.0,148.35265408063145,5.014088870895632,38,tol,0,0,0,0.004028706878549174,148.82663013139725,4.916122977551957,-0.4739760507657991,0.09796589334367489,0
VI,0,Raw,L4,v2,100.0,5.0,148.32330831178237,5.0617846151671495,40,cap,1,0,0,0.004028780435077826,148.82663013139725,4.916122977551957,-0.5033218196148823,0.14566163761519224,0
VI,0,Raw,L4,v3,100.0,5.0,151.0594425506608,3.8118293784758706,40,cap,1,0,0,0.004043475369971802,148.82663013139725,4.916122977551957,2.232812419263553,-1.1042935990760867,0
VI,0,Raw,L4,v4,100.0,5.0,147.55911332372472,5.556052807241472,40,cap,1,0,0,0.004032778788186828,148.82663013139725,4.916122977551957,-1.2675168076725356,0.6399298296895148,0
VI,0,Raw,L5,v1,200.0,10.0,148.33603322950015,5.024567514791338,40,cap,1,0,0,0.004028729298433939,148.82663013139725,4.916122977551957,-0.49059690189710636,0.10844453723938052,0
VI,0,Raw,L5,v2,200.0,10.0,148.28103301952444,5.061964302928236,40,cap,1,0,0,0.004028801882255741,148.82663013139725,4.916122977551957,-0.5455971118728087,0.1458413253762787,0
VI,0,Raw,L5,v3,200.0,10.0,154.7813533853902,2.0543083129271884,40,cap,1,0,0,0.004173655140993291,148.82663013139725,4.916122977551957,5.954723253992938,-2.861814664624769,0
VI,0,Raw,L5,v4,200.0,10.0,145.77238475310423,6.323731776999537,40,cap,1,0,0,0.0040512665999832154,148.82663013139725,4.916122977551957,-3.054245378293018,1.4076087994475799,0
VI,0,Raw,L6,v1,300.0,15.0,148.45484163269484,5.007432328915529,40,cap,1,0,0,0.004028711324938202,148.82663013139725,4.916122977551957,-0.3717884987024149,0.09130935136357188,0
VI,0,Raw,L6,v2,300.0,15.0,149.1199219297614,4.79053284095152,40,cap,1,0,0,0.004028780281922106,148.82663013139725,4.916122977551957,0.29329179836415165,-0.1255901366004375,0
VI,0,Raw,L6,v3,300.0,15.0,250.4400764358062,15.000000000000002,1,boundary,0,0,1,,148.82663013139725,4.916122977551957,101.61344630440894,10.083877022448045,0
VI,0,Raw,L6,v4,300.0,15.0,125.02848312763653,14.625957212134912,4,boundary,0,0,1,0.0086692590452557,148.82663013139725,4.916122977551957,-23.798147003760718,9.709834234582955,0
VI,0,Huber,L4,v1,100.0,5.0,137.64959797441284,4.805571446175888,40,cap,1,0,0,0.0009178320993283299,137.80211559671113,4.725143915022509,-0.1525176222982907,0.08042753115337842,0
VI,0,Huber,L4,v2,100.0,5.0,137.56196748718895,4.89617715568802,40,cap,1,0,0,0.0009165302042670474,137.80211559671113,4.725143915022509,-0.24014810952218113,0.17103324066551018,0
VI,0,Huber,L4,v3,100.0,5.0,140.27295764040838,2.3922840874933313,40,cap,1,0,0,0.0009886686037197123,137.80211559671113,4.725143915022509,2.470842043697246,-2.332859827529178,0
VI,0,Huber,L4,v4,100.0,5.0,136.36284455479776,6.07625947199774,40,cap,1,0,0,0.0009522820707425657,137.80211559671113,4.725143915022509,-1.439271041913372,1.3511155569752304,0
VI,0,Huber,L5,v1,200.0,10.0,137.62048104668207,4.843770059033032,40,cap,1,0,0,0.0009180455649817175,137.80211559671113,4.725143915022509,-0.18163455002905948,0.11862614401052252,0
VI,0,Huber,L5,v2,200.0,10.0,137.43375610348127,4.923758628917993,40,cap,1,0,0,0.0009278421929943404,137.80211559671113,4.725143915022509,-0.3683594932298604,0.19861471389548324,0
VI,0,Huber,L5,v3,200.0,10.0,145.66990171170914,3.0719364397093636,40,cap,1,0,0,0.0014713945262979798,137.80211559671113,4.725143915022509,7.867786114998012,-1.6532074753131458,0
VI,0,Huber,L5,v4,200.0,10.0,133.8219103220174,7.822126207751348,40,cap,1,0,0,0.0010457593690647504,137.80211559671113,4.725143915022509,-3.9802052746937306,3.096982292728838,0
VI,0,Huber,L6,v1,300.0,15.0,137.75162126742762,4.799967833624145,40,cap,1,0,0,0.0009172440502098691,137.80211559671113,4.725143915022509,-0.05049432928350939,0.07482391860163595,0
VI,0,Huber,L6,v2,300.0,15.0,261.2259228238025,15.000000000000002,1,boundary,0,0,1,,137.80211559671113,4.725143915022509,123.42380722709134,10.274856084977493,0
VI,0,Huber,L6,v3,300.0,15.0,256.5266385938467,15.000000000000002,1,boundary,0,0,1,,137.80211559671113,4.725143915022509,118.72452299713558,10.274856084977493,0
VI,0,Huber,L6,v4,300.0,15.0,128.61374821537794,14.822447546873539,4,boundary,0,0,1,0.00574755957373744,137.80211559671113,4.725143915022509,-9.188367381333194,10.09730363185103,0
VI,0,Patch,L4,v1,100.0,5.0,106.44982627255713,5.798367913499041,37,tol,0,0,0,0.0038948852799157805,106.61129452244053,5.764873846447402,-0.16146824988339858,0.03349406705163904,0
VI,0,Patch,L4,v2,100.0,5.0,106.16236625078463,5.885648779775803,40,cap,1,0,0,0.0038951022139557833,106.61129452244053,5.764873846447402,-0.44892827165590177,0.12077493332840117,0
VI,0,Patch,L4,v3,100.0,5.0,108.0033789930406,4.936690472493541,40,cap,1,0,0,0.0039045055122834613,106.61129452244053,5.764873846447402,1.392084470600068,-0.8281833739538609,0
VI,0,Patch,L4,v4,100.0,5.0,105.04919227085846,6.328421474773674,40,cap,1,0,0,0.003898065912881014,106.61129452244053,5.764873846447402,-1.5621022515820755,0.5635476283262726,0
VI,0,Patch,L5,v1,200.0,10.0,106.14336289806256,5.865489324678836,40,cap,1,0,0,0.0038950699839908867,106.61129452244053,5.764873846447402,-0.4679316243779681,0.10061547823143435,0
VI,0,Patch,L5,v2,200.0,10.0,106.54931299136973,5.7869530738706985,38,tol,0,0,0,0.0038948752966497906,106.61129452244053,5.764873846447402,-0.06198153107079918,0.02207922742329682,0
VI,0,Patch,L5,v3,200.0,10.0,110.47092462762066,3.579666543010706,40,cap,1,0,0,0.003975573007702575,106.61129452244053,5.764873846447402,3.8596301051801305,-2.1852073034366954,0
VI,0,Patch,L5,v4,200.0,10.0,103.78629401026413,6.9096364091059925,40,cap,1,0,0,0.003908133204596476,106.61129452244053,5.764873846447402,-2.825000512176402,1.1447625626585909,0
VI,0,Patch,L6,v1,300.0,15.0,106.22827552282266,5.863118141921277,40,cap,1,0,0,0.0038950961221291035,106.61129452244053,5.764873846447402,-0.38301899961787456,0.09824429547387492,0
VI,0,Patch,L6,v2,300.0,15.0,106.9793325489853,5.582916396497859,40,cap,1,0,0,0.0038956534320568493,106.61129452244053,5.764873846447402,0.3680380265447667,-0.18195744994954222,0
VI,0,Patch,L6,v3,300.0,15.0,250.88904330235684,15.000000000000002,1,boundary,0,0,1,,106.61129452244053,5.764873846447402,144.2777487799163,9.2351261535526,0
VI,0,Patch,L6,v4,300.0,15.0,102.16821063336182,7.670166037172303,40,cap,1,0,0,0.003932009421131384,106.61129452244053,5.764873846447402,-4.443083889078707,1.905292190724901,0
VI,0,PatchHuber,L4,v1,100.0,5.0,88.49216200517539,5.679662495296628,40,cap,1,0,0,0.0011203594061529813,89.23532731735456,5.415370849675565,-0.7431653121791726,0.26429164562106333,0
VI,0,PatchHuber,L4,v2,100.0,5.0,89.13030604439744,5.704604753085652,40,cap,1,0,0,0.0011271145276443404,89.23532731735456,5.415370849675565,-0.10502127295711716,0.2892339034100875,0
VI,0,PatchHuber,L4,v3,100.0,5.0,95.35797154147376,3.6140498551696045,40,cap,1,0,0,0.0011840655422362511,89.23532731735456,5.415370849675565,6.122644224119199,-1.8013209945059603,0
VI,0,PatchHuber,L4,v4,100.0,5.0,85.55102395430728,6.8387089367825284,40,cap,1,0,0,0.0011348857467693822,89.23532731735456,5.415370849675565,-3.6843033630472775,1.4233380871069636,0
VI,0,PatchHuber,L5,v1,200.0,10.0,88.91716984328845,5.673508301089787,40,cap,1,0,0,0.001120954245818708,89.23532731735456,5.415370849675565,-0.31815747406611194,0.25813745141422206,0
VI,0,PatchHuber,L5,v2,200.0,10.0,89.88299680432868,5.476178304601989,40,cap,1,0,0,0.001138713881669408,89.23532731735456,5.415370849675565,0.6476694869741237,0.06080745492642414,0
VI,0,PatchHuber,L5,v3,200.0,10.0,102.14500161082931,3.0021108822124165,40,cap,1,0,0,0.0014605565233829134,89.23532731735456,5.415370849675565,12.909674293474751,-2.4132599674631483,0
