trajectory,method,level,n,et_med,et_iqr,et_p25,et_p75,eR_med,eR_iqr,captureA_rate,captureB_rate,safeguard_rate,itercap_rate,numfail_rate,solvervalid_rate,posthoc,PatchRaw_gain_t_med,PatchRaw_frac_pos,PHHuber_gain_t_med,PHHuber_frac_pos
II,Huber,L0,20,31.83066967572025,36.11576622059897,18.45441766274877,54.57018388334774,0.8539798681472831,0.4919399410056231,0.0,0.7,0.0,0.6,0.0,1.0,0,9.622765707752578,0.85,6.085376742983261,0.55
II,Huber,L1,80,31.57669660484013,36.27380892763551,18.369588912915198,54.643397840550705,0.856659185572993,0.4915198589633285,0.0,0.7,0.0,0.7,0.0,1.0,0,9.636547898022307,0.85,6.258418734245961,0.6125
II,Huber,L2,80,31.536471640205892,36.525780190938434,18.39069063416781,54.916470825106245,0.9362225868091096,0.5114650845864015,0.35,0.7,0.0,0.725,0.0,1.0,0,9.707299736291787,0.85,3.534565853995119,0.5625
II,Huber,L3,80,31.80886257323202,34.63362338253228,20.204459956560235,54.83808333909251,1.073353669894689,0.5378970525849969,0.7,0.7,0.0,0.825,0.0,1.0,0,9.628192796976332,0.85,2.769135043234174,0.5875
II,Huber,L4,80,35.60636196064046,32.19967091151334,23.78994157967184,55.98961249118518,1.4037123215029341,0.8129298761925816,1.0,0.475,0.0,0.9125,0.0,1.0,0,10.729116491597914,0.8625,2.6147489733995712,0.575
II,Huber,L5,80,46.295634884005786,42.187191520117366,27.368018056146028,69.5552095762634,2.585360015157339,2.44585649318557,1.0,0.1875,0.0,1.0,0.0,1.0,0,10.830508180026015,0.825,3.0899091391211275,0.6125
II,Huber,L6,80,64.78380716671955,43.245728094207564,38.56691657397322,81.81264466818078,4.948518489856424,6.550804311492701,0.875,0.1,0.1375,0.8625,0.0,0.8625,0,10.743715886111154,0.85,3.2311931820760833,0.6
II,Patch,L0,20,47.147668822683755,36.773221777763126,34.950216582921655,71.72343836068478,1.67364154511132,1.4630498204547908,0.0,0.4,0.0,0.7,0.0,1.0,0,9.622765707752578,0.85,6.085376742983261,0.55
II,Patch,L1,80,47.277548799023286,37.036887354920125,34.69993934037733,71.73682669529745,1.6645072269885828,1.4911884550427539,0.0,0.4,0.0,0.6375,0.0,1.0,0,9.636547898022307,0.85,6.258418734245961,0.6125
II,Patch,L2,80,47.99312549979295,37.046310412574684,34.733251826106425,71.77956223868111,1.6746286531358314,1.4887512340703912,0.1625,0.4,0.0,0.6625,0.0,1.0,0,9.707299736291787,0.85,3.534565853995119,0.5625
