scan,fold,method,et_mm,eR_deg,iters,on_bound
0,0,Raw,148.82663013139725,4.916122977551957,25,0
0,0,Huber,137.80211559671113,4.725143915022509,40,0
0,0,PatchOOF,106.87647652191488,5.806751076195245,30,0
0,0,PatchHuberOOF,88.7449023455918,5.438192133715028,40,0
0,0,PatchFullFit,106.61129452244053,5.764873846447402,32,0
1,0,Raw,152.12704174652154,4.585390755827114,39,0
1,0,Huber,137.4099014134543,4.172898283486231,40,0
1,0,PatchOOF,109.2718939178182,5.201429709854169,33,0
1,0,PatchHuberOOF,88.90831143256258,4.8289813021613295,40,0
1,0,PatchFullFit,108.88781266907915,5.104143735386898,36,0
2,0,Raw,155.5163438278263,6.306839081781899,40,0
2,0,Huber,139.37858816870744,5.507928747921981,40,0
2,0,PatchOOF,112.79056295809768,6.437219821320742,40,0
2,0,PatchHuberOOF,93.09432673169478,5.986550241941862,40,0
2,0,PatchFullFit,112.42273323651258,6.387281172993511,40,0
3,0,Raw,157.5692560650436,4.049028099531629,32,0
3,0,Huber,138.93976703494354,3.677022423841322,40,0
3,0,PatchOOF,117.46222091835004,4.52926914183299,30,0
3,0,PatchHuberOOF,97.15411613365185,4.5194635931939695,40,0
3,0,PatchFullFit,116.88414374121585,4.4508227784987655,29,0
4,0,Raw,151.40492711490427,4.183191994792766,31,0
4,0,Huber,134.90078553778338,4.323982441380863,40,0
4,0,PatchOOF,111.83857976355591,5.150247974782716,30,0
4,0,PatchHuberOOF,93.00522686012333,5.565392557965424,40,0
4,0,PatchFullFit,111.10199439994919,5.052951589049166,31,0
5,0,Raw,148.72802999250268,4.665506818002147,29,0
5,0,Huber,131.14662471839424,4.714330005367564,40,0
5,0,PatchOOF,112.3542223219441,6.0614698315565265,38,0
5,0,PatchHuberOOF,93.50369616059815,6.039931384194317,40,0
5,0,PatchFullFit,111.56584067977315,5.993242296533156,37,0
6,0,Raw,152.74119589850528,5.536149267156991,40,0
6,0,Huber,132.95212387286983,5.234492203733785,40,0
6,0,PatchOOF,118.69098260039233,7.00847955634494,40,0
6,0,PatchHuberOOF,98.09653805154613,6.581393046627326,40,0
6,0,PatchFullFit,117.58284244097284,6.917776635006355,40,0
7,0,Raw,152.49312421602895,4.851415783437144,33,0
7,0,Huber,133.4362440324334,4.05016001785038,40,0
7,0,PatchOOF,117.18230202406706,6.029362870435304,40,0
7,0,PatchHuberOOF,99.43645835747134,5.555665373002845,40,0
7,0,PatchFullFit,116.3236409284911,5.932500773140361,40,0
8,0,Raw,154.40232019421464,5.439939235794481,36,0
8,0,Huber,137.02797432303734,4.74162213960683,40,0
8,0,PatchOOF,116.02783312289272,6.271054516270013,40,0
8,0,PatchHuberOOF,100.7190520088842,5.909550351208526,40,0
8,0,PatchFullFit,114.86677845159817,6.279582331728293,40,0
9,0,Raw,162.76387570565672,5.695298360469941,35,0
9,0,Huber,145.90834163879467,5.52016764184728,40,0
9,0,PatchOOF,125.13570854254694,6.4847108051807725,40,0
9,0,PatchHuberOOF,112.28837498634249,6.2225938492079935,40,0
9,0,PatchFullFit,124.01804107555135,6.490173052181121,40,0
10,0,Raw,163.84990616459143,6.0695321932330515,40,0
10,0,Huber,148.02399208372285,5.967494807307152,40,0
10,0,PatchOOF,122.7682608658747,6.607408635137603,40,0
10,0,PatchHuberOOF,113.38501918905096,6.392876316417279,40,0
10,0,PatchFullFit,121.5555372518435,6.627160729402519,40,0
11,0,Raw,152.3683029101362,4.315373101705014,30,0
11,0,Huber,141.01823988058243,4.460226305170366,40,0
11,0,PatchOOF,115.89622414815211,4.761138790240805,31,0
11,0,PatchHuberOOF,105.64317275662123,4.6822132000221,40,0
11,0,PatchFullFit,114.80487312469,4.718637570827648,34,0
12,0,Raw,151.08436946473967,5.506534194407443,40,0
12,0,Huber,141.63402051816647,5.54878632142511,40,0
12,0,PatchOOF,112.42216796887678,6.229083866514049,40,0
12,0,PatchHuberOOF,104.04274497166084,6.0145817177431145,40,0
12,0,PatchFullFit,111.24357152841763,6.261441209737575,40,0
13,0,Raw,163.08384629251057,5.743751682491509,38,0
13,0,Huber,151.15764452242652,5.234953298238778,40,0
13,0,PatchOOF,126.37626833634185,5.646940190357924,38,0
13,0,PatchHuberOOF,116.20115832723035,5.2090678928488385,32,0
13,0,PatchFullFit,125.39937352513883,5.619949643749271,36,0
14,0,Raw,168.55513728444114,5.716289539132535,40,0
14,0,Huber,151.68100981960896,5.164794510331132,40,0
14,0,PatchOOF,133.47817898264043,5.744448577030039,40,0
14,0,PatchHuberOOF,114.76777170027106,5.3313398234501586,40,0
14,0,PatchFullFit,132.62270357752033,5.75342059011346,40,0
15,0,Raw,159.33941877436058,5.4582045497319,40,0
15,0,Huber,139.15105159899295,5.16419060456093,40,0
