scan,fold,eR_deg_Huber,eR_deg_PatchFullFit,eR_deg_PatchHuberOOF,eR_deg_PatchOOF,eR_deg_Raw,et_mm_Huber,et_mm_PatchFullFit,et_mm_PatchHuberOOF,et_mm_PatchOOF,et_mm_Raw,iters_Huber,iters_PatchFullFit,iters_PatchHuberOOF,iters_PatchOOF,iters_Raw,on_bound_Huber,on_bound_PatchFullFit,on_bound_PatchHuberOOF,on_bound_PatchOOF,on_bound_Raw,benefit_oof,benefit_fullfit,benefit_ph,rot_change_oof,oof_minus_fullfit_error
0,0,4.725143915022509,5.764873846447402,5.438192133715028,5.806751076195245,4.916122977551957,137.80211559671113,106.61129452244052,88.7449023455918,106.87647652191488,148.82663013139725,40.0,32.0,40.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,41.95015360948237,42.215335608956735,49.057213251119336,-0.8906280986432877,0.2651819994743647
1,0,4.172898283486231,5.104143735386898,4.8289813021613295,5.201429709854169,4.585390755827114,137.4099014134543,108.88781266907915,88.90831143256258,109.2718939178182,152.12704174652154,40.0,36.0,40.0,33.0,39.0,0.0,0.0,0.0,0.0,0.0,42.85514782870334,43.23922907744239,48.50158998089171,-0.6160389540270552,0.3840812487390508
2,0,5.507928747921981,6.387281172993511,5.986550241941862,6.437219821320742,6.306839081781899,139.37858816870744,112.42273323651258,93.09432673169478,112.79056295809768,155.5163438278263,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,42.72578086972861,43.093610591313706,46.28426143701266,-0.13038073953884322,0.3678297215850961
3,0,3.677022423841322,4.4508227784987655,4.5194635931939695,4.52926914183299,4.049028099531629,138.93976703494354,116.88414374121584,97.15411613365184,117.46222091835004,157.5692560650436,40.0,29.0,40.0,30.0,32.0,0.0,0.0,0.0,0.0,0.0,40.10703514669355,40.68511232382775,41.7856509012917,-0.480241042301361,0.5780771771342046
4,0,4.323982441380863,5.052951589049166,5.565392557965424,5.150247974782716,4.183191994792766,134.90078553778338,111.1019943999492,93.00522686012332,111.83857976355591,151.40492711490427,40.0,31.0,40.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,39.566347351348355,40.30293271495506,41.89555867766006,-0.9670559799899499,0.7365853636067072
5,0,4.714330005367564,5.993242296533156,6.039931384194317,6.061469831556527,4.665506818002147,131.14662471839424,111.56584067977316,93.50369616059815,112.3542223219441,148.72802999250268,40.0,37.0,40.0,38.0,29.0,0.0,0.0,0.0,0.0,0.0,36.37380767055858,37.162189312729524,37.64292855779608,-1.3959630135543808,0.7883816421709469
6,0,5.234492203733785,6.917776635006355,6.581393046627326,7.00847955634494,5.536149267156991,132.95212387286983,117.58284244097284,98.09653805154612,118.69098260039232,152.74119589850528,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,34.050213298112965,35.15835345753244,34.855585821323714,-1.4723302891879495,1.1081401594194773
7,0,4.05016001785038,5.932500773140361,5.555665373002845,6.029362870435304,4.851415783437144,133.4362440324334,116.3236409284911,99.43645835747134,117.18230202406706,152.49312421602897,40.0,40.0,40.0,40.0,33.0,0.0,0.0,0.0,0.0,0.0,35.31082219196192,36.16948328753787,33.999785674962055,-1.1779470869981603,0.8586610955759539
8,0,4.74162213960683,6.279582331728293,5.909550351208526,6.271054516270013,5.439939235794481,137.02797432303734,114.86677845159817,100.7190520088842,116.02783312289272,154.40232019421464,40.0,40.0,40.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,38.37448707132192,39.53554174261647,36.308922314153136,-0.8311152804755322,1.1610546712945506
9,0,5.52016764184728,6.490173052181121,6.2225938492079935,6.4847108051807725,5.695298360469941,145.90834163879467,124.01804107555137,112.28837498634248,125.13570854254694,162.76387570565672,40.0,40.0,40.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0,37.62816716310978,38.74583463010535,33.61996665245219,-0.7894124447108313,1.1176674669955702
10,0,5.967494807307152,6.627160729402519,6.392876316417279,6.607408635137603,6.069532193233052,148.02399208372285,121.5555372518435,113.38501918905096,122.7682608658747,163.84990616459143,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,41.08164529871674,42.29436891274793,34.63897289467188,-0.537876441904551,1.2127236140311908
11,0,4.460226305170366,4.718637570827648,4.6822132000221,4.761138790240805,4.315373101705014,141.01823988058243,114.80487312469,105.64317275662124,115.89622414815211,152.3683029101362,40.0,34.0,40.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,36.47207876198409,37.5634297854462,35.37506712396119,-0.4457656885357908,1.09135102346211
12,0,5.54878632142511,6.261441209737575,6.0145817177431145,6.229083866514049,5.506534194407443,141.6340205181665,111.24357152841765,104.04274497166084,112.42216796887678,151.08436946473967,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,38.66220149586289,39.84079793632202,37.591275546505656,-0.7225496721066058,1.1785964404591311
13,0,5.234953298238778,5.619949643749271,5.209067892848839,5.646940190357924,5.743751682491509,151.15764452242652,125.39937352513884,116.20115832723036,126.37626833634184,163.08384629251057,40.0,36.0,32.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,36.707577956168734,37.68447276737173,34.95648619519616,0.0968114921335852,0.976894811202996
14,0,5.164794510331132,5.75342059011346,5.331339823450159,5.744448577030039,5.716289539132535,151.68100981960896,132.62270357752033,114.76777170027106,133.47817898264043,168.55513728444114,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,35.076958301800715,35.93243370692082,36.913238119337905,-0.02815903789750429,0.855475405120103
15,0,5.16419060456093,5.62230094319518,5.983928075948834,5.67463144593122,5.4582045497319,139.15105159899295,124.97331691159606,105.83481965747572,126.39217255640008,159.33941877436058,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,32.9472462179605,34.36610186276452,33.31623194151723,-0.21642689619931943,1.418855644804026
16,0,5.562687008736858,6.59114282379671,6.690272583125072,6.607363178447665,5.940196495100716,133.11218539670466,121.86514212780946,103.23174515849006,122.74942731939916,156.15726873046648,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,33.407841411067324,34.29212660265702,29.880440238214604,-0.6671666833469487,0.8842851915896972
17,0,3.970275346626495,5.752325799801375,5.597895300538554,5.842389650432358,4.078496399957601,129.38906380677898,118.38797900301098,97.10410676276302,119.22404496762428,151.3464905926848,40.0,40.0,40.0,40.0,24.0,0.0,0.0,0.0,0.0,0.0,32.12244562506052,32.95851158967382,32.284957044015954,-1.7638932504747569,0.8360659646132973
18,0,4.109190301006953,5.521441798344215,4.8274245313066055,5.51235813759901,4.456519337665111,125.42467638217168,116.0367131825352,88.7042101988713,116.64707889800805,146.08169726687532,40.0,30.0,40.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,29.434618368867277,30.04498408434013,36.72046618330039,-1.0558387999338992,0.6103657154728523
19,0,4.709139594578355,6.0964822310448605,5.508826417493297,6.121063112523554,5.469626925583501,129.228603987643,113.16367839982114,87.52829888365292,114.17519802860876,148.62554572919302,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,34.45034770058426,35.461867329371884,41.700305103990075,-0.6514361869400531,1.0115196287876245
20,0,5.373611520676767,5.901642777317471,5.4752096556777445,5.82638660979332,6.336142827199101,135.69837415684344,116.4829812239137,94.62164844983312,116.72045901909952,158.3950859458633,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,41.674626926763764,41.91210472194959,41.076725707010326,0.5097562174057808,0.2374777951858249
21,0,5.777291316453333,5.405327827005857,4.483248642170155,5.429704284004952,6.249994648290088,139.66155574094984,112.59532936484356,91.03026022316138,113.08324904942724,156.29876363566726,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,43.21551458624002,43.70343427082369,48.63129551778846,0.8202903642851362,0.4879196845836731
22,0,3.745641817415021,4.47216168853373,3.661574356387641,4.415480628921883,3.820962892828501,132.18979623858544,104.15326676880017,77.60020041175599,104.43305205413428,149.4569197631465,40.0,40.0,40.0,33.0,30.0,0.0,0.0,0.0,0.0,0.0,45.02386770901221,45.30365299434632,54.58959582682945,-0.594517736093382,0.27978528533411406
23,0,4.081024570013564,4.437350262247826,3.904134405951373,4.495830323856798,4.124843338751022,125.51429391511076,88.9037051283268,65.36083147264401,89.15412329052143,138.51690381793904,40.0,40.0,40.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,49.36278052741761,49.61319868961223,60.15346244246675,-0.3709869851057759,0.2504181621946202
24,0,4.133471648659319,4.495310873554623,4.124643815268239,4.5104610571802,4.590854467131406,122.52332998373517,86.64287307149752,62.86227351712311,86.83492164065085,136.66836451021706,31.0,34.0,40.0,33.0,40.0,0.0,0.0,0.0,0.0,0.0,49.83344286956621,50.02549143871954,59.66105646661206,0.08039340995120536,0.19204856915332869
25,0,4.957354244588723,5.048258954951448,4.576321992713314,5.039213962171502,5.551830687848256,128.3498809126856,101.45842800479842,72.80419190786195,101.58170919318714,148.95619195369554,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,47.3744827605084,47.497763948897116,55.54568900482364,0.5126167256767546,0.1232811883887166
26,0,3.667897305062597,3.934196820473365,3.220927320223531,4.013087668138383,4.624442332102668,133.84608499099338,105.92503864172004,80.83772151676312,106.4119759049832,153.02759628245957,40.0,24.0,40.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,46.615620377476375,47.10255764073953,53.00836347423025,0.6113546639642848,0.4869372632631581
27,0,4.037953311250676,4.027344643574741,3.900876434058772,4.02917830233016,4.520446825352983,136.00036320847278,110.34428266297247,87.29614922563997,110.5631776529311,156.95391063526975,40.0,35.0,40.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,46.39073298233865,46.609627972297275,48.70421398283281,0.4912685230228231,0.21889498995862766
28,0,4.519758297137071,4.241256492166768,4.35469982242932,4.25325094816725,4.697312821989447,138.5431158623876,110.71818136966924,92.23005023174257,111.0276109271684,157.30974435143804,40.0,25.0,40.0,26.0,40.0,0.0,0.0,0.0,0.0,0.0,46.282133424269645,46.5915629817688,46.31306563064503,0.4440618738221973,0.3094295574991577
29,0,5.092310704345219,5.600087948164995,4.959579686564581,5.577267560897979,5.254396249784185,134.75626363686044,106.70332717331604,89.62392041670215,107.11077497682652,151.85996047218947,40.0,32.0,40.0,30.0,36.0,0.0,0.0,0.0,0.0,0.0,44.74918549536295,45.15663329887343,45.13234322015829,-0.3228713111137935,0.40744780351047893
