trajectory,frame_id,method,n_repeat,model_build_ms,query_ms,kdtree_ms,registration1_ms,registration2_ms,total_ms,et_mm,eR_deg,iters
VI,0,Raw,5,0.0,0.0,0.0,335.9033000015188,0.0,335.9102999966126,148.82663013139725,4.916122977551957,25
VI,0,Huber,5,0.0,0.0,0.0,585.4837000078987,0.0,585.4964999889489,137.80211559671113,4.725143915022509,40
VI,0,Patch,5,0.0,0.0,0.0,339.17099999962375,0.0,339.1789000015706,106.61129452244053,5.764873846447402,32
VI,0,PatchHuber,5,0.0,0.0,0.0,445.07509999675676,0.0,445.0822000071639,89.23532731735456,5.415370849675565,40
VI,0,Full,5,0.8355000027222559,0.1230000052601099,10.798400006024167,341.5050000039628,0.0,353.2707999984268,66.91086381228725,3.959045372299236,34
VI,0,EstimatedFull,5,0.8455999923171476,0.0788000033935532,10.876600004849024,337.2202000027755,204.85780001035891,553.0791000055615,67.55663711361518,4.072216725136847,20
VI,26,Raw,5,0.0,0.0,0.0,669.7234000021126,0.0,669.7302000102354,153.02759628245957,4.624442332102668,36
VI,26,Huber,5,0.0,0.0,0.0,927.6440999965416,0.0,927.6506000023801,133.84608499099338,3.6678973050625965,40
VI,26,Patch,5,0.0,0.0,0.0,270.9146999986842,0.0,270.92190000985283,105.92503864172004,3.9341968204733644,24
VI,26,PatchHuber,5,0.0,0.0,0.0,495.86680000356864,0.0,495.87429998791777,81.19042147444117,3.1751087348771527,40
VI,26,Full,5,0.8335000020451844,0.1756999990902841,11.083199991844594,398.59810000052676,0.0,410.6501000060234,70.28309756974227,1.0801600740024526,37
VI,26,EstimatedFull,5,0.8284000068670139,0.17780000052880496,10.983200001646765,661.0779000038747,435.511999996379,1105.4953999991994,70.1210588306853,1.1031911006057114,40
VI,51,Raw,5,0.0,0.0,0.0,553.0569999973522,0.0,553.0638000054751,161.54767054974485,5.6920869335548305,40
VI,51,Huber,5,0.0,0.0,0.0,473.3422000135761,0.0,473.3489000063855,144.36044377390084,4.89801287911567,29
VI,51,Patch,5,0.0,0.0,0.0,445.6387999962317,0.0,445.64610000816174,124.6379027901713,6.102829528002945,40
VI,51,PatchHuber,5,0.0,0.0,0.0,403.2364000013331,0.0,403.2433999964269,108.25782762513559,5.645898302735417,32
VI,51,Full,5,0.8178999996744096,0.1205000007757917,10.943400004180148,353.8851000048453,0.0,365.8036999986507,79.47826235473865,3.4603197367800154,36
VI,51,EstimatedFull,5,0.8381999941775575,0.11980000999756157,10.725500003900379,554.0840000030585,261.7041999910725,827.4395000044024,81.14894541680322,3.5357483325407095,27
VI,77,Raw,5,0.0,0.0,0.0,343.9954000059515,0.0,344.0021999995224,145.17656821009552,4.97226731995777,24
VI,77,Huber,5,0.0,0.0,0.0,618.6754999944242,0.0,618.6829000071157,130.1313138477612,4.459826687549701,40
VI,77,Patch,5,0.0,0.0,0.0,443.4594000049401,0.0,443.46609999774955,102.46708104007348,5.659514267448774,40
