trajectory,frame_id,method,rep,model_build_ms,query_ms,kdtree_ms,registration1_ms,registration2_ms,total_ms,et_mm,eR_deg,iters
VI,0,Raw,0,0.0,0.0,0.0,357.5483000022359,0.0,357.5562999903923,148.82663013139725,4.916122977551957,25
VI,0,Raw,1,0.0,0.0,0.0,338.40049999707844,0.0,338.40789999521803,148.82663013139725,4.916122977551957,25
VI,0,Raw,2,0.0,0.0,0.0,335.2980999916326,0.0,335.3045999974711,148.82663013139725,4.916122977551957,25
VI,0,Raw,3,0.0,0.0,0.0,335.9033000015188,0.0,335.9102999966126,148.82663013139725,4.916122977551957,25
VI,0,Raw,4,0.0,0.0,0.0,335.73160000378266,0.0,335.7421999971848,148.82663013139725,4.916122977551957,25
VI,0,Huber,0,0.0,0.0,0.0,585.4837000078987,0.0,585.4964999889489,137.80211559671113,4.725143915022509,40
VI,0,Huber,1,0.0,0.0,0.0,588.8753000035649,0.0,588.8822000124492,137.80211559671113,4.725143915022509,40
VI,0,Huber,2,0.0,0.0,0.0,578.6454999906709,0.0,578.6533999926178,137.80211559671113,4.725143915022509,40
VI,0,Huber,3,0.0,0.0,0.0,587.6815000083297,0.0,587.6884000026621,137.80211559671113,4.725143915022509,40
VI,0,Huber,4,0.0,0.0,0.0,580.5200000031618,0.0,580.5276000028243,137.80211559671113,4.725143915022509,40
VI,0,Patch,0,0.0,0.0,0.0,339.17099999962375,0.0,339.1789000015706,106.61129452244053,5.764873846447402,32
VI,0,Patch,1,0.0,0.0,0.0,339.6446999977343,0.0,339.6539999957895,106.61129452244053,5.764873846447402,32
VI,0,Patch,2,0.0,0.0,0.0,340.6600000016624,0.0,340.66709999751765,106.61129452244053,5.764873846447402,32
VI,0,Patch,3,0.0,0.0,0.0,334.9741999991238,0.0,334.9817999987863,106.61129452244053,5.764873846447402,32
VI,0,Patch,4,0.0,0.0,0.0,337.07850000064354,0.0,337.08550001028925,106.61129452244053,5.764873846447402,32
VI,0,PatchHuber,0,0.0,0.0,0.0,458.3854000084102,0.0,458.39309999428224,89.23532731735456,5.415370849675565,40
VI,0,PatchHuber,1,0.0,0.0,0.0,448.27800001075957,0.0,448.28499999130145,89.23532731735456,5.415370849675565,40
VI,0,PatchHuber,2,0.0,0.0,0.0,445.07509999675676,0.0,445.0822000071639,89.23532731735456,5.415370849675565,40
VI,0,PatchHuber,3,0.0,0.0,0.0,440.8842000120785,0.0,440.8911999926204,89.23532731735456,5.415370849675565,40
VI,0,PatchHuber,4,0.0,0.0,0.0,441.14429999899585,0.0,441.1510000063572,89.23532731735456,5.415370849675565,40
VI,0,Full,0,0.8303999929921702,0.142400007462129,11.137399997096509,345.41120000358205,0.0,357.53459999978077,66.91086381228725,3.959045372299236,34
VI,0,Full,1,0.8355000027222559,0.12510000669863075,10.616100000333972,357.79969999566674,0.0,369.3877000041539,66.91086381228725,3.959045372299236,34
VI,0,Full,2,0.8197000133804977,0.12110000534448773,10.630000004312024,341.3103999919258,0.0,352.89059999922756,66.91086381228725,3.959045372299236,34
VI,0,Full,3,0.9333999914815649,0.1230000052601099,11.661299999104813,340.03009999287315,0.0,352.7584000112256,66.91086381228725,3.959045372299236,34
VI,0,Full,4,0.8372000011149794,0.1205000007757917,10.798400006024167,341.5050000039628,0.0,353.2707999984268,66.91086381228725,3.959045372299236,34
VI,0,EstimatedFull,0,0.8544000011170283,0.07829999958630651,10.709700000006706,336.0559000138892,204.85780001035891,552.597700007027,67.55663711361518,4.072216725136847,20
VI,0,EstimatedFull,1,0.8331999997608364,0.07789999654050916,11.162499999045394,337.82200000132434,207.5481000065338,557.4822000053246,67.55663711361518,4.072216725136847,20
VI,0,EstimatedFull,2,0.8428000001003966,0.0788000033935532,10.641900007613003,337.2202000027755,206.0386999946786,554.8608000099193,67.55663711361518,4.072216725136847,20
VI,0,EstimatedFull,3,0.8455999923171476,0.07989999721758068,10.876600004849024,338.1663999898592,202.42129999678582,552.4287000007462,67.55663711361518,4.072216725136847,20
VI,0,EstimatedFull,4,0.8524000004399568,0.08339999476447701,10.98009999259375,336.94459999969695,204.18070000596344,553.0791000055615,67.55663711361518,4.072216725136847,20
VI,26,Raw,0,0.0,0.0,0.0,664.9949999991804,0.0,665.0019000080647,153.02759628245957,4.624442332102668,36
VI,26,Raw,1,0.0,0.0,0.0,669.7234000021126,0.0,669.7302000102354,153.02759628245957,4.624442332102668,36
