method,trajectory,n_frames,median_total_ms,p25_ms,p75_ms,p95_ms,model_build_ms,query_ms,kdtree_ms,registration1_ms,registration2_ms,peak_rss_mb
Raw,VI,20,621.8122499994934,427.163175001624,668.588999997155,733.8495000061813,0.0,0.0,0.0,621.8052500043996,0.0,158.27
Raw,IV,20,436.15879999561,401.89109999118955,613.4347000006528,823.2543449972584,0.0,0.0,0.0,436.1516000062693,0.0,158.27
Raw,II,20,461.2132999973255,424.0143000060925,594.0573000043514,699.2928049927287,0.0,0.0,0.0,461.2059500068426,0.0,158.27
Raw,III,20,431.7481499965652,274.7691999975359,613.779399998748,928.7251600049786,0.0,0.0,0.0,431.7404500034172,0.0,158.27
Raw,ALL,80,477.4811499955831,397.88342499377904,661.840700005996,808.0603650014382,0.0,0.0,0.0,477.47425000125077,0.0,158.27
Huber,VI,20,709.5081500010565,567.5338499931968,816.7887499948847,973.7717249896378,0.0,0.0,0.0,709.5005000010133,0.0,157.12
Huber,IV,20,513.8336500021978,441.4737999977661,751.4944000031392,989.5471949988861,0.0,0.0,0.0,513.8266499998281,0.0,157.12
Huber,II,20,542.5977499980945,433.5587499917892,689.3618750000314,807.0985400074278,0.0,0.0,0.0,542.5886000011815,0.0,157.12
Huber,III,20,543.7279000034323,340.6315249958425,672.6166500011459,1041.3881350010342,0.0,0.0,0.0,543.720449997636,0.0,157.12
Huber,ALL,80,588.404249996529,444.07897499331744,749.0099749993533,988.4151199985354,0.0,0.0,0.0,588.3943000080762,0.0,157.12
Patch,VI,20,386.6928499992355,332.3919250033214,448.4201250052138,510.6072899994615,0.0,0.0,0.0,386.68560000223806,0.0,158.49
Patch,IV,20,424.4316499971319,406.8633500028227,514.8006749914202,715.1507249996943,0.0,0.0,0.0,424.42449999362,0.0,158.49
Patch,II,20,412.5061500017182,362.6371499958623,513.8806750073854,582.9996100044809,0.0,0.0,0.0,412.4984499940183,0.0,158.49
Patch,III,20,360.0111000050674,315.8834499918157,483.20997500559315,568.651029992907,0.0,0.0,0.0,360.00364999927115,0.0,158.49
Patch,ALL,80,412.5061500017182,349.06637500535,485.09020000346936,611.5078849928975,0.0,0.0,0.0,412.4984499940183,0.0,158.49
PatchHuber,VI,20,487.29584999819053,440.5773000071349,533.13392500786,615.2377799931858,0.0,0.0,0.0,487.2871000043233,0.0,159.15
PatchHuber,IV,20,459.31999999447726,432.1832000059658,607.8556999964349,850.459835001675,0.0,0.0,0.0,459.31294999900274,0.0,159.15
PatchHuber,II,20,438.762849997147,375.48387499919045,522.1351999971375,676.5548350100289,0.0,0.0,0.0,438.7558500020532,0.0,159.15
PatchHuber,III,20,454.77659999596654,362.77232500651735,564.5264749946364,720.9942250039603,0.0,0.0,0.0,454.76154999778373,0.0,159.15
PatchHuber,ALL,80,470.1192499996978,409.41997499612626,552.038325004105,736.0518200010118,0.0,0.0,0.0,470.1121499965666,0.0,159.15
Full,VI,20,429.86964999727206,362.6704749985947,484.7136249991308,775.6471749948105,0.8356000034837052,0.12270000297576185,10.920750006334856,417.60865000105696,0.0,157.54
Full,IV,20,416.00770000513876,377.13829999847803,462.0536750044267,602.0128550022491,0.8339499981957488,0.09915000555338335,11.021400001482107,403.93075000611134,0.0,157.54
Full,II,20,441.16705000487855,406.0808249996626,539.6487249963684,641.2015050031187,0.8417499993811361,0.0858499988680705,10.822050004207995,429.3174499980523,0.0,157.54
Full,III,20,421.42825000337325,336.6174750044593,510.8896750025451,705.0087350042304,0.8316000021295622,0.0867499984451569,10.803350000060163,409.40404999855673,0.0,157.54
Full,ALL,80,427.7386999965529,367.65867500071187,503.4371000001556,701.9546700044884,0.8352500008186325,0.08920000254875045,10.875050000322515,416.1669000022812,0.0,157.54
EstimatedFull,VI,20,1027.8873999995994,772.0997499964142,1132.1168750073412,1333.3562050123876,0.8344500020029955,0.08100000559352336,10.836150002432987,624.3983500025934,414.1979000050924,159.56
EstimatedFull,IV,20,882.1814000039012,782.739299997047,1135.4608500041652,2079.3558250006763,0.8368999988306314,0.08014999912120399,10.838800000783522,434.5213499982492,393.08470000105444,159.56
EstimatedFull,II,20,899.0298499993514,852.060925000842,1139.806299994234,1341.573830003472,0.8347000039066188,0.07904999802121884,10.841949995665345,463.9475500007393,426.1110500083305,159.56
EstimatedFull,III,20,971.752400007972,680.3525750001427,1214.8313249963394,1690.5083400008152,0.8356500038644299,0.07929999992484225,10.761199999251403,429.6837500005495,477.0464999965043,159.56
EstimatedFull,ALL,80,953.3379999993485,773.2674999970186,1152.9424250038574,1638.6951099935684,0.8347999973921105,0.07984999683685601,10.817049995239358,480.54599999886705,417.1563999916543,159.56
