experiment,scope,level_or_fold,method,metric,value,note
E1,II,L0,Patch,et_med,47.147669,
E1,II,L0,Patch,eR_med,1.673642,
E1,II,L0,Patch,captureA_rate,0.0,
E1,II,L0,Patch,captureB_rate,0.4,
E1,II,L0,Patch,safeguard_rate,0.0,
E1,II,L0,Patch,itercap_rate,0.7,
E1,II,L0,Patch,numfail_rate,0.0,
E1,II,L0,Patch,PatchRaw_gain_t_med,9.622766,
E1,II,L0,Patch,PatchRaw_frac_pos,0.85,
E1,II,L1,Patch,et_med,47.277549,
E1,II,L1,Patch,eR_med,1.664507,
E1,II,L1,Patch,captureA_rate,0.0,
E1,II,L1,Patch,captureB_rate,0.4,
E1,II,L1,Patch,safeguard_rate,0.0,
E1,II,L1,Patch,itercap_rate,0.6375,
E1,II,L1,Patch,numfail_rate,0.0,
E1,II,L1,Patch,PatchRaw_gain_t_med,9.636548,
E1,II,L1,Patch,PatchRaw_frac_pos,0.85,
E1,II,L2,Patch,et_med,47.993125,
E1,II,L2,Patch,eR_med,1.674629,
E1,II,L2,Patch,captureA_rate,0.1625,
E1,II,L2,Patch,captureB_rate,0.4,
E1,II,L2,Patch,safeguard_rate,0.0,
E1,II,L2,Patch,itercap_rate,0.6625,
E1,II,L2,Patch,numfail_rate,0.0,
E1,II,L2,Patch,PatchRaw_gain_t_med,9.7073,
E1,II,L2,Patch,PatchRaw_frac_pos,0.85,
E1,II,L3,Patch,et_med,49.565232,
E1,II,L3,Patch,eR_med,1.68936,
E1,II,L3,Patch,captureA_rate,0.4,
E1,II,L3,Patch,captureB_rate,0.4,
E1,II,L3,Patch,safeguard_rate,0.0,
E1,II,L3,Patch,itercap_rate,0.6875,
E1,II,L3,Patch,numfail_rate,0.0,
E1,II,L3,Patch,PatchRaw_gain_t_med,9.628193,
E1,II,L3,Patch,PatchRaw_frac_pos,0.85,
E1,II,L4,Patch,et_med,51.220564,
E1,II,L4,Patch,eR_med,1.878084,
E1,II,L4,Patch,captureA_rate,0.9,
E1,II,L4,Patch,captureB_rate,0.375,
E1,II,L4,Patch,safeguard_rate,0.0,
E1,II,L4,Patch,itercap_rate,0.8875,
E1,II,L4,Patch,numfail_rate,0.0,
E1,II,L4,Patch,PatchRaw_gain_t_med,10.729116,
E1,II,L4,Patch,PatchRaw_frac_pos,0.8625,
E1,II,L5,Patch,et_med,49.847693,
E1,II,L5,Patch,eR_med,2.160184,
E1,II,L5,Patch,captureA_rate,0.95,
E1,II,L5,Patch,captureB_rate,0.3,
E1,II,L5,Patch,safeguard_rate,0.0,
E1,II,L5,Patch,itercap_rate,0.95,
