traj,subset,kind,form,block,n,et_med,eR_med,g_gt_med
vi,all(development),p2p,ls,0,70,151.2366843667386,4.830858011549058,0.07525868527983201
vi,all(development),p2p,ls,1,70,151.7171962222667,4.98605656047063,0.07161290021832505
vi,all(development),p2p,ls,2,79,165.48160584038175,4.65190744384812,0.0796937897170348
vi,all(development),p2p,ls,3,96,168.3879374728596,4.177004632046296,0.07059442563360166
vi,all(development),p2p,ls,4,103,164.1743308436783,3.8645555293233618,0.0579162199184364
vi,all(development),p2p,ls,5,83,159.27083929792474,4.602200871581683,0.0630915649076617
vi,all(development),p2p,huber,0,70,132.82968525230854,4.472297097069026,0.032966584110286495
vi,all(development),p2p,huber,1,70,133.53328459729948,4.420476659502134,0.0335249807923341
vi,all(development),p2p,huber,2,79,148.22968668594535,4.201380244015467,0.0343299599426493
vi,all(development),p2p,huber,3,96,154.27598076537305,3.714676261003903,0.03204822360036025
vi,all(development),p2p,huber,4,103,152.8180538043268,3.345247713528155,0.0266252636398462
vi,all(development),p2p,huber,5,83,153.47516867669228,3.9528756727112175,0.0294476799861628
vi,all(development),p2p,trim,0,70,126.36471818314675,4.3252362359183385,0.04261188310064125
vi,all(development),p2p,trim,1,70,128.2221615414623,4.238132836558908,0.04118920090408455
vi,all(development),p2p,trim,2,79,141.25769998186465,3.909126274598786,0.0426218470063542
vi,all(development),p2p,trim,3,96,147.5338419792232,3.374409933985076,0.035897902130346646
vi,all(development),p2p,trim,4,103,149.18695304959223,3.1898121199277725,0.0314878293992847
vi,all(development),p2p,trim,5,83,153.49609413685977,3.968738769753978,0.0388406005335621
vi,all(development),p2l,ls,0,70,151.64758625016515,4.589649910339586,0.07182588796485465
vi,all(development),p2l,ls,1,70,151.2607713595587,4.55166568742821,0.06727811947965975
vi,all(development),p2l,ls,2,79,166.44656002052994,4.239288381907331,0.0756253382889101
vi,all(development),p2l,ls,3,96,168.5553907365724,3.8412422296670634,0.06619063898283106
vi,all(development),p2l,ls,4,103,162.1820358587388,3.467504423910286,0.0556063894026093
vi,all(development),p2l,ls,5,83,154.84395911655312,4.048607690770504,0.0590137778208501
vi,all(development),p2l,huber,0,70,134.56007276533037,4.673226339731997,0.02982314902801325
vi,all(development),p2l,huber,1,70,133.87392649596322,4.397475505491093,0.0294510961961439
vi,all(development),p2l,huber,2,79,149.8824971426156,4.0470113710141975,0.0305257105408348
vi,all(development),p2l,huber,3,96,154.71841849016977,3.6869335660813842,0.02821704759772735
vi,all(development),p2l,huber,4,103,153.39070862979588,3.1340666746874337,0.0229017508296331
vi,all(development),p2l,huber,5,83,152.8264856722424,3.7386316538349913,0.0254104583625561
vi,all(development),p2l,trim,0,70,125.85724617786248,4.571536122592435,0.0367874362854176
vi,all(development),p2l,trim,1,70,127.48257665790014,4.4977750813563935,0.03553678225341545
vi,all(development),p2l,trim,2,79,141.16573559313773,3.8626200324176314,0.0377933831049141
vi,all(development),p2l,trim,3,96,147.84922288893216,3.286288330426349,0.030484210837125998
vi,all(development),p2l,trim,4,103,149.80072008238457,2.8666934193507285,0.0260252066681256
vi,all(development),p2l,trim,5,83,153.67088790671758,3.821179973915984,0.0317639056778001
iv,in_support(primary),p2p,ls,4,34,158.48159106545035,4.021125574650798,0.06956008869598025
iv,in_support(primary),p2p,ls,5,50,156.4030546897207,4.29564336886363,0.06378982664120295
iv,in_support(primary),p2p,ls,6,50,163.12062055916203,3.826190151781717,0.06817557476419411
iv,in_support(primary),p2p,ls,7,22,171.7273820962977,3.8246562340746353,0.07089972153773605
iv,in_support(primary),p2p,huber,4,34,139.2916366244354,3.480625838517634,0.03061814222469785
iv,in_support(primary),p2p,huber,5,50,133.95142084099598,3.6661690986377455,0.02540450214899325
iv,in_support(primary),p2p,huber,6,50,130.89232036930292,3.3308692848221693,0.02812531635221505
iv,in_support(primary),p2p,huber,7,22,127.041348545519,3.056458854161743,0.02830819751842685
iv,in_support(primary),p2p,trim,4,34,132.87641960889687,3.2579502561318416,0.036481867307299
iv,in_support(primary),p2p,trim,5,50,126.1555659640548,3.3859098312929183,0.0290909031178288
iv,in_support(primary),p2p,trim,6,50,122.54301691092859,3.2234335077200904,0.0329004982396723
iv,in_support(primary),p2p,trim,7,22,114.97640693651006,2.700054056875345,0.0386909746440435
iv,in_support(primary),p2l,ls,4,34,157.194848770844,3.3878043335622063,0.0644256928198047
iv,in_support(primary),p2l,ls,5,50,156.25658058493516,3.644867160424254,0.060868322295139304
iv,in_support(primary),p2l,ls,6,50,156.59656379264126,3.0887470365784564,0.06780765312634575
iv,in_support(primary),p2l,ls,7,22,157.88037786980522,2.804203508446829,0.0729999049502224
iv,in_support(primary),p2l,huber,4,34,140.2020195321933,3.014068716900632,0.025542472400695647
iv,in_support(primary),p2l,huber,5,50,135.69237615884043,3.0226265006088813,0.0218668958920264
iv,in_support(primary),p2l,huber,6,50,133.02822522917796,2.556836520464545,0.025300172586667002
iv,in_support(primary),p2l,huber,7,22,131.5197589429029,2.731766724588729,0.030293906894364
iv,in_support(primary),p2l,trim,4,34,133.23792544654816,2.8463012454605665,0.029118519610643802
iv,in_support(primary),p2l,trim,5,50,127.80038476806396,2.9276506852732895,0.02303099999044495
iv,in_support(primary),p2l,trim,6,50,125.5211963083085,2.4319753795591033,0.0300477109156269
iv,in_support(primary),p2l,trim,7,22,121.85747870824343,2.520602731746048,0.0385673575385984
ii,in_support(primary),p2p,ls,2,7,80.57950615112223,1.1899525415282464,0.0424303246406803
ii,in_support(primary),p2p,ls,3,48,93.07724773026791,2.0657293674160115,0.053775147059566694
ii,in_support(primary),p2p,ls,4,12,44.1629934378617,0.8295256742337107,0.03114496962221645
ii,in_support(primary),p2p,ls,5,50,87.72737009802688,1.706071896151732,0.058709663900157597
ii,in_support(primary),p2p,ls,6,50,99.3138816472116,2.1214288474272087,0.08218153770163195
ii,in_support(primary),p2p,ls,7,50,66.00638613043412,1.6423523247105556,0.0524993993240313
ii,in_support(primary),p2p,ls,8,50,64.24425411302211,1.9260065499972816,0.0525811754571901
ii,in_support(primary),p2p,ls,9,50,271.8825377064391,1.2453442824968186,0.26380026063124407
ii,in_support(primary),p2p,ls,10,11,101.67131153068924,7.619219754221389,0.093450088806021
ii,in_support(primary),p2p,ls,12,48,35.42326554379036,1.493685418232614,0.0292264465061649
ii,in_support(primary),p2p,ls,13,50,56.53547091346548,2.468469826930929,0.035008615207694355
ii,in_support(primary),p2p,ls,14,2,49.81286748401694,0.6920679790166728,0.0295059328261535
ii,in_support(primary),p2p,huber,2,7,70.3974736054376,0.7284109651757138,0.0231217663204283
ii,in_support(primary),p2p,huber,3,48,67.9285684029995,1.1127271086917552,0.0240188132491458
ii,in_support(primary),p2p,huber,4,12,45.881284680353346,0.6938498784869753,0.02556143537483055
ii,in_support(primary),p2p,huber,5,50,63.37019227009915,0.9897623814777794,0.0285647574740199
ii,in_support(primary),p2p,huber,6,50,61.92811700149872,1.0593320639058277,0.03038736999518385
ii,in_support(primary),p2p,huber,7,50,52.7869792408053,0.9372735942962663,0.0203659757646443
ii,in_support(primary),p2p,huber,8,50,50.17936474773727,1.0675473506515913,0.02007098897923215
ii,in_support(primary),p2p,huber,9,50,43.15854232730606,1.2064324787497345,0.07366046373452925
ii,in_support(primary),p2p,huber,10,11,34.004306417152485,1.1055821278122568,0.0424021225761568
ii,in_support(primary),p2p,huber,12,48,25.368299216091287,0.8198103325968907,0.016762589734224648
ii,in_support(primary),p2p,huber,13,50,32.79599607961569,1.2552441705331367,0.012763140498769851
ii,in_support(primary),p2p,huber,14,2,30.398869425117983,0.9366492896220193,0.0130428700098432
ii,in_support(primary),p2p,trim,2,7,68.81112197414315,0.6876908596519509,0.0294809154606145
ii,in_support(primary),p2p,trim,3,48,61.72064839562152,1.0081177466025137,0.024180654520303102
ii,in_support(primary),p2p,trim,4,12,47.43831796411142,0.7271703718203506,0.022694439814355552
ii,in_support(primary),p2p,trim,5,50,53.88166441737588,0.925196736807631,0.032557814587397454
ii,in_support(primary),p2p,trim,6,50,56.31196772773895,1.157879187308826,0.02891314116862525
ii,in_support(primary),p2p,trim,7,50,49.37643259010429,1.0855153340528556,0.02213882713058935
ii,in_support(primary),p2p,trim,8,50,45.55280598946555,1.0669030260781542,0.0206298820327387
ii,in_support(primary),p2p,trim,9,50,39.383076833907,1.0148026296687105,0.0180326839355032
ii,in_support(primary),p2p,trim,10,11,29.98142396062148,1.01848345150881,0.0156231174917089
ii,in_support(primary),p2p,trim,12,48,25.504313501336387,0.7747006180484142,0.012786025237413151
ii,in_support(primary),p2p,trim,13,50,31.144266117161642,1.2457730131874496,0.009722272955160899
ii,in_support(primary),p2p,trim,14,2,29.463843418321474,1.0105814701711355,0.011202355735594
ii,in_support(primary),p2l,ls,2,7,82.66510532098727,1.325579804384744,0.0394975047491999
ii,in_support(primary),p2l,ls,3,48,95.11963994271787,2.1479898771741617,0.0525842449819494
ii,in_support(primary),p2l,ls,4,12,42.81276257519622,0.990159803172387,0.0306431740117446
ii,in_support(primary),p2l,ls,5,50,89.34081112556491,1.7959986705045874,0.05380684895871985
ii,in_support(primary),p2l,ls,6,50,100.29954720552108,5.3045953239709185,0.0832283590852235
ii,in_support(primary),p2l,ls,7,50,68.58381548211935,1.9737548454702267,0.05153834332788465
ii,in_support(primary),p2l,ls,8,50,67.59971740440616,2.3958920027409096,0.0515950990478939
ii,in_support(primary),p2l,ls,9,50,123.70670350793867,0.0,4.247747563441009
ii,in_support(primary),p2l,ls,10,11,117.60761761450824,0.0,0.3744331029856532
ii,in_support(primary),p2l,ls,12,48,34.265136444102424,1.577754353356024,0.0291181195732476
ii,in_support(primary),p2l,ls,13,50,62.28056648736457,2.80501316611725,0.033654473263387455
ii,in_support(primary),p2l,ls,14,2,57.10892957466077,0.6969576484468574,0.0283732322828463
ii,in_support(primary),p2l,huber,2,7,71.10196273075621,1.0067106752955086,0.0198988923304152
ii,in_support(primary),p2l,huber,3,48,67.89435660425187,1.2871810268550394,0.022115048042841152
ii,in_support(primary),p2l,huber,4,12,46.706857197937154,0.8310831422621603,0.023083416289420303
ii,in_support(primary),p2l,huber,5,50,66.84912702894522,0.9083216658751688,0.0239840197842895
ii,in_support(primary),p2l,huber,6,50,62.70836830676828,1.1542268194900625,0.0274597757560258
ii,in_support(primary),p2l,huber,7,50,54.08248633402543,1.0804344197414475,0.01965654619802775
ii,in_support(primary),p2l,huber,8,50,52.10511840007631,1.1246410878506095,0.01948133287575665
ii,in_support(primary),p2l,huber,9,50,45.4114523014882,1.2205931807751274,0.06697321564380665
ii,in_support(primary),p2l,huber,10,11,34.601979304472174,0.9173936241653616,0.036860736876178
ii,in_support(primary),p2l,huber,12,48,25.247395598159457,0.9549068530126941,0.0145310901529842
ii,in_support(primary),p2l,huber,13,50,33.89599324513564,1.3330263317626312,0.011340519241095349
ii,in_support(primary),p2l,huber,14,2,31.910023896131435,1.0764932628402653,0.0116809203574614
ii,in_support(primary),p2l,trim,2,7,69.18660712366656,0.9795695536601342,0.0243010750903414
ii,in_support(primary),p2l,trim,3,48,60.543515241213264,1.1194971991600502,0.0226666380741621
ii,in_support(primary),p2l,trim,4,12,47.34469659267864,0.7772256178786392,0.020991972357883
ii,in_support(primary),p2l,trim,5,50,54.12703093648972,0.9521864737435044,0.02695200680799145
ii,in_support(primary),p2l,trim,6,50,56.34605030322886,1.246380073851852,0.02482998001275255
ii,in_support(primary),p2l,trim,7,50,50.239360629532825,1.2113447922274854,0.02023201946196725
ii,in_support(primary),p2l,trim,8,50,47.01026834222216,1.1348265277784342,0.018199576933795848
ii,in_support(primary),p2l,trim,9,50,39.90238519124196,1.0991028544696664,0.0152975063730931
ii,in_support(primary),p2l,trim,10,11,30.3578325305496,0.931977564185274,0.0149014243452658
ii,in_support(primary),p2l,trim,12,48,25.515143813780305,0.852932754192167,0.01046849258421435
ii,in_support(primary),p2l,trim,13,50,31.63206892803666,1.324345967692281,0.008289645637990749
ii,in_support(primary),p2l,trim,14,2,30.07466394632988,1.2587916553637926,0.00936831529689495
v,all(out-of-support extrapolation),p2p,ls,0,50,154.02384701791902,4.508039001527891,0.12275736692963735
v,all(out-of-support extrapolation),p2p,ls,1,50,155.82608230462807,4.643852966579203,0.13001891617948647
v,all(out-of-support extrapolation),p2p,ls,2,50,157.6744436467052,4.1857029375525014,0.10082674834027025
v,all(out-of-support extrapolation),p2p,ls,3,50,159.33926172903716,3.6637927428086625,0.10173080588466099
v,all(out-of-support extrapolation),p2p,ls,4,50,159.9341407221243,3.754753642290643,0.09927849764246821
v,all(out-of-support extrapolation),p2p,ls,5,50,160.97786191661768,3.88264925694456,0.09377775607343375
v,all(out-of-support extrapolation),p2p,ls,6,50,163.17728982803618,3.6251188226381075,0.09230076991282425
v,all(out-of-support extrapolation),p2p,ls,7,50,165.38192006651224,3.750330452698924,0.0874732345528321
v,all(out-of-support extrapolation),p2p,ls,8,50,163.33377798938736,3.4280114509022566,0.0795797982906647
v,all(out-of-support extrapolation),p2p,ls,9,50,167.14070503555632,3.771114949541877,0.07363253729045521
v,all(out-of-support extrapolation),p2p,ls,10,50,168.96295423730055,3.64672923576538,0.0647453629769141
v,all(out-of-support extrapolation),p2p,ls,11,50,170.67853674347379,3.2662904065637886,0.0619764580151754
v,all(out-of-support extrapolation),p2p,ls,12,50,172.83799019341944,3.390271024151634,0.061636933134466
v,all(out-of-support extrapolation),p2p,ls,13,50,174.30873597797734,2.8826302227649476,0.0581485783918657
v,all(out-of-support extrapolation),p2p,ls,14,50,175.43128424497053,3.011143254407582,0.0606475445085732
v,all(out-of-support extrapolation),p2p,ls,15,50,175.95185884510704,3.0055375507350837,0.056771578953053445
v,all(out-of-support extrapolation),p2p,ls,16,50,178.7071564082866,2.838148001640003,0.0568905901320373
v,all(out-of-support extrapolation),p2p,ls,17,50,180.39526434194084,2.8258230337060857,0.053978413254551647
v,all(out-of-support extrapolation),p2p,ls,18,50,175.18980598901973,3.1161293393994622,0.0579108543539273
v,all(out-of-support extrapolation),p2p,ls,19,50,173.73269269161779,2.873349320557381,0.0572923300343755
v,all(out-of-support extrapolation),p2p,ls,20,50,171.048455143692,2.196485688154266,0.04788518252314285
v,all(out-of-support extrapolation),p2p,ls,21,50,174.02381339743982,2.841385136159667,0.05013459332611655
v,all(out-of-support extrapolation),p2p,ls,22,50,173.21669320036733,3.3625855756701943,0.0516270090876243
v,all(out-of-support extrapolation),p2p,ls,23,50,175.78921469497556,2.488397803511749,0.05250699311463705
v,all(out-of-support extrapolation),p2p,ls,24,50,174.6033440425018,2.9144897166733346,0.07141253421233505
v,all(out-of-support extrapolation),p2p,ls,25,50,175.66954338954122,2.7681793836930613,0.07521969736923725
v,all(out-of-support extrapolation),p2p,ls,26,50,174.40871725736196,2.042599069684253,0.07450792980553045
v,all(out-of-support extrapolation),p2p,ls,27,50,177.60642049449132,2.1455132094606832,0.07662936103446805
v,all(out-of-support extrapolation),p2p,ls,28,50,174.16688518264633,1.9123713046448692,0.07106938561039135
v,all(out-of-support extrapolation),p2p,ls,29,50,176.37096446789604,1.4836860143409905,0.06810603100997234
v,all(out-of-support extrapolation),p2p,ls,30,50,175.39718894038606,1.6606827674056697,0.06921370238606085
v,all(out-of-support extrapolation),p2p,ls,31,50,176.1257254321529,1.991407894688883,0.06835807521306589
v,all(out-of-support extrapolation),p2p,ls,32,50,181.532312644248,2.013431388385029,0.07157887871689585
v,all(out-of-support extrapolation),p2p,ls,33,50,183.85056721892357,2.1211953783101825,0.0711132118513233
v,all(out-of-support extrapolation),p2p,ls,34,50,182.98521058125402,2.7630899602559555,0.073279516715126
v,all(out-of-support extrapolation),p2p,ls,35,50,181.18874998633572,2.6244378881017267,0.0802370030604102
v,all(out-of-support extrapolation),p2p,ls,36,50,183.7662181603203,2.792156656499669,0.07754894301574115
v,all(out-of-support extrapolation),p2p,ls,37,18,182.1118543161998,3.4177594877021207,0.07847541393400076
v,all(out-of-support extrapolation),p2p,huber,0,50,152.81650269080495,3.349452516067566,0.05470179958991425
v,all(out-of-support extrapolation),p2p,huber,1,50,155.66726090956416,2.954628310135975,0.06439256661025511
