traj,subset,kind,form,source,block_L,point_median,lo,hi
vi,all(development),p2p,ls,real,5,161.4078916359028,158.77849638482044,163.79764854702017
vi,all(development),p2p,ls,real,10,161.4078916359028,157.97110075949666,164.58773094175802
vi,all(development),p2p,ls,real,20,161.4078916359028,156.29876363566726,165.22863611562423
vi,all(development),p2p,ls,self,5,7.793234355696313e-14,6.99996546463191e-14,8.565971294567349e-14
vi,all(development),p2p,ls,self,10,7.793234355696313e-14,7.000588697634823e-14,8.542522420166517e-14
vi,all(development),p2p,ls,self,20,7.793234355696313e-14,7.144028522217822e-14,8.466556909902854e-14
vi,all(development),p2p,huber,real,5,148.89218795717866,147.2571455803161,150.8369295113812
vi,all(development),p2p,huber,real,10,148.89218795717866,146.4388913000184,151.51405060400026
vi,all(development),p2p,huber,real,20,148.89218795717866,145.20766998989603,152.13036770142676
vi,all(development),p2p,huber,self,5,7.793234355696313e-14,6.99996546463191e-14,8.565971294567349e-14
vi,all(development),p2p,huber,self,10,7.793234355696313e-14,7.000588697634823e-14,8.542522420166517e-14
vi,all(development),p2p,huber,self,20,7.793234355696313e-14,7.144028522217822e-14,8.466556909902854e-14
vi,all(development),p2p,trim,real,5,144.76727027751295,143.18630117162652,146.5923969366403
vi,all(development),p2p,trim,real,10,144.76727027751295,142.37735566197324,146.9442119166084
vi,all(development),p2p,trim,real,20,144.76727027751295,140.8614173411029,147.63637604917918
vi,all(development),p2p,trim,self,5,6.674882551970984e-14,6.286580140066993e-14,7.135751144281586e-14
vi,all(development),p2p,trim,self,10,6.674882551970984e-14,6.272051000022106e-14,7.135673118189575e-14
vi,all(development),p2p,trim,self,20,6.674882551970984e-14,6.272051000022106e-14,7.138794161870021e-14
vi,all(development),p2l,ls,real,5,159.94612027069869,157.53334496139175,162.63799552842983
vi,all(development),p2l,ls,real,10,159.94612027069869,156.46259682143628,163.43699448101412
vi,all(development),p2l,ls,real,20,159.94612027069869,155.4368345105238,164.2991884503098
vi,all(development),p2l,ls,self,5,0.0,0.0,0.0
vi,all(development),p2l,ls,self,10,0.0,0.0,0.0
vi,all(development),p2l,ls,self,20,0.0,0.0,0.0
vi,all(development),p2l,huber,real,5,149.71909240791803,147.94892471041572,151.66845248356066
vi,all(development),p2l,huber,real,10,149.71909240791803,147.01402331903586,152.22581139688114
vi,all(development),p2l,huber,real,20,149.71909240791803,145.91692395721654,152.82700994655997
vi,all(development),p2l,huber,self,5,0.0,0.0,0.0
vi,all(development),p2l,huber,self,10,0.0,0.0,0.0
vi,all(development),p2l,huber,self,20,0.0,0.0,0.0
vi,all(development),p2l,trim,real,5,144.84504315259858,142.80210765909618,146.97964929839188
vi,all(development),p2l,trim,real,10,144.84504315259858,142.08386475529562,147.31712928451472
vi,all(development),p2l,trim,real,20,144.84504315259858,140.6993316460456,147.94746734368238
vi,all(development),p2l,trim,self,5,0.0,0.0,0.0
vi,all(development),p2l,trim,self,10,0.0,0.0,0.0
vi,all(development),p2l,trim,self,20,0.0,0.0,0.0
iv,in_support(primary),p2p,ls,real,5,160.423862077838,158.1190019822152,162.28808111507652
iv,in_support(primary),p2p,ls,real,10,160.423862077838,157.90846775476572,162.46205310029328
iv,in_support(primary),p2p,ls,real,20,160.423862077838,156.6141189840787,163.1144637713951
