kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,on_bound,wmean,keep,traj,order,scan,ndist,in_support,block,n
p2p,ls,1,0.0601553050697251,148.82663013139725,4.916122977551957,0.0090780576159301,0.0040286394297944,0.0050494181861356,25,0,1.0,,vi,0,0,0.0,True,0,9187
p2p,ls,0,1.4021999328926606e-05,4.5649933024460765e-14,7.763596022708015e-15,,2.9943624331867555e-32,,2,0,1.0,,vi,0,0,0.0,True,0,9187
p2p,huber,1,0.0290256258272317,137.80211559671113,4.725143915022509,0.0033090507655289,0.0009184191124927,0.0023906316530361,40,0,0.783983679090229,,vi,0,0,0.0,True,0,9187
p2p,huber,0,7.010999664463327e-06,4.5649933024460765e-14,7.763596022708015e-15,,2.9943624331867555e-32,,2,0,1.0,,vi,0,0,0.0,True,0,9187
p2p,trim,1,0.0345906389019363,135.99292916068336,4.613807707046368,0.0035246692190251,0.0003400966080977,0.0031845726109274,40,0,0.8000435397844781,0.8000435397844781,vi,0,0,0.0,True,0,9187
p2p,trim,0,1.7435434808464954e-05,5.3326878152665934e-14,7.101398264671566e-14,,7.167984768881819e-31,,2,0,0.8000435397844781,0.8000435397844781,vi,0,0,0.0,True,0,9187
p2l,ls,1,0.047218165751443,146.38696111122928,4.609579005112327,0.0080815899021265,0.0035361784150257,0.0045454114871008,40,0,1.0,,vi,0,0,0.0,True,0,9187
p2l,ls,0,8.388970454288818e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,0,0,0.0,True,0,9187
p2l,huber,1,0.0208141085598311,137.64490123271364,4.67155062415138,0.0028568491819225,0.0008255870483864,0.0020312621335361,40,0,0.8120556074385574,,vi,0,0,0.0,True,0,9187
p2l,huber,0,4.1944852271444345e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,0,0,0.0,True,0,9187
p2l,trim,1,0.0262758613495669,135.7511117136677,4.7880751021493495,0.0028984041990711,0.0002526873162297,0.0026457168828414,23,0,0.8000435397844781,0.8000435397844781,vi,0,0,0.0,True,0,9187
p2l,trim,0,1.0292268407819644e-05,0.0,0.0,,0.0,,2,0,0.8000435397844781,0.8000435397844781,vi,0,0,0.0,True,0,9187
p2p,ls,1,0.0644050152002756,152.12704174652154,4.585390755827114,0.0092467569737723,0.0040253347867894,0.0052214221869828,39,0,1.0,,vi,1,1,0.0,True,0,8693
p2p,ls,0,6.602869030302953e-06,1.003753410986576e-13,7.130467129971105e-15,,2.235699253617469e-31,,2,0,1.0,,vi,1,1,0.0,True,0,8693
p2p,huber,1,0.0305226583545716,137.4099014134543,4.172898283486231,0.0032702918417088,0.0009894977188825,0.0022807941228263,40,0,0.7835033714566457,,vi,1,1,0.0,True,0,8693
p2p,huber,0,3.301434515151277e-06,1.003753410986576e-13,7.130467129971105e-15,,2.235699253617469e-31,,2,0,1.0,,vi,1,1,0.0,True,0,8693
p2p,trim,1,0.0398705532822539,134.280848922388,4.289166713959034,0.0036129774862726,0.0003733617178853,0.0032396157683872,40,0,0.7999539859657195,0.7999539859657195,vi,1,1,0.0,True,0,8693
p2p,trim,0,7.014406752204499e-06,7.022559173555824e-14,6.4606001902550846e-15,,6.203675759634927e-32,,2,0,0.7999539859657195,0.7999539859657195,vi,1,1,0.0,True,0,8693
p2l,ls,1,0.0520934416201394,149.92701010127894,4.131107161010358,0.0081400496499061,0.0035487570662041,0.004591292583702,18,0,1.0,,vi,1,1,0.0,True,0,8693
p2l,ls,0,7.275929603179564e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,1,1,0.0,True,0,8693
p2l,huber,1,0.0264097348314344,137.54861905168485,4.062916423142305,0.0028502158382872,0.0009149188606461,0.0019352969776411,34,0,0.8137256073668941,,vi,1,1,0.0,True,0,8693
p2l,huber,0,3.637964801589861e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,1,1,0.0,True,0,8693
p2l,trim,1,0.0324866012797156,134.46539732528686,4.201280526983534,0.002927118361495,0.0002859973895431,0.0026411209719519,19,0,0.7999539859657195,0.7999539859657195,vi,1,1,0.0,True,0,8693
p2l,trim,0,7.43275505326911e-06,0.0,0.0,,0.0,,2,0,0.7999539859657195,0.7999539859657195,vi,1,1,0.0,True,0,8693
p2p,ls,1,0.0704459081670215,155.5163438278263,6.306839081781899,0.0104949843167442,0.0048747795978039,0.0056202047189402,40,0,1.0,,vi,2,2,0.0,True,0,10100
p2p,ls,0,7.315455809311384e-06,9.396474428154621e-14,3.210872994192508e-15,,1.1794805206251139e-31,,2,0,1.0,,vi,2,2,0.0,True,0,10100
p2p,huber,1,0.0322194777963187,139.37858816870744,5.507928747921981,0.003624980233179,0.0013936879689454,0.0022312922642336,40,0,0.7950642186884713,,vi,2,2,0.0,True,0,10100
p2p,huber,0,3.657727904655838e-06,9.396474428154621e-14,3.210872994192508e-15,,1.1794805206251139e-31,,2,0,1.0,,vi,2,2,0.0,True,0,10100
p2p,trim,1,0.0400152487506196,133.7903405608291,5.345708147647618,0.00377601076555,0.0004800242132343,0.0032959865523157,40,0,0.8,0.8,vi,2,2,0.0,True,0,10100
p2p,trim,0,9.851247505308226e-06,9.46647116517903e-14,9.313482797186346e-15,,7.521184900505172e-32,,2,0,0.8,0.8,vi,2,2,0.0,True,0,10100
p2l,ls,1,0.0571528491299208,155.98786802141393,6.806911663888723,0.0094732573813795,0.0043044839821013,0.0051687733992781,40,0,1.0,,vi,2,2,0.0,True,0,10100
p2l,ls,0,9.636416638501373e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,2,2,0.0,True,0,10100
p2l,huber,1,0.0268011042764375,140.07079438560973,5.734686956084967,0.0032312460995876,0.0012729406682592,0.0019583054313284,26,0,0.8119653312208219,,vi,2,2,0.0,True,0,10100
p2l,huber,0,4.818208319250626e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,2,2,0.0,True,0,10100
p2l,trim,1,0.0337574400017396,133.10448220119824,5.547106869605517,0.0031203626617509,0.000377904045247,0.0027424586165038,40,0,0.8,0.8,vi,2,2,0.0,True,0,10100
p2l,trim,0,1.1228723453877303e-05,0.0,0.0,,0.0,,2,0,0.8,0.8,vi,2,2,0.0,True,0,10100
p2p,ls,1,0.0814304749167798,157.5692560650436,4.049028099531629,0.0122232037846133,0.0058830918569146,0.0063401119276987,32,0,1.0,,vi,3,3,0.0,True,0,10446
p2p,ls,0,1.3168766290466588e-05,2.8092345707826728e-14,4.9830365414108356e-15,,3.078193295549904e-32,,2,0,1.0,,vi,3,3,0.0,True,0,10446
p2p,huber,1,0.0321876365428808,138.93976703494354,3.677022423841322,0.0041103315782764,0.0019025433325913,0.002207788245685,40,0,0.801846765665218,,vi,3,3,0.0,True,0,10446
p2p,huber,0,6.584383145233762e-06,2.8092345707826728e-14,4.9830365414108356e-15,,3.078193295549904e-32,,2,0,1.0,,vi,3,3,0.0,True,0,10446
p2p,trim,1,0.0436738485616749,131.00687220570435,3.401004819370198,0.0041924698173589,0.0006377847195863,0.0035546850977726,40,0,0.8000191460846257,0.8000191460846257,vi,3,3,0.0,True,0,10446
p2p,trim,0,1.472236409835398e-05,6.836356822001968e-14,1.3454902419418502e-14,,1.22563895302687e-31,,2,0,0.8000191460846257,0.8000191460846257,vi,3,3,0.0,True,0,10446
p2l,ls,1,0.0755997463095267,156.98434856385367,4.153975289171641,0.011053805166937,0.0050982906954692,0.0059555144714678,40,0,1.0,,vi,3,3,0.0,True,0,10446
p2l,ls,0,4.5920352947467e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,3,3,0.0,True,0,10446
p2l,huber,1,0.0283064707626274,141.2340137189162,3.780739129269656,0.0036516483172482,0.0018178134315617,0.0018338348856864,38,0,0.8207968701907896,,vi,3,3,0.0,True,0,10446
p2l,huber,0,2.296017647373284e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,3,3,0.0,True,0,10446
p2l,trim,1,0.0340954333040429,130.8876912588376,3.5186326545818827,0.0035208342014825,0.0005214592961132,0.0029993749053692,40,0,0.8000191460846257,0.8000191460846257,vi,3,3,0.0,True,0,10446
p2l,trim,0,4.915108618471867e-06,0.0,0.0,,0.0,,2,0,0.8000191460846257,0.8000191460846257,vi,3,3,0.0,True,0,10446
p2p,ls,1,0.0732125587271387,151.40492711490427,4.183191994792766,0.0104490935066815,0.0048885448379519,0.0055605486687296,31,0,1.0,,vi,4,4,0.0,True,0,10627
p2p,ls,0,1.635931509968398e-05,7.227783183072371e-14,1.6512626919635222e-14,,1.7021984594042235e-31,,2,0,1.0,,vi,4,4,0.0,True,0,10627
p2p,huber,1,0.0291644481105109,134.90078553778338,4.323982441380863,0.003641845106217,0.0015101902889429,0.002131654817274,40,0,0.7988117337235772,,vi,4,4,0.0,True,0,10627
p2p,huber,0,8.179657549841871e-06,7.227783183072371e-14,1.6512626919635222e-14,,1.7021984594042235e-31,,2,0,1.0,,vi,4,4,0.0,True,0,10627
p2p,trim,1,0.0376504075275509,129.4727635105788,4.170449515442712,0.0037251564844492,0.000519992641602,0.0032051638428471,40,0,0.8000376399736521,0.8000376399736521,vi,4,4,0.0,True,0,10627
p2p,trim,0,2.060122160874261e-05,4.9674920646601386e-14,2.555359847152556e-15,,9.513936693828632e-32,,2,0,0.8000376399736521,0.8000376399736521,vi,4,4,0.0,True,0,10627
p2l,ls,1,0.071576917203126,150.50774193993897,3.716999541325343,0.0094257144113616,0.0043330758826847,0.0050926385286769,40,0,1.0,,vi,4,4,0.0,True,0,10627
p2l,ls,0,6.484999217536852e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,4,4,0.0,True,0,10627
p2l,huber,1,0.023049993018097,135.78778054497246,4.314310898596585,0.0032154724751133,0.001426738825395,0.0017887336497182,40,0,0.8182280470955321,,vi,4,4,0.0,True,0,10627
p2l,huber,0,3.242499608768492e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,4,4,0.0,True,0,10627
p2l,trim,1,0.0294590797904024,129.260652447804,4.446771711994552,0.0031440835127592,0.0004209259840285,0.0027231575287307,40,0,0.8000376399736521,0.8000376399736521,vi,4,4,0.0,True,0,10627
p2l,trim,0,5.705529793486713e-06,0.0,0.0,,0.0,,2,0,0.8000376399736521,0.8000376399736521,vi,4,4,0.0,True,0,10627
p2p,ls,1,0.0726842037113498,148.72802999250268,4.665506818002147,0.0103722078346059,0.004870037089989,0.0055021707446168,29,0,1.0,,vi,5,5,0.0,True,0,10360
p2p,ls,0,1.0463176258573917e-05,1.214058378450179e-13,5.715006164876372e-14,,5.341579946794881e-31,,2,0,1.0,,vi,5,5,0.0,True,0,10360
p2p,huber,1,0.0329849026437557,131.14662471839424,4.714330005367564,0.0035721136483185,0.0014813462640186,0.0020907673842998,40,0,0.8034524747942514,,vi,5,5,0.0,True,0,10360
p2p,huber,0,5.231588129286852e-06,1.214058378450179e-13,5.715006164876372e-14,,5.341579946794881e-31,,2,0,1.0,,vi,5,5,0.0,True,0,10360
p2p,trim,1,0.0388661153821631,125.43439191955304,4.577564772881478,0.0035892644951572,0.0005027717890288,0.0030864927061283,40,0,0.8,0.8,vi,5,5,0.0,True,0,10360
p2p,trim,0,1.3392656299434508e-05,4.463543284568527e-14,7.885149489356128e-15,,2.963553759299533e-31,,2,0,0.8,0.8,vi,5,5,0.0,True,0,10360
p2l,ls,1,0.0758375013006147,149.79983630867338,3.6942596388694433,0.0094647399143351,0.0042225859465161,0.0052421539678189,40,0,1.0,,vi,5,5,0.0,True,0,10360
p2l,ls,0,5.006245798061855e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,5,5,0.0,True,0,10360
p2l,huber,1,0.0278539308142725,131.48200732641925,4.74623656948006,0.00319610514692,0.0013487301544514,0.0018473749924685,40,0,0.8216571905055048,,vi,5,5,0.0,True,0,10360
p2l,huber,0,2.5031228990310166e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,5,5,0.0,True,0,10360
p2l,trim,1,0.0318719541096528,124.57451713325396,4.916957481575254,0.0030189933760369,0.0003924128057626,0.0026265805702743,19,0,0.8,0.8,vi,5,5,0.0,True,0,10360
p2l,trim,0,4.340051846662773e-06,0.0,0.0,,0.0,,2,0,0.8,0.8,vi,5,5,0.0,True,0,10360
p2p,ls,1,0.0734243766135867,152.74119589850528,5.536149267156991,0.0112656335622971,0.0051998418577849,0.0060657917045122,40,0,1.0,,vi,6,6,0.0,True,0,9729
p2p,ls,0,1.1321791400053416e-05,9.569421670900399e-14,8.486560114360412e-15,,9.788670075407258e-32,,2,0,1.0,,vi,6,6,0.0,True,0,9729
p2p,huber,1,0.0351054209511011,132.95212387286983,5.234492203733785,0.0038317716313142,0.001410615288328,0.0024211563429861,40,0,0.7917537300228292,,vi,6,6,0.0,True,0,9729
