kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,on_bound,wmean,keep,traj,order,scan,ndist,in_support,block,n
p2p,ls,1,0.03825226448987681,94.82041782140772,1.7000680609879304,0.006703011321507878,0.0049928724426576004,0.0017101388788502772,37,0,1.0,,ii,0,0,2.4368521968864054,False,0,10333
p2p,ls,0,1.4537655029616602e-05,2.343325862650521e-13,4.052641856658974e-15,,6.318715952578837e-31,,2,0,1.0,,ii,0,0,2.4368521968864054,False,0,10333
p2p,huber,1,0.013961603074721982,70.33838892652533,0.8466975860126833,0.0013408022771994566,0.0012486304767494012,9.217180045005546e-05,40,0,0.7884932438893659,,ii,0,0,2.4368521968864054,False,0,10333
p2p,huber,0,7.268827514808106e-06,2.343325862650521e-13,4.052641856658974e-15,,6.318715952578837e-31,,2,0,1.0,,ii,0,0,2.4368521968864054,False,0,10333
p2p,trim,1,0.013555745219771018,63.709568263556505,1.0422076480984201,0.0010523636041401198,0.0004914894700680217,0.0005608741340720981,40,0,0.7999612890738411,0.7999612890738411,ii,0,0,2.4368521968864054,False,0,10333
p2p,trim,0,1.8039252023956623e-05,5.6611551807752865e-14,9.887592401325886e-15,,2.4657586977695995e-31,,2,0,0.7999612890738411,0.7999612890738411,ii,0,0,2.4368521968864054,False,0,10333
p2l,ls,1,0.03461696819983432,90.58079077851772,1.1215729663475167,0.006063530645995864,0.0044071799597878705,0.0016563506862079932,12,0,1.0,,ii,0,0,2.4368521968864054,False,0,10333
p2l,ls,0,6.056176653322394e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,0,0,2.4368521968864054,False,0,10333
p2l,huber,1,0.011521377242933908,68.61505371553199,0.9302852015004484,0.0011880112848906665,0.001075325544672033,0.00011268574021863352,32,0,0.8113800986066765,,ii,0,0,2.4368521968864054,False,0,10333
p2l,huber,0,3.0280883266612207e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,0,0,2.4368521968864054,False,0,10333
p2l,trim,1,0.010576835251930044,63.64695834279302,1.0428223146493145,0.0008362935509820609,0.0003726762504080541,0.00046361730057400675,40,0,0.7999612890738411,0.7999612890738411,ii,0,0,2.4368521968864054,False,0,10333
p2l,trim,0,7.465935316412451e-06,0.0,0.0,,0.0,,2,0,0.7999612890738411,0.7999612890738411,ii,0,0,2.4368521968864054,False,0,10333
p2p,ls,1,0.03829095731583843,95.57979968032834,1.740917468078536,0.0069153455064292334,0.005266712571095523,0.0016486329353337104,37,0,1.0,,ii,1,1,2.4376022712307956,False,0,10321
p2p,ls,0,6.796390866520873e-06,1.3937734147822053e-13,8.597577352009364e-15,,2.130930189996421e-31,,2,0,1.0,,ii,1,1,2.4376022712307956,False,0,10321
p2p,huber,1,0.012903522924316771,69.34250984438005,1.1404558000992757,0.0013156766979059297,0.0013037645820250913,1.1912115880838335e-05,40,0,0.789311882115975,,ii,1,1,2.4376022712307956,False,0,10321
p2p,huber,0,3.398195433260335e-06,1.3937734147822053e-13,8.597577352009364e-15,,2.130930189996421e-31,,2,0,1.0,,ii,1,1,2.4376022712307956,False,0,10321
p2p,trim,1,0.012579239387575688,62.82143503855783,1.0964271623235455,0.0009962808021994748,0.0005054455863940903,0.0004908352158053845,40,0,0.8000193779672512,0.8000193779672512,ii,1,1,2.4376022712307956,False,0,10321
p2p,trim,0,1.0119726985334324e-05,9.989356598077695e-14,6.113438961129771e-15,,2.944057943637329e-31,,2,0,0.8000193779672512,0.8000193779672512,ii,1,1,2.4376022712307956,False,0,10321
p2l,ls,1,0.036553812656219764,88.91158400727637,1.1997126868830104,0.006228392862976962,0.00468190025073643,0.0015464926122405317,40,0,1.0,,ii,1,1,2.4376022712307956,False,0,10321
p2l,ls,0,5.657676269072024e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,1,1,2.4376022712307956,False,0,10321
p2l,huber,1,0.010779821724186614,67.11066599987468,1.0883641900104937,0.001179286984628381,0.0011322056605570054,4.708132407137567e-05,40,0,0.8103521416614815,,ii,1,1,2.4376022712307956,False,0,10321
p2l,huber,0,2.8288381345359868e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,1,1,2.4376022712307956,False,0,10321
p2l,trim,1,0.009480917079382383,63.221369829307555,1.2076798920197689,0.000789701422226202,0.0003867857998774243,0.0004029156223487777,18,0,0.8000193779672512,0.8000193779672512,ii,1,1,2.4376022712307956,False,0,10321
p2l,trim,0,6.27878604557144e-06,0.0,0.0,,0.0,,2,0,0.8000193779672512,0.8000193779672512,ii,1,1,2.4376022712307956,False,0,10321
p2p,ls,1,0.03760229167423274,98.02899481782065,2.0492028332332994,0.006975935024593098,0.005360406096084054,0.0016155289285090446,37,0,1.0,,ii,2,2,2.438712614193206,False,0,10357
p2p,ls,0,1.56644286911691e-05,2.2063533523255215e-13,7.958216991726013e-14,,1.0118879427915055e-30,,2,0,1.0,,ii,2,2,2.438712614193206,False,0,10357
p2p,huber,1,0.01205075830364047,67.16606628026032,1.262599597179272,0.0013198974753067777,0.0013577689709600232,-3.787149565324553e-05,40,0,0.7860792041174579,,ii,2,2,2.438712614193206,False,0,10357
p2p,huber,0,7.832214345584747e-06,2.2063533523255215e-13,7.958216991726013e-14,,1.0118879427915055e-30,,2,0,1.0,,ii,2,2,2.438712614193206,False,0,10357
p2p,trim,1,0.01191277957419829,61.15108816103143,1.194252298805801,0.00097984126069984,0.0005310658524260144,0.00044877540827382555,40,0,0.8000386212223617,0.8000386212223617,ii,2,2,2.438712614193206,False,0,10357
p2p,trim,0,1.962340258093651e-05,6.865270976539725e-14,3.986058239421946e-15,,6.731879480460498e-32,,2,0,0.8000386212223617,0.8000386212223617,ii,2,2,2.438712614193206,False,0,10357
p2l,ls,1,0.034515724219249665,92.56411056380922,1.8499040822418824,0.006279247723120734,0.004833649119927576,0.001445598603193158,16,0,1.0,,ii,2,2,2.438712614193206,False,0,10357
p2l,ls,0,6.226897841497454e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,2,2,2.438712614193206,False,0,10357
p2l,huber,1,0.009708921242601547,65.40223713383922,1.3367349607339725,0.0011847401710366084,0.001205777430229334,-2.1037259192725668e-05,20,0,0.8095407871415544,,ii,2,2,2.438712614193206,False,0,10357
p2l,huber,0,3.1134489207487705e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,2,2,2.438712614193206,False,0,10357
p2l,trim,1,0.008217381562776996,60.4001021317255,1.2317588326985243,0.0007871028546916791,0.00040587413743520636,0.00038122871725647275,40,0,0.8000386212223617,0.8000386212223617,ii,2,2,2.438712614193206,False,0,10357
p2l,trim,0,6.389106906942632e-06,0.0,0.0,,0.0,,2,0,0.8000386212223617,0.8000386212223617,ii,2,2,2.438712614193206,False,0,10357
p2p,ls,1,0.0365957011749246,92.13318473088793,1.76582055208811,0.006527256205641739,0.005086322856709174,0.0014409333489325653,26,0,1.0,,ii,3,3,2.4401942681385727,False,0,10305
p2p,ls,0,9.80048663862275e-06,8.333899327855086e-14,6.372241410847381e-15,,1.1301173124448362e-31,,2,0,1.0,,ii,3,3,2.4401942681385727,False,0,10305
p2p,huber,1,0.013400542225836063,65.52457983751714,1.089989071703374,0.0012507834410223327,0.0013089151579482893,-5.8131716925956646e-05,40,0,0.7831752531598363,,ii,3,3,2.4401942681385727,False,0,10305
p2p,huber,0,4.9002433193112645e-06,8.333899327855086e-14,6.372241410847381e-15,,1.1301173124448362e-31,,2,0,1.0,,ii,3,3,2.4401942681385727,False,0,10305
p2p,trim,1,0.011355213396967347,60.27570723028701,1.0483544550496733,0.0009200747812256288,0.0005280758012360283,0.0003919989799896005,40,0,0.8,0.8,ii,3,3,2.4401942681385727,False,0,10305
p2p,trim,0,1.1364464485924082e-05,7.028013914169962e-14,1.1965777256206817e-14,,1.1042038297419e-31,,2,0,0.8,0.8,ii,3,3,2.4401942681385727,False,0,10305
p2l,ls,1,0.03111309168133568,89.7366842288597,1.6426387854580973,0.005861144828862769,0.0046316044617133595,0.0012295403671494093,40,0,1.0,,ii,3,3,2.4401942681385727,False,0,10305
p2l,ls,0,8.451887502920245e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,3,3,2.4401942681385727,False,0,10305
p2l,huber,1,0.01123319900156318,62.547827261058956,1.2273490462709076,0.0011253629768544914,0.0011633683717056928,-3.800539485120146e-05,40,0,0.805616839275145,,ii,3,3,2.4401942681385727,False,0,10305
p2l,huber,0,4.225943751460132e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,3,3,2.4401942681385727,False,0,10305
p2l,trim,1,0.00826253288571001,59.722882935750775,1.0627918578595243,0.0007351737227163496,0.00040832723616534633,0.0003268464865510033,18,0,0.8,0.8,ii,3,3,2.4401942681385727,False,0,10305
p2l,trim,0,8.747025046983575e-06,0.0,0.0,,0.0,,2,0,0.8,0.8,ii,3,3,2.4401942681385727,False,0,10305
p2p,ls,1,0.03850517742715213,92.71593091255454,1.6007766139010715,0.006696584135320337,0.005208841578279458,0.001487742557040879,27,0,1.0,,ii,4,4,2.4420992132790245,False,0,10527
p2p,ls,0,1.3807978194252855e-05,1.1837203927269182e-13,1.2977917859119939e-14,,1.601787155418196e-31,,2,0,1.0,,ii,4,4,2.4420992132790245,False,0,10527
p2p,huber,1,0.012402314130992659,65.4718229115469,1.1530948691863094,0.0012857117779090227,0.0013524434604208426,-6.673168251181984e-05,40,0,0.7761560500577378,,ii,4,4,2.4420992132790245,False,0,10527
p2p,huber,0,6.903989097126379e-06,1.1837203927269182e-13,1.2977917859119939e-14,,1.601787155418196e-31,,2,0,1.0,,ii,4,4,2.4420992132790245,False,0,10527
p2p,trim,1,0.01166268342475101,59.948372124944996,1.1500064097190978,0.0009347556252296798,0.0005543588666395088,0.000380396758590171,40,0,0.8000379975301606,0.8000379975301606,ii,4,4,2.4420992132790245,False,0,10527
p2p,trim,0,1.780791978829389e-05,5.721958498152797e-14,3.6010146389644115e-15,,1.1317444954249401e-31,,2,0,0.8000379975301606,0.8000379975301606,ii,4,4,2.4420992132790245,False,0,10527
p2l,ls,1,0.033813527677028436,90.93456782982763,1.7414331233961995,0.006087648177053996,0.004864469475377572,0.0012231787016764237,40,0,1.0,,ii,4,4,2.4420992132790245,False,0,10527
p2l,ls,0,8.490397605928037e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,4,4,2.4420992132790245,False,0,10527
p2l,huber,1,0.01185328615425565,63.54136898401173,1.509312512289029,0.001169914052740215,0.0012153538911555757,-4.5439838415360775e-05,40,0,0.7996967720437509,,ii,4,4,2.4420992132790245,False,0,10527
p2l,huber,0,4.245198802964037e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,4,4,2.4420992132790245,False,0,10527
p2l,trim,1,0.009202331490257572,59.13995600980382,1.382068954880658,0.0007407218495701576,0.00042959346284158773,0.00031112838672856983,21,0,0.8000379975301606,0.8000379975301606,ii,4,4,2.4420992132790245,False,0,10527
p2l,trim,0,8.993163351325327e-06,0.0,0.0,,0.0,,2,0,0.8000379975301606,0.8000379975301606,ii,4,4,2.4420992132790245,False,0,10527
p2p,ls,1,0.042375822208941975,100.28913696990897,1.7545168862225755,0.006911161573955104,0.0051417997344175665,0.0017693618395375373,26,0,1.0,,ii,5,5,2.44277227155663,False,0,10648
p2p,ls,0,1.3054153075731086e-05,3.94053425015214e-14,5.539627232248696e-15,,3.890670786413353e-32,,2,0,1.0,,ii,5,5,2.44277227155663,False,0,10648
p2p,huber,1,0.017697066802427976,68.61870318470186,1.35084735412989,0.0013315009113168783,0.0013798618846307747,-4.836097331389639e-05,40,0,0.7740646020267445,,ii,5,5,2.44277227155663,False,0,10648
p2p,huber,0,6.527076537865898e-06,3.94053425015214e-14,5.539627232248696e-15,,3.890670786413353e-32,,2,0,1.0,,ii,5,5,2.44277227155663,False,0,10648
p2p,trim,1,0.013323871214873271,60.8368789261117,1.374469115038683,0.0009845203248477678,0.0005853663084318757,0.00039915401641589217,40,0,0.799962434259955,0.799962434259955,ii,5,5,2.44277227155663,False,0,10648
p2p,trim,0,1.690040688542368e-05,1.8521778298640122e-14,7.095939432389394e-15,,1.8429461712279123e-31,,2,0,0.799962434259955,0.799962434259955,ii,5,5,2.44277227155663,False,0,10648
p2l,ls,1,0.037755709142403046,99.2022230652646,2.0245262460425293,0.006283019171954442,0.004778835143199905,0.0015041840287545365,16,0,1.0,,ii,5,5,2.44277227155663,False,0,10648
p2l,ls,0,9.276318204251598e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,5,5,2.44277227155663,False,0,10648
p2l,huber,1,0.013721806932091107,67.03771426917473,1.5734826290109414,0.0012125832915276299,0.0012517047000553429,-3.9121408527712995e-05,40,0,0.7976146718138313,,ii,5,5,2.44277227155663,False,0,10648
p2l,huber,0,4.638159102125903e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,5,5,2.44277227155663,False,0,10648
p2l,trim,1,0.010412707217257375,58.88770366497562,1.5949281083073785,0.0007773668152249276,0.0004614298174756422,0.00031593699774928543,40,0,0.799962434259955,0.799962434259955,ii,5,5,2.44277227155663,False,0,10648
p2l,trim,0,9.20072614066411e-06,0.0,0.0,,0.0,,2,0,0.799962434259955,0.799962434259955,ii,5,5,2.44277227155663,False,0,10648
p2p,ls,1,0.05218212331494885,110.15335783469656,1.5737415823718341,0.007401244308350544,0.005074969071218782,0.002326275237131762,33,0,1.0,,ii,6,6,2.435842853146902,False,0,10741
p2p,ls,0,1.9288826125557864e-05,1.994375676949953e-13,5.453745832003952e-15,,4.533998727730129e-31,,2,0,1.0,,ii,6,6,2.435842853146902,False,0,10741
p2p,huber,1,0.030727687857306077,75.57531815447348,1.3540815882141628,0.0015823407230547198,0.0013777475817828607,0.0002045931412718591,40,0,0.7754706366967083,,ii,6,6,2.435842853146902,False,0,10741
p2p,huber,0,9.644413062778756e-06,1.994375676949953e-13,5.453745832003952e-15,,4.533998727730129e-31,,2,0,1.0,,ii,6,6,2.435842853146902,False,0,10741
p2p,trim,1,0.022658120895944787,65.91586567504116,1.2344753934330033,0.0011418262199111874,0.000560573075880756,0.0005812531440304315,40,0,0.8000186202402011,0.8000186202402011,ii,6,6,2.435842853146902,False,0,10741
p2p,trim,0,2.4041939280606916e-05,3.86827776771878e-14,1.4896546708609112e-14,,5.868208653569258e-32,,2,0,0.8000186202402011,0.8000186202402011,ii,6,6,2.435842853146902,False,0,10741
p2l,ls,1,0.0508142438547923,110.16313946449236,1.783346654368013,0.006722657909122815,0.004726268060159839,0.0019963898489629758,40,0,1.0,,ii,6,6,2.435842853146902,False,0,10741
p2l,ls,0,6.614030380237849e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,6,6,2.435842853146902,False,0,10741
p2l,huber,1,0.02821352846332624,74.29663245497146,1.4559919030852204,0.001428537538112546,0.0012373706043420475,0.00019116693377049842,40,0,0.7968379394208829,,ii,6,6,2.435842853146902,False,0,10741
p2l,huber,0,3.307015190118793e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,6,6,2.435842853146902,False,0,10741
p2l,trim,1,0.021460249742158415,64.61187070001897,1.5875677260952537,0.0009264422900688084,0.0004422061935975739,0.00048423609647123446,16,0,0.8000186202402011,0.8000186202402011,ii,6,6,2.435842853146902,False,0,10741
p2l,trim,0,8.579158174871252e-06,0.0,0.0,,0.0,,2,0,0.8000186202402011,0.8000186202402011,ii,6,6,2.435842853146902,False,0,10741
p2p,ls,1,0.0630035962477873,109.82490215512767,1.4697543666302175,0.007673442078695239,0.0049121828021854545,0.002761259276509784,33,0,1.0,,ii,7,7,2.421276341298882,False,0,11023
p2p,ls,0,3.345421099030341e-05,2.332090394263753e-13,7.752614555063132e-14,,1.0621008206626036e-30,,2,0,1.0,,ii,7,7,2.421276341298882,False,0,11023
p2p,huber,1,0.028323791748753983,78.32725575071824,1.3655254132589583,0.0017976647941097329,0.001349635388223343,0.0004480294058863898,40,0,0.7783964992024004,,ii,7,7,2.421276341298882,False,0,11023
p2p,huber,0,1.6727105495151864e-05,2.332090394263753e-13,7.752614555063132e-14,,1.0621008206626036e-30,,2,0,1.0,,ii,7,7,2.421276341298882,False,0,11023
p2p,trim,1,0.031884657969235695,70.0939097265239,1.3489922262135707,0.0013458816069092624,0.0005496489120296294,0.000796232694879633,40,0,0.7999637122380477,0.7999637122380477,ii,7,7,2.421276341298882,False,0,11023
p2p,trim,0,4.130733283222867e-05,1.4539632184201928e-14,1.7299340562178456e-15,,1.570115568737132e-31,,2,0,0.7999637122380477,0.7999637122380477,ii,7,7,2.421276341298882,False,0,11023
p2l,ls,1,0.06737331827072492,108.22687170320891,1.340024235183456,0.007188415525448515,0.0046673333974640435,0.002521082127984471,40,0,1.0,,ii,7,7,2.421276341298882,False,0,11023
p2l,ls,0,9.868991981221269e-06,0.0,0.0,,0.0,,2,0,1.0,,ii,7,7,2.421276341298882,False,0,11023
