kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,on_bound,wmean,keep,traj,order,scan,ndist,in_support,block,n
p2p,ls,1,0.05998421954947074,104.25570412650734,1.8842031441601357,0.00446629931686464,0.002168241467558964,0.002298057849305676,40,0,1.0,,iv,0,0,1.1289708952612252,False,0,9515
p2p,ls,0,1.5107312851753157e-05,1.724747234804252e-13,4.8994708780826615e-15,,3.2313500833776967e-31,,2,0,1.0,,iv,0,0,1.1289708952612252,False,0,9515
p2p,huber,1,0.02304745232622204,79.42624176127643,1.4888684334220916,0.001207336896116189,0.0005088891979255492,0.0006984476981906399,40,0,0.7523537289880378,,iv,0,0,1.1289708952612252,False,0,9515
p2p,huber,0,7.55365642587637e-06,1.724747234804252e-13,4.8994708780826615e-15,,3.2313500833776967e-31,,2,0,1.0,,iv,0,0,1.1289708952612252,False,0,9515
p2p,trim,1,0.04915115280513603,61.519836733012,0.8383357005676129,0.0015878304153831696,0.0003005521428635698,0.0012872782725195998,40,0,0.8,0.8,iv,0,0,1.1289708952612252,False,0,9515
p2p,trim,0,1.890637567490461e-05,5.578154324147574e-14,4.74362086969519e-15,,4.020823308225904e-31,,2,0,0.8,0.8,iv,0,0,1.1289708952612252,False,0,9515
p2l,ls,1,0.05558481423681724,100.17099015131957,1.624924995977445,0.004069808431955129,0.002009199159163464,0.0020606092727916653,40,0,1.0,,iv,0,0,1.1289708952612252,False,0,9515
p2l,ls,0,7.705839810674383e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,0,0,1.1289708952612252,False,0,9515
p2l,huber,1,0.023255764397594973,105.99656885421774,2.0197031139421644,0.001116133179844225,0.00040134624952799393,0.0007147869303162312,40,0,0.8092893070488743,,iv,0,0,1.1289708952612252,False,0,9515
p2l,huber,0,3.8529199053372645e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,0,0,1.1289708952612252,False,0,9515
p2l,trim,1,0.046226886051015936,110.22568616940431,2.6830054096302876,0.0013887796355377322,0.0001395700493665659,0.0012492095861711663,37,0,0.8,0.8,iv,0,0,1.1289708952612252,False,0,9515
p2l,trim,0,9.243526796108075e-06,0.0,0.0,,0.0,,2,0,0.8,0.8,iv,0,0,1.1289708952612252,False,0,9515
p2p,ls,1,0.061079792404207356,103.72556786256061,1.9979077142695425,0.004604876596453862,0.002297350932662485,0.002307525663791377,40,0,1.0,,iv,1,1,1.1293102049808457,False,0,9491
p2p,ls,0,2.220678787746666e-05,1.1135046624678928e-13,5.70987101932335e-15,,2.2661948066555276e-31,,2,0,1.0,,iv,1,1,1.1293102049808457,False,0,9491
p2p,huber,1,0.0226321046520544,81.02636188139515,1.486288613356986,0.00121733185545681,0.0005221843434894514,0.0006951475119673587,40,0,0.7571373341868348,,iv,1,1,1.1293102049808457,False,0,9491
p2p,huber,0,1.1103393938733261e-05,1.1135046624678928e-13,5.70987101932335e-15,,2.2661948066555276e-31,,2,0,1.0,,iv,1,1,1.1293102049808457,False,0,9491
p2p,trim,1,0.049069440636845346,61.5992352346252,1.001946144704548,0.0016128612256082748,0.0003103535931092069,0.001302507632499068,40,0,0.80002107259509,0.80002107259509,iv,1,1,1.1293102049808457,False,0,9491
p2p,trim,0,2.7045476657840564e-05,1.9720657002442089e-13,2.503975336531123e-13,,8.673916289427993e-30,,2,0,0.80002107259509,0.80002107259509,iv,1,1,1.1293102049808457,False,0,9491
p2l,ls,1,0.05560200193940771,99.04390750199866,1.9310556363623117,0.004129902042002082,0.002086791122127927,0.002043110919874155,40,0,1.0,,iv,1,1,1.1293102049808457,False,0,9491
p2l,ls,0,8.08941590226811e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,1,1,1.1293102049808457,False,0,9491
p2l,huber,1,0.021188312520737836,106.71404688113697,2.143640844318429,0.0011143415710967535,0.0004171820372739747,0.0006971595338227788,40,0,0.8107350654852706,,iv,1,1,1.1293102049808457,False,0,9491
