kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,on_bound,wmean,keep,traj,order,scan,ndist,in_support,block,n
p2p,ls,1,0.11347364039545096,145.58936221877678,3.6881655013825503,0.010930822319118794,0.0023878035662975414,0.008543018752821253,40,0,1.0,,v,0,0,0.8282414300595352,False,0,10504
p2p,ls,0,1.3536091286364085e-05,5.790573482681625e-14,6.386395195827485e-15,,3.3650466891636972e-31,,2,0,1.0,,v,0,0,0.8282414300595352,False,0,10504
p2p,huber,1,0.05938911490138159,144.33224800524025,2.3669629622193735,0.004212649120779906,0.0003237109187363351,0.003888938202043571,40,0,0.7548145055511701,,v,0,0,0.8282414300595352,False,0,10504
p2p,huber,0,6.768045643181936e-06,5.790573482681625e-14,6.386395195827485e-15,,3.3650466891636972e-31,,2,0,1.0,,v,0,0,0.8282414300595352,False,0,10504
p2p,trim,1,0.08286792243602216,145.0361036001567,2.5582201886662266,0.006745125247718211,0.00016910796157820277,0.006576017286140008,40,0,0.799980959634425,0.799980959634425,v,0,0,0.8282414300595352,False,0,10504
p2p,trim,0,1.6840396292042694e-05,5.406245604746915e-14,2.0483303081768762e-14,,1.357034651016056e-31,,2,0,0.799980959634425,0.799980959634425,v,0,0,0.8282414300595352,False,0,10504
p2l,ls,1,0.09682983916022858,141.23791603662642,2.178762946595881,0.009791017954753314,0.0019411616913305224,0.007849856263422791,40,0,1.0,,v,0,0,0.8282414300595352,False,0,10504
p2l,ls,0,6.2719036771566805e-06,0.0,0.0,,0.0,,2,0,1.0,,v,0,0,0.8282414300595352,False,0,10504
p2l,huber,1,0.04951818759837597,143.54433276340788,1.392095885708574,0.004080960044421706,0.0002581690584876721,0.0038227909859340336,40,0,0.832017753982331,,v,0,0,0.8282414300595352,False,0,10504
p2l,huber,0,3.1359518385781776e-06,0.0,0.0,,0.0,,2,0,1.0,,v,0,0,0.8282414300595352,False,0,10504
p2l,trim,1,0.07237243632909994,146.00920030133875,1.3503169385021028,0.005643332200678175,9.326594638654232e-05,0.005550066254291632,39,0,0.799980959634425,0.799980959634425,v,0,0,0.8282414300595352,False,0,10504
p2l,trim,0,7.67721778951984e-06,0.0,0.0,,0.0,,2,0,0.799980959634425,0.799980959634425,v,0,0,0.8282414300595352,False,0,10504
p2p,ls,1,0.12051635063412353,149.99617733804777,4.739721570843522,0.011189454876890452,0.002214373475301702,0.008975081401588751,40,0,1.0,,v,1,1,0.8178850758526178,False,0,10410
p2p,ls,0,1.5193384594131964e-05,7.57850338692913e-14,4.97165026140796e-15,,5.19962349151426e-31,,2,0,1.0,,v,1,1,0.8178850758526178,False,0,10410
p2p,huber,1,0.051233793116173015,149.09921697400276,3.653853474477514,0.0038192747865076265,0.0002589422317403611,0.0035603325547672654,40,0,0.7984076000312216,,v,1,1,0.8178850758526178,False,0,10410
p2p,huber,0,7.596692297065697e-06,7.57850338692913e-14,4.97165026140796e-15,,5.19962349151426e-31,,2,0,1.0,,v,1,1,0.8178850758526178,False,0,10410
p2p,trim,1,0.09425691529716032,150.43512120889332,3.7195336372664847,0.00732466295271233,0.00011614303417334051,0.00720851991853899,40,0,0.8,0.8,v,1,1,0.8178850758526178,False,0,10410
p2p,trim,0,1.9029822193761953e-05,5.69329705539154e-13,2.621870315952356e-13,,6.898313577641232e-30,,2,0,0.8,0.8,v,1,1,0.8178850758526178,False,0,10410
p2l,ls,1,0.11919359687115652,145.26726531847913,3.432868438367005,0.010087204183525234,0.001823977228071259,0.008263226955453975,40,0,1.0,,v,1,1,0.8178850758526178,False,0,10410
p2l,ls,0,8.502276489445877e-06,0.0,0.0,,0.0,,2,0,1.0,,v,1,1,0.8178850758526178,False,0,10410
p2l,huber,1,0.05679476097681271,149.32947781321556,2.901736915592133,0.004002407195631096,0.00019804681290621818,0.0038043603827248775,22,0,0.8467395060248513,,v,1,1,0.8178850758526178,False,0,10410
p2l,huber,0,4.251138244722974e-06,0.0,0.0,,0.0,,2,0,1.0,,v,1,1,0.8178850758526178,False,0,10410
p2l,trim,1,0.0845178416269964,152.31565559092627,2.8865499721117844,0.0064343450382927285,5.8706488252516444e-05,0.0063756385500402125,40,0,0.8,0.8,v,1,1,0.8178850758526178,False,0,10410
p2l,trim,0,8.739576985216201e-06,0.0,0.0,,0.0,,2,0,0.8,0.8,v,1,1,0.8178850758526178,False,0,10410
p2p,ls,1,0.1230775022514507,153.70970040438462,4.5849108411027135,0.011450773597276025,0.002153987523619479,0.009296786073656546,40,0,1.0,,v,2,2,0.8108385469442921,False,0,10386
p2p,ls,0,2.1745191380752174e-05,4.4863212948927466e-14,1.2497268738842937e-14,,2.770980339115682e-31,,2,0,1.0,,v,2,2,0.8108385469442921,False,0,10386
p2p,huber,1,0.05072568562784576,152.02844969210767,3.698129465879266,0.003601563604940926,0.00024109953864776145,0.003360464066293164,40,0,0.8203731519768762,,v,2,2,0.8108385469442921,False,0,10386
p2p,huber,0,1.0872595690376063e-05,4.4863212948927466e-14,1.2497268738842937e-14,,2.770980339115682e-31,,2,0,1.0,,v,2,2,0.8108385469442921,False,0,10386
p2p,trim,1,0.1004550148734585,152.52310104840936,3.9227823763957685,0.007760971676707865,0.00010221085148682159,0.007658760825221044,40,0,0.8000192566917004,0.8000192566917004,v,2,2,0.8108385469442921,False,0,10386
p2p,trim,0,2.6545802616737426e-05,4.6999882809058595e-14,6.308799549741208e-15,,3.786833782935846e-32,,2,0,0.8000192566917004,0.8000192566917004,v,2,2,0.8108385469442921,False,0,10386
p2l,ls,1,0.1182061779693199,153.96546993993474,4.26885841980516,0.010663716404911351,0.0018958946111811308,0.00876782179373022,40,0,1.0,,v,2,2,0.8108385469442921,False,0,10386
p2l,ls,0,3.47104889153446e-06,0.0,0.0,,0.0,,2,0,1.0,,v,2,2,0.8108385469442921,False,0,10386
p2l,huber,1,0.05851851764830442,153.42140125795228,2.9125442073002197,0.0038752327584722426,0.0001817628662528116,0.003693469892219431,19,0,0.8671109807816064,,v,2,2,0.8108385469442921,False,0,10386
p2l,huber,0,1.7355244457672022e-06,0.0,0.0,,0.0,,2,0,1.0,,v,2,2,0.8108385469442921,False,0,10386
p2l,trim,1,0.09136208495224607,155.48686438345848,2.837301447009668,0.006914124063577318,4.570925273261757e-05,0.0068684148108447,32,0,0.8000192566917004,0.8000192566917004,v,2,2,0.8108385469442921,False,0,10386
