kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,on_bound,wmean,keep,traj,order,scan,ndist,in_support,block,n
p2p,ls,1,0.06015530506972518,148.82663013139725,4.916122977551957,0.009078057615930177,0.004028639429794489,0.005049418186135688,25,0,1.0,,vi,0,0,0.0,True,0,9187
p2p,ls,0,1.4021999328926606e-05,4.564993302446076e-14,7.763596022708015e-15,,2.9943624331867555e-32,,2,0,1.0,,vi,0,0,0.0,True,0,9187
p2p,huber,1,0.029025625827231723,137.80211559671113,4.725143915022509,0.003309050765528968,0.0009184191124927807,0.0023906316530361875,40,0,0.783983679090229,,vi,0,0,0.0,True,0,9187
p2p,huber,0,7.010999664463327e-06,4.564993302446076e-14,7.763596022708015e-15,,2.9943624331867555e-32,,2,0,1.0,,vi,0,0,0.0,True,0,9187
p2p,trim,1,0.03459063890193634,135.99292916068336,4.613807707046368,0.0035246692190251585,0.00034009660809775283,0.0031845726109274055,40,0,0.8000435397844781,0.8000435397844781,vi,0,0,0.0,True,0,9187
p2p,trim,0,1.7435434808464954e-05,5.332687815266593e-14,7.101398264671566e-14,,7.167984768881819e-31,,2,0,0.8000435397844781,0.8000435397844781,vi,0,0,0.0,True,0,9187
p2l,ls,1,0.04721816575144307,146.38696111122928,4.609579005112327,0.008081589902126587,0.0035361784150257087,0.004545411487100878,40,0,1.0,,vi,0,0,0.0,True,0,9187
p2l,ls,0,8.388970454288818e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,0,0,0.0,True,0,9187
p2l,huber,1,0.020814108559831176,137.64490123271364,4.67155062415138,0.0028568491819225927,0.000825587048386405,0.0020312621335361876,40,0,0.8120556074385574,,vi,0,0,0.0,True,0,9187
p2l,huber,0,4.1944852271444345e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,0,0,0.0,True,0,9187
p2l,trim,1,0.02627586134956699,135.7511117136677,4.7880751021493495,0.0028984041990711947,0.0002526873162297921,0.0026457168828414026,23,0,0.8000435397844781,0.8000435397844781,vi,0,0,0.0,True,0,9187
p2l,trim,0,1.0292268407819644e-05,0.0,0.0,,0.0,,2,0,0.8000435397844781,0.8000435397844781,vi,0,0,0.0,True,0,9187
p2p,ls,1,0.0644050152002756,152.12704174652154,4.585390755827114,0.009246756973772358,0.004025334786789494,0.005221422186982864,39,0,1.0,,vi,1,1,0.0,True,0,8693
p2p,ls,0,6.602869030302953e-06,1.0037534109865759e-13,7.130467129971105e-15,,2.2356992536174695e-31,,2,0,1.0,,vi,1,1,0.0,True,0,8693
p2p,huber,1,0.03052265835457165,137.4099014134543,4.172898283486231,0.003270291841708896,0.0009894977188825303,0.0022807941228263654,40,0,0.7835033714566457,,vi,1,1,0.0,True,0,8693
p2p,huber,0,3.301434515151277e-06,1.0037534109865759e-13,7.130467129971105e-15,,2.2356992536174695e-31,,2,0,1.0,,vi,1,1,0.0,True,0,8693
p2p,trim,1,0.039870553282253994,134.280848922388,4.289166713959034,0.0036129774862726145,0.0003733617178853525,0.003239615768387262,40,0,0.7999539859657195,0.7999539859657195,vi,1,1,0.0,True,0,8693
p2p,trim,0,7.014406752204499e-06,7.022559173555824e-14,6.460600190255085e-15,,6.203675759634927e-32,,2,0,0.7999539859657195,0.7999539859657195,vi,1,1,0.0,True,0,8693
p2l,ls,1,0.05209344162013943,149.92701010127894,4.131107161010358,0.008140049649906184,0.003548757066204102,0.004591292583702082,18,0,1.0,,vi,1,1,0.0,True,0,8693
