traj,subset,kind,form,source,n,et_med,et_q25,et_q75,et_mean,eR_med,g_gt_med,L5_lo,L5_hi,L10_lo,L10_hi,L20_lo,L20_hi,on_bound_pct,leave_gt_1mm_pct,leave_gt_5mm_pct,leave_gt_10mm_pct,leave_gt_25mm_pct,real_self_ratio,cohens_d,mwu_p,frac_reduced,signflip_p,note
vi,all(development),p2p,ls,real,501,161.4078916359028,152.70978278288007,168.44528313870774,160.84779562630152,4.509032326167583,0.0692590395629657,158.77849638482044,163.79764854702017,157.97110075949666,164.58773094175802,156.29876363566726,165.22863611562423,0.0,100.0,100.0,100.0,100.0,149738425236679.28,22.3596918238206,1.3817544035499168e-165,,,
vi,all(development),p2p,huber,real,501,148.89218795717866,141.1590681495923,155.27008807498268,147.2750064763926,3.946522813593576,0.0317016352781791,147.2571455803161,150.8369295113812,146.4388913000184,151.51405060400026,145.20766998989603,152.13036770142676,0.0,100.0,100.0,100.0,100.0,138127581797818.53,20.126203958586142,1.3817544035499168e-165,,,
vi,all(development),p2p,trim,real,501,144.76727027751295,134.29923260982906,149.66378812562292,142.40471573928025,3.773222206815592,0.0389204545090283,143.18630117162652,146.5923969366403,142.37735566197324,146.9442119166084,140.8614173411029,147.63637604917918,0.0,100.0,100.0,100.0,100.0,135708863055915.47,19.2210649682922,1.3817513060037807e-165,,,
vi,all(development),p2l,ls,real,501,159.94612027069869,151.5115787905571,168.21118552882,159.54538569503737,4.036453871716452,0.0645838125645621,157.53334496139175,162.63799552842983,156.46259682143628,163.43699448101412,155.4368345105238,164.2991884503098,0.5988023952095809,100.0,100.0,100.0,100.0,159946120270698.7,16.611945468014117,6.648276858957877e-189,,,
vi,all(development),p2l,huber,real,501,149.71909240791803,141.74885976554134,155.85788585080675,148.10820387515463,3.886588956764709,0.0277068054654953,147.94892471041572,151.66845248356066,147.01402331903586,152.22581139688114,145.91692395721654,152.82700994655997,0.0,100.0,100.0,100.0,100.0,149719092407918.03,19.557592356093615,6.648276858957877e-189,,,
vi,all(development),p2l,trim,real,501,144.84504315259858,134.46539732528686,150.1461747738094,142.38827705368297,3.716028701223717,0.0328227303988705,142.80210765909618,146.97964929839188,142.08386475529562,147.31712928451472,140.6993316460456,147.94746734368238,0.0,100.0,100.0,100.0,100.0,144845043152598.6,18.664128263276332,6.648276858957877e-189,,,
vi,all(development),p2p,ls_minus_huber,paired,501,14.423872613903598,,,13.572789149908917,,,,,,,,,,,,,,,,,1.0,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
vi,all(development),p2p,ls_minus_trim,paired,501,20.08973004376557,,,18.44307988702128,,,,,,,,,,,,,,,,,0.9940119760479041,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
vi,all(development),p2l,ls_minus_huber,paired,501,12.911149567086142,,,11.437181819882793,,,,,,,,,,,,,,,,,0.9700598802395209,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
vi,all(development),p2l,ls_minus_trim,paired,501,19.639089905024534,,,17.157108641354416,,,,,,,,,,,,,,,,,0.9301397205588823,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
iv,in_support(primary),p2p,ls,real,156,160.423862077838,155.9652361070568,164.9181833365643,161.145195960551,4.006055547406119,0.06756442497576176,158.1190019822152,162.28808111507652,157.90846775476572,162.46205310029328,156.6141189840787,163.1144637713951,0.0,100.0,100.0,100.0,100.0,147385780596990.47,27.463797149858834,5.877877789305173e-53,,,
iv,in_support(primary),p2p,huber,real,156,132.56240261356217,129.78010435501523,137.74681418304988,133.06485496241854,3.401346458758705,0.027790421871809752,131.01949145665657,135.3776754107741,130.93135553969057,136.70721687466605,130.63115387671016,137.24791288578012,0.0,100.0,100.0,100.0,100.0,121788697354341.22,30.768309193936116,5.877877789305173e-53,,,
iv,in_support(primary),p2p,trim,real,156,125.20455103544867,120.37774483658254,131.2629376222437,124.9965742238584,3.2216573377504494,0.034555321860075,122.9212718056205,128.57575638264493,121.68981767764743,129.72297868514664,120.57865962781528,130.48760515412198,0.0,100.0,100.0,100.0,100.0,117285176506748.9,24.983345749272406,5.877877789305173e-53,,,
iv,in_support(primary),p2l,ls,real,156,156.59336312684826,151.55415287325852,161.6747206481616,159.1485925389566,3.3350022546957176,0.0644256928198047,154.31054563321223,159.12185980378615,153.9350439948847,159.17326284406616,153.74916002797727,159.12185980378615,3.205128205128205,100.0,100.0,100.0,100.0,156593363126848.25,14.076550574565147,3.2031155288273287e-60,,,
iv,in_support(primary),p2l,huber,real,156,134.86722865754192,131.8292262368223,138.80015683210257,135.1186954182046,2.8282547400690317,0.025420802147702398,132.8983009423237,137.04596492823077,132.70857184379787,138.05120847257194,132.50751176731046,138.37884245269905,0.0,100.0,100.0,100.0,100.0,134867228657541.92,33.207058768384094,3.2031155288273287e-60,,,
iv,in_support(primary),p2l,trim,real,156,127.00348684256863,123.90532989969213,131.412915423718,127.29535286488597,2.6883288167688635,0.029083123255234898,125.36885004116031,128.81024560856312,125.00912966349404,130.39396187169257,124.68632430222674,130.85584816780244,0.0,100.0,100.0,100.0,100.0,127003486842568.64,35.74683432633569,3.2031155288273287e-60,,,
iv,in_support(primary),p2p,ls_minus_huber,paired,156,24.58977859305496,,,28.08034099813246,,,,,,,,,,,,,,,,,1.0,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
iv,in_support(primary),p2p,ls_minus_trim,paired,156,32.55726294819437,,,36.14862173669257,,,,,,,,,,,,,,,,,1.0,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
iv,in_support(primary),p2l,ls_minus_huber,paired,156,20.985778684504425,,,24.029897120751983,,,,,,,,,,,,,,,,,0.9935897435897436,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
iv,in_support(primary),p2l,ls_minus_trim,paired,156,28.208788030631645,,,31.853239674070608,,,,,,,,,,,,,,,,,1.0,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
ii,in_support(primary),p2p,ls,real,428,66.14920168537466,56.05622781927296,93.7099404086743,88.53862958869547,1.7742670258913975,0.05213281540360315,63.39557653513643,83.11164388873752,62.040230537795715,86.75134763226589,60.98041217740541,88.77047412849015,7.009345794392523,100.0,100.0,100.0,100.0,61018219624472.336,1.9959995309691638,8.94840072500342e-142,,,
ii,in_support(primary),p2p,huber,real,428,50.896762880148486,37.2035207627341,64.42596751337776,50.91371794435538,1.048944368693606,0.0228372968489573,46.817764355771004,53.35886566777078,45.190529545748156,55.61066493986869,43.52395124805832,56.76860605666386,0.0,100.0,100.0,100.0,95.32710280373831,46948863727288.71,3.957234925039975,8.9615772508707e-142,,,
ii,in_support(primary),p2p,trim,real,428,47.31514450153497,35.92466672172632,56.757844814787816,46.97889807762587,1.0510585845729663,0.021924559124455997,44.76155613398464,49.412539975679366,42.61499655761307,50.08507196110014,39.797271450425995,50.50454502004948,0.23364485981308408,100.0,100.0,100.0,95.32710280373831,44122732741659.836,3.424330118049234,8.961467137456974e-142,,,
ii,in_support(primary),p2l,ls,real,428,70.52602286552613,60.21169868701712,97.11277521229167,87.35897641226103,1.873365534147026,0.0513676931906387,66.96607116108798,87.37264910010961,66.1523327145981,89.01676269094544,63.82456717821041,91.03014898937242,17.75700934579439,100.0,100.0,100.0,100.0,70526022865526.12,2.2373619551771684,1.0746392082170346e-161,,,
ii,in_support(primary),p2l,huber,real,428,52.52628800811347,38.56976608499834,65.73884977010903,53.20089002712587,1.120168625539964,0.02078263737077955,48.41124308917565,55.348466188722156,46.706857197937154,57.81220159818731,45.158106091418084,59.04943976409518,4.906542056074766,100.0,100.0,100.0,95.7943925233645,52526288008113.47,3.537239279744182,1.0752730874714378e-161,,,
ii,in_support(primary),p2l,trim,real,428,48.00419788687391,36.230551931856226,56.35225344894597,46.77208115041687,1.132098753915212,0.0198244304452211,44.69659684099984,50.21220139509404,43.59962235484288,50.7169669051283,40.63131871223306,51.08329197692141,1.1682242990654206,100.0,100.0,100.0,95.09345794392523,48004197886873.914,4.194833935366498,1.0752730874714378e-161,,,
ii,in_support(primary),p2p,ls_minus_huber,paired,428,20.083720612890968,,,37.62491164434008,,,,,,,,,,,,,,,,,0.9719626168224299,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
ii,in_support(primary),p2p,ls_minus_trim,paired,428,23.42352376452289,,,41.5597315110696,,,,,,,,,,,,,,,,,0.9626168224299065,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
ii,in_support(primary),p2l,ls_minus_huber,paired,428,21.19690654329227,,,34.15808638513516,,,,,,,,,,,,,,,,,0.9649532710280374,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
ii,in_support(primary),p2l,ls_minus_trim,paired,428,26.957803270582133,,,40.586895261844155,,,,,,,,,,,,,,,,,0.9579439252336449,0.0004997501249375312,median paired mm by which robust reduces e_t vs ls
v,all(out-of-support extrapolation),p2p,ls,real,1868,173.7605206910253,166.92239848120045,179.09948915500843,172.73155646229958,3.026001479697481,0.0710411476322266,172.84859584356565,174.6125468830575,172.69197016226138,174.76394103334167,172.35155245082154,175.12722912398797,0.0,100.0,100.0,100.0,100.0,160015649734304.8,24.050073922079328,0.0,,,
