traj,subset,kind,form,source,n,et_med,et_q25,et_q75,et_mean,eR_med,g_gt_med,L5_lo,L5_hi,L10_lo,L10_hi,L20_lo,L20_hi,on_bound_pct,leave_gt_1mm_pct,leave_gt_5mm_pct,leave_gt_10mm_pct,leave_gt_25mm_pct
vi,all(development),p2p,ls,self,501,7.793234355696313e-14,5.397192826725477e-14,1.2031342217171717e-13,9.774219747559846e-14,7.730684328350341e-15,1.3327381361458856e-05,6.99996546463191e-14,8.565971294567349e-14,7.000588697634823e-14,8.542522420166517e-14,7.144028522217822e-14,8.466556909902854e-14,0.0,0.0,0.0,0.0,0.0
vi,all(development),p2p,huber,self,501,7.793234355696313e-14,5.397192826725477e-14,1.2031342217171717e-13,9.774219747559846e-14,7.730684328350341e-15,6.663690680729338e-06,6.99996546463191e-14,8.565971294567349e-14,7.000588697634823e-14,8.542522420166517e-14,7.144028522217822e-14,8.466556909902854e-14,0.0,0.0,0.0,0.0,0.0
vi,all(development),p2p,trim,self,501,6.674882551970984e-14,4.8425377544655205e-14,9.651129030750587e-14,9.048884325112197e-14,7.973775678035918e-15,1.5846897423539866e-05,6.286580140066993e-14,7.135751144281586e-14,6.272051000022106e-14,7.135673118189575e-14,6.272051000022106e-14,7.138794161870021e-14,0.0,0.0,0.0,0.0,0.0
vi,all(development),p2l,ls,self,501,0.0,0.0,0.0,0.0,0.0,6.554813261515078e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vi,all(development),p2l,huber,self,501,0.0,0.0,0.0,0.0,0.0,3.2774066307576988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vi,all(development),p2l,trim,self,501,0.0,0.0,0.0,0.0,0.0,6.488882939356204e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv,in_support(primary),p2p,ls,self,156,8.846227518038983e-14,5.593810727955709e-14,1.2652728939558718e-13,1.035779155876087e-13,7.894203779151833e-15,1.4074408541647528e-05,7.372636461365455e-14,9.501867674673069e-14,7.364905633021653e-14,9.601468127380391e-14,7.378184978998595e-14,9.572322501496842e-14,0.0,0.0,0.0,0.0,0.0
iv,in_support(primary),p2p,huber,self,156,8.846227518038983e-14,5.593810727955709e-14,1.2652728939558718e-13,1.035779155876087e-13,7.894203779151833e-15,7.03720427082371e-06,7.372636461365455e-14,9.501867674673069e-14,7.364905633021653e-14,9.601468127380391e-14,7.378184978998595e-14,9.572322501496842e-14,0.0,0.0,0.0,0.0,0.0
iv,in_support(primary),p2p,trim,self,156,6.752238232121413e-14,4.4299160283605723e-14,9.364293768372566e-14,7.796701611608097e-14,6.66672979008031e-15,1.7015319254775623e-05,6.157428198695975e-14,7.665761767422573e-14,6.116130429414266e-14,7.719276028441157e-14,6.108683385836547e-14,7.580153370485945e-14,0.0,0.0,0.0,0.0,0.0
iv,in_support(primary),p2l,ls,self,156,0.0,0.0,0.0,0.0,0.0,6.5558954114390635e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv,in_support(primary),p2l,huber,self,156,0.0,0.0,0.0,0.0,0.0,3.2779477057195135e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv,in_support(primary),p2l,trim,self,156,0.0,0.0,0.0,0.0,0.0,6.686005700532738e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ii,in_support(primary),p2p,ls,self,428,8.408934401036615e-14,5.5890383161188084e-14,1.2388094375885734e-13,9.691201022772577e-14,8.163463369269287e-15,1.3919722249683495e-05,7.594227440705139e-14,8.818959956348862e-14,7.616442587603474e-14,8.817657029775188e-14,7.531547953966617e-14,8.84879027333644e-14,0.0,0.0,0.0,0.0,0.0
ii,in_support(primary),p2p,huber,self,428,8.408934401036615e-14,5.5890383161188084e-14,1.2388094375885734e-13,9.691201022772577e-14,8.163463369269287e-15,6.959861124841858e-06,7.594227440705139e-14,8.818959956348862e-14,7.616442587603474e-14,8.817657029775188e-14,7.531547953966617e-14,8.84879027333644e-14,0.0,0.0,0.0,0.0,0.0
ii,in_support(primary),p2p,trim,self,428,7.235299269804575e-14,4.836233518473922e-14,1.1095491279440811e-13,9.748010799175682e-14,7.767368251153072e-15,1.7017920944271892e-05,6.874081183117826e-14,8.047789606088499e-14,6.86501037517144e-14,8.01885856566565e-14,6.918399321701679e-14,8.018469938875602e-14,0.0,0.0,0.0,0.0,0.0
ii,in_support(primary),p2l,ls,self,428,0.0,0.0,0.0,0.0,0.0,6.59507110530112e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ii,in_support(primary),p2l,huber,self,428,0.0,0.0,0.0,0.0,0.0,3.297535552650554e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ii,in_support(primary),p2l,trim,self,428,0.0,0.0,0.0,0.0,0.0,6.4032831640185175e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2p,ls,self,1868,8.589704181774049e-14,5.840981439651331e-14,1.2676556040041937e-13,1.0805088214797964e-13,8.449274538473785e-15,1.2824911920309933e-05,8.426071749755353e-14,8.835267133724988e-14,8.428150035860173e-14,8.83517674177745e-14,8.428124057283863e-14,8.833478734743948e-14,0.0,0.0,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2p,huber,self,1868,8.589704181774049e-14,5.840981439651331e-14,1.2676556040041937e-13,1.0805088214797964e-13,8.449274538473785e-15,6.412455960154906e-06,8.426071749755353e-14,8.835267133724988e-14,8.428150035860173e-14,8.83517674177745e-14,8.428124057283863e-14,8.833478734743948e-14,0.0,0.0,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2p,trim,self,1868,7.28332083113685e-14,4.734918272007129e-14,1.1043920581393117e-13,9.870917887512919e-14,7.68950799573792e-15,1.551300577349091e-05,7.083949942308366e-14,7.563259026651426e-14,7.078407975829775e-14,7.562528543037214e-14,7.059346636463016e-14,7.567724429982001e-14,0.0,0.0,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,ls,self,1868,0.0,0.0,0.0,0.0,0.0,5.726042742851175e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,huber,self,1868,0.0,0.0,0.0,0.0,0.0,2.8630213714256883e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v,all(out-of-support extrapolation),p2l,trim,self,1868,0.0,0.0,0.0,0.0,0.0,5.639011021171509e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
