traj,subset,method,block_L,stat,point,lo,hi
vi,all(development),M0_raw_p2p,5,et,161.4078916359028,158.77849638482044,163.79764854702017
vi,all(development),M0_raw_p2p,10,et,161.4078916359028,157.97110075949666,164.58773094175802
vi,all(development),M0_raw_p2p,20,et,161.4078916359028,156.29876363566726,165.22863611562423
vi,all(development),M1_raw_p2l,5,et,159.94612027069869,157.53334496139175,162.63799552842983
vi,all(development),M1_raw_p2l,10,et,159.94612027069869,156.46259682143628,163.43699448101412
vi,all(development),M1_raw_p2l,20,et,159.94612027069869,155.4368345105238,164.2991884503098
vi,all(development),M2_raw_huber,5,et,148.89218795717866,147.2571455803161,150.8369295113812
vi,all(development),M2_raw_huber,10,et,148.89218795717866,146.4388913000184,151.51405060400026
vi,all(development),M2_raw_huber,20,et,148.89218795717866,145.20766998989603,152.13036770142676
vi,all(development),M3_global_corr,5,et,156.99964357260168,154.6890534645355,158.9858561262264
vi,all(development),M3_global_corr,10,et,156.99964357260168,153.57673834559958,159.56060938462932
vi,all(development),M3_global_corr,20,et,156.99964357260168,152.47473602186903,160.180074706777
vi,all(development),M4_patch_corr,5,et,116.81527871617058,114.42643516519604,119.52725962221176
vi,all(development),M4_patch_corr,10,et,116.81527871617058,113.63471223091013,120.60574192977917
vi,all(development),M4_patch_corr,20,et,116.81527871617058,112.88951672428485,121.06176311595236
vi,all(development),M5_full_corr,5,et,76.85698936670394,73.81229766191727,79.84640443466726
vi,all(development),M5_full_corr,10,et,76.85698936670394,73.5567602698329,80.84614034369054
vi,all(development),M5_full_corr,20,et,76.85698936670394,73.2914736817411,81.86782768715149
iv,in_support(primary),M0_raw_p2p,5,et,160.423862077838,158.1190019822152,162.28808111507652
iv,in_support(primary),M0_raw_p2p,10,et,160.423862077838,157.90846775476572,162.46205310029328
iv,in_support(primary),M0_raw_p2p,20,et,160.423862077838,156.6141189840787,163.1144637713951
iv,in_support(primary),M1_raw_p2l,5,et,156.59336312684826,154.31054563321223,159.12185980378615
iv,in_support(primary),M1_raw_p2l,10,et,156.59336312684826,153.9350439948847,159.17326284406616
iv,in_support(primary),M1_raw_p2l,20,et,156.59336312684826,153.74916002797727,159.12185980378615
iv,in_support(primary),M2_raw_huber,5,et,132.56240261356217,131.01949145665657,135.3776754107741
iv,in_support(primary),M2_raw_huber,10,et,132.56240261356217,130.93135553969057,136.70721687466605
iv,in_support(primary),M2_raw_huber,20,et,132.56240261356217,130.63115387671016,137.24791288578012
iv,in_support(primary),M3_global_corr,5,et,153.3834102744502,150.87836634605168,155.02051539570508
iv,in_support(primary),M3_global_corr,10,et,153.3834102744502,150.3948902372575,155.4694432152837
iv,in_support(primary),M3_global_corr,20,et,153.3834102744502,150.00324726129026,156.47647391776755
iv,in_support(primary),M4_patch_corr,5,et,126.26002467918383,120.89267521140724,132.1277586364741
iv,in_support(primary),M4_patch_corr,10,et,126.26002467918383,120.53975154630092,133.64415484737998
iv,in_support(primary),M4_patch_corr,20,et,126.26002467918383,119.85364639805024,136.16899710948027
iv,in_support(primary),M5_full_corr,5,et,82.89797130448864,78.5913922442059,96.81397264643661
iv,in_support(primary),M5_full_corr,10,et,82.89797130448864,78.38737106427304,99.50797420935393
iv,in_support(primary),M5_full_corr,20,et,82.89797130448864,77.61827990874887,99.9859834235574
ii,in_support(primary),M0_raw_p2p,5,et,66.14920168537466,63.39557653513643,83.11164388873752
ii,in_support(primary),M0_raw_p2p,10,et,66.14920168537466,62.040230537795715,86.75134763226589
ii,in_support(primary),M0_raw_p2p,20,et,66.14920168537466,60.98041217740541,88.77047412849015
ii,in_support(primary),M1_raw_p2l,5,et,70.52602286552613,66.96607116108798,87.37264910010961
ii,in_support(primary),M1_raw_p2l,10,et,70.52602286552613,66.1523327145981,89.01676269094544
ii,in_support(primary),M1_raw_p2l,20,et,70.52602286552613,63.82456717821041,91.03014898937242
ii,in_support(primary),M2_raw_huber,5,et,50.896762880148486,46.817764355771004,53.35886566777078
ii,in_support(primary),M2_raw_huber,10,et,50.896762880148486,45.190529545748156,55.61066493986869
ii,in_support(primary),M2_raw_huber,20,et,50.896762880148486,43.52395124805832,56.76860605666386
ii,in_support(primary),M3_global_corr,5,et,55.15435398889599,52.19962242096889,72.9191243270471
ii,in_support(primary),M3_global_corr,10,et,55.15435398889599,50.52734462535332,75.82304045050685
ii,in_support(primary),M3_global_corr,20,et,55.15435398889599,49.444696961822274,77.27379075080188
ii,in_support(primary),M4_patch_corr,5,et,41.77723740078632,38.91791894392504,48.0014259938093
ii,in_support(primary),M4_patch_corr,10,et,41.77723740078632,37.80913267338424,50.5559623055149
ii,in_support(primary),M4_patch_corr,20,et,41.77723740078632,36.52186278874279,63.59774296591074
ii,in_support(primary),M5_full_corr,5,et,68.8585295049208,64.66456832461296,73.25993802284681
ii,in_support(primary),M5_full_corr,10,et,68.8585295049208,63.320848662117825,73.69504257503772
ii,in_support(primary),M5_full_corr,20,et,68.8585295049208,62.08645662695733,74.2923348097196
v,all(out-of-support extrapolation),M0_raw_p2p,5,et,173.7605206910253,172.84859584356565,174.6125468830575
v,all(out-of-support extrapolation),M0_raw_p2p,10,et,173.7605206910253,172.69197016226138,174.76394103334167
v,all(out-of-support extrapolation),M0_raw_p2p,20,et,173.7605206910253,172.35155245082154,175.12722912398797
v,all(out-of-support extrapolation),M1_raw_p2l,5,et,169.21063758422395,167.98253761171742,170.2260966179912
v,all(out-of-support extrapolation),M1_raw_p2l,10,et,169.21063758422395,167.77280252357113,170.60968686960905
v,all(out-of-support extrapolation),M1_raw_p2l,20,et,169.21063758422395,167.32321716780862,170.84589850309078
v,all(out-of-support extrapolation),M2_raw_huber,5,et,169.46429942246235,168.45213831363623,170.45839243236392
v,all(out-of-support extrapolation),M2_raw_huber,10,et,169.46429942246235,168.05595111151246,170.9232027023744
v,all(out-of-support extrapolation),M2_raw_huber,20,et,169.46429942246235,167.64155061887445,171.36514972062912
v,all(out-of-support extrapolation),M3_global_corr,5,et,176.0012933102202,175.02135869370574,177.3844465844012
v,all(out-of-support extrapolation),M3_global_corr,10,et,176.0012933102202,174.71499655010572,177.68295097393607
v,all(out-of-support extrapolation),M3_global_corr,20,et,176.0012933102202,174.1571236046172,178.14611982597498
v,all(out-of-support extrapolation),M4_patch_corr,5,et,134.5754189314069,132.34328823435487,136.60138731540277
v,all(out-of-support extrapolation),M4_patch_corr,10,et,134.5754189314069,131.48558629980988,137.43816711219577
v,all(out-of-support extrapolation),M4_patch_corr,20,et,134.5754189314069,130.06612613571127,138.66651161422308
v,all(out-of-support extrapolation),M5_full_corr,5,et,118.45232561236567,114.16939636986945,122.6800505407654
v,all(out-of-support extrapolation),M5_full_corr,10,et,118.45232561236567,112.81493937488568,124.32544510945833
v,all(out-of-support extrapolation),M5_full_corr,20,et,118.45232561236567,111.05610391586053,125.86612574141883
