et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,dJ_raw,iters,on_bound,wmean,method,traj,order,scan,view,ndist,in_support,nearest_d
145.58936221877678,3.6881655013825503,0.11347364039545096,0.010930822319118794,0.002387726770923988,0.008543095548194806,40,0,1.0,M0_raw_p2p,v,0,0,oracle,0.8282414300595352,False,0.8282414300595352
141.23791603662642,2.178762946595881,0.09682983916022858,0.010930822319118794,0.0024222236408118197,0.008508598678306974,40,0,1.0,M1_raw_p2l,v,0,0,oracle,0.8282414300595352,False,0.8282414300595352
144.33224800524025,2.3669629622193735,0.05938911490138159,0.010930822319118794,0.002603822229726735,0.008327000089392059,40,0,0.7548145055511701,M2_raw_huber,v,0,0,oracle,0.8282414300595352,False,0.8282414300595352
145.70166383383665,3.6674572601919264,0.11474913584572476,0.010930822319118794,0.002442693280852234,0.00848812903826656,40,0,1.0,M3_global_corr,v,0,0,oracle,0.8282414300595352,False,0.8282414300595352
103.33864065134956,5.097710825669629,0.06770209380883303,0.010930822319118794,0.004299327886231228,0.006631494432887566,40,0,1.0,M4_patch_corr,v,0,0,oracle,0.8282414300595352,False,0.8282414300595352
61.55548714104439,2.5760842705974802,0.05539053710732729,0.010930822319118794,0.005441069218260442,0.005489753100858352,40,0,1.0,M5_full_corr,v,0,0,oracle,0.8282414300595352,False,0.8282414300595352
149.99617733804777,4.739721570843522,0.12051635063412353,0.011189454876890452,0.0022143387306237583,0.008975116146266695,40,0,1.0,M0_raw_p2p,v,1,1,oracle,0.8178850758526178,False,0.8178850758526178
145.26726531847913,3.432868438367005,0.11919359687115652,0.011189454876890452,0.0022490684197113264,0.008940386457179126,40,0,1.0,M1_raw_p2l,v,1,1,oracle,0.8178850758526178,False,0.8178850758526178
149.09921697400276,3.653853474477514,0.051233793116173015,0.011189454876890452,0.002422889230670459,0.008766565646219993,40,0,0.7984076000312216,M2_raw_huber,v,1,1,oracle,0.8178850758526178,False,0.8178850758526178
150.28882381016123,4.743432208989665,0.12125867031832377,0.011189454876890452,0.0022696566886185638,0.008919798188271889,40,0,1.0,M3_global_corr,v,1,1,oracle,0.8178850758526178,False,0.8178850758526178
105.52084824667256,6.181041955233646,0.069805864477326,0.011189454876890452,0.004150278508423927,0.007039176368466525,40,0,1.0,M4_patch_corr,v,1,1,oracle,0.8178850758526178,False,0.8178850758526178
66.71432790959126,3.0956159590561168,0.06103150218606804,0.011189454876890452,0.005071851665508596,0.006117603211381857,40,0,1.0,M5_full_corr,v,1,1,oracle,0.8178850758526178,False,0.8178850758526178
153.70970040438462,4.5849108411027135,0.1230775022514507,0.011450773597276025,0.0021538913759219683,0.009296882221354056,40,0,1.0,M0_raw_p2p,v,2,2,oracle,0.8108385469442921,False,0.8108385469442921
