traj,subset,method,n,et_med,et_q25,et_q75,eR_med,g_corr_gt_med,et_L5lo,et_L5hi,eR_L5lo,eR_L5hi,on_bound_pct,det_med,frac_t_improved,deR_med,frac_R_improved,signflip_p
vi,all(development),M0_raw_p2p,501,161.4078916359028,152.70978278288007,168.44528313870774,4.509032326167583,0.0692590395629657,158.77849638482044,163.79764854702017,4.306370352916023,4.595909456617899,0.0,,,,,
vi,all(development),M1_raw_p2l,501,159.94612027069869,151.5115787905571,168.21118552882,4.036453871716452,0.0645838125645621,157.53334496139175,162.63799552842983,3.8983847051718943,4.159177971744501,0.5988023952095809,0.9141341280578956,0.6027944111776448,0.37160500765309035,0.7624750499001997,0.0009995002498750624
vi,all(development),M2_raw_huber,501,148.89218795717866,141.1590681495923,155.27008807498268,3.946522813593576,0.0317016352781791,147.2571455803161,150.8369295113812,3.802987296865896,4.077629737173798,0.0,14.423872613903598,1.0,0.49398702093879,0.9640718562874252,0.0004997501249375312
vi,all(development),M3_global_corr,501,156.99964357260168,148.70244625932486,162.91850737144415,4.505814801288013,0.0610689137535828,154.6890534645355,158.9858561262264,4.3081757342868885,4.596235213289831,0.0,6.332418384235439,0.8962075848303394,3.552713678800501e-15,0.5089820359281437,0.0004997501249375312
vi,all(development),M4_patch_corr,501,116.81527871617058,109.77223450483656,124.6922904641099,4.66731556808484,0.0446092085730679,114.42643516519604,119.52725962221176,4.462353510361972,4.913463986503826,0.0,43.5102795086748,1.0,-0.28057350638390943,0.36327345309381237,0.0004997501249375312
vi,all(development),M5_full_corr,501,76.85698936670394,67.53246487238185,85.44029651943671,2.880859773738778,0.0320390034004826,73.81229766191727,79.84640443466726,2.611499820426959,3.038202330946388,0.0,83.05314334223371,1.0,1.5180855903514914,0.9600798403193613,0.0004997501249375312
iv,in_support(primary),M0_raw_p2p,156,160.423862077838,155.9652361070568,164.9181833365643,4.006055547406119,0.06756442497576176,158.1190019822152,162.28808111507652,3.836924273720409,4.186158554247812,0.0,,,,,
iv,in_support(primary),M1_raw_p2l,156,156.59336312684826,151.55415287325852,161.6747206481616,3.3350022546957176,0.0644256928198047,154.31054563321223,159.12185980378615,3.104479546001756,3.692886278294837,3.205128205128205,2.042739572595707,0.782051282051282,0.6732189882575599,0.8333333333333334,0.0004997501249375312
iv,in_support(primary),M2_raw_huber,156,132.56240261356217,129.78010435501523,137.74681418304988,3.401346458758705,0.027790421871809752,131.01949145665657,135.3776754107741,3.3043586736383017,3.543802319415478,0.0,24.58977859305496,1.0,0.569703323470556,0.9102564102564102,0.0004997501249375312
iv,in_support(primary),M3_global_corr,156,153.3834102744502,148.89397075712407,158.13340225939098,4.007969827955609,0.05292300307876345,150.87836634605168,155.02051539570508,3.83546078581383,4.179480673446399,0.0,7.098793264455836,1.0,-2.220446049250313e-16,0.5,0.0004997501249375312
iv,in_support(primary),M4_patch_corr,156,126.26002467918383,118.76083474606382,139.28082107730205,4.0003627437297276,0.04130984335513345,120.89267521140724,132.1277586364741,3.8256514488758437,4.230405195778786,0.0,33.630700956669884,0.9935897435897436,0.005688574583138761,0.5064102564102564,0.0004997501249375312
iv,in_support(primary),M5_full_corr,156,82.89797130448864,76.71861656367321,107.23724859911253,2.4644492346945155,0.034882488251347155,78.5913922442059,96.81397264643661,2.1074763674026853,2.7581640667409757,0.0,74.44839356625735,1.0,1.5645423374009777,0.9487179487179487,0.0004997501249375312
ii,in_support(primary),M0_raw_p2p,428,66.14920168537466,56.05622781927296,93.7099404086743,1.7742670258913975,0.05213281540360315,63.39557653513643,83.11164388873752,1.6146656822110457,1.9574897829260265,7.009345794392523,,,,,
ii,in_support(primary),M1_raw_p2l,428,70.52602286552613,60.21169868701712,97.11277521229167,1.873365534147026,0.0513676931906387,66.96607116108798,87.37264910010961,1.693977356455246,2.1015828868318263,17.75700934579439,-2.2259219645539616,0.25934579439252337,-0.24788824786563546,0.20794392523364486,1.0
ii,in_support(primary),M2_raw_huber,428,50.896762880148486,37.2035207627341,64.42596751337776,1.048944368693606,0.0228372968489573,46.817764355771004,53.35886566777078,1.0112288129337197,1.0837813443729902,0.0,20.083720612890968,0.9719626168224299,0.7681647493155127,0.9158878504672897,0.0004997501249375312
ii,in_support(primary),M3_global_corr,428,55.15435398889599,44.84365644214718,82.4537987234295,1.7746784769144575,0.034106251590335854,52.19962242096889,72.9191243270471,1.6124680966692078,1.9625664375589602,7.009345794392523,11.629485807526642,0.9602803738317757,-1.8096635301390052e-14,0.4205607476635514,0.0004997501249375312
ii,in_support(primary),M4_patch_corr,428,41.77723740078632,33.94298068132507,73.3932571360748,1.2694027224561912,0.023704984468530803,38.91791894392504,48.0014259938093,1.0484197371250157,1.4734785865021678,7.009345794392523,19.1030687120173,0.927570093457944,0.38938717153810126,0.7102803738317757,0.0004997501249375312
ii,in_support(primary),M5_full_corr,428,68.8585295049208,57.81129500579188,78.18076948067001,2.2479043673156216,0.03126367064420785,64.66456832461296,73.25993802284681,2.0909854270062445,2.4262285192582005,8.878504672897195,0.7890331893236393,0.5420560747663551,-0.35769605438556173,0.2780373831775701,0.12893553223388307
v,all(out-of-support extrapolation),M0_raw_p2p,1868,173.7605206910253,166.92239848120045,179.09948915500843,3.026001479697481,0.0710411476322266,172.84859584356565,174.6125468830575,2.912887711331338,3.114194764771575,0.0,,,,,
