traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
ii,143,oracle,0.0,all,65.55536122928584,2.7502797184171524,1.0
ii,143,translation,10.0,"[1.0, 0.0, 0.0]",65.56596054468125,2.7543214730849517,0.9999999983989517
ii,143,translation,25.0,"[1.0, 0.0, 0.0]",65.56214291604317,2.7544856010320706,0.9999999922886502
ii,143,translation,50.0,"[1.0, 0.0, 0.0]",65.55013765172257,2.7502967974536006,0.9999999995718084
ii,143,translation,100.0,"[1.0, 0.0, 0.0]",65.54068708859461,2.7530767261438562,0.9999999447294983
ii,143,rotation,0.25,"[1.0, 0.0, 0.0]",65.55536122928584,2.7502797184171524,0.9999999999997673
ii,143,rotation,0.5,"[1.0, 0.0, 0.0]",65.55536122928584,2.7502797184171524,0.9999999999997673
ii,143,rotation,1.0,"[1.0, 0.0, 0.0]",65.55536122928584,2.7502797184171524,0.9999999999997673
ii,143,rotation,2.0,"[1.0, 0.0, 0.0]",65.55536122928584,2.7502797184171524,0.9999999999997673
ii,143,combined,25.0,"[1.0, 0.0, 0.0]",65.56214291604317,2.7544856010320706,0.9999999922886502
ii,143,combined,50.0,"[1.0, 0.0, 0.0]",65.55013765172257,2.7502967974536006,0.9999999995718084
ii,143,combined,100.0,"[1.0, 0.0, 0.0]",65.54068708859461,2.7530767261438562,0.9999999447294983
ii,143,translation,10.0,"[0.0, 1.0, 0.0]",65.55812797945421,2.753074546045208,0.9999999967405908
ii,143,translation,25.0,"[0.0, 1.0, 0.0]",65.5527671760465,2.752290021125378,0.9999999953263389
ii,143,translation,50.0,"[0.0, 1.0, 0.0]",65.52345829908593,2.748733381995106,0.9999998525903205
ii,143,translation,100.0,"[0.0, 1.0, 0.0]",65.49296800486796,2.7479518599068604,0.9999994763385318
ii,143,rotation,0.25,"[0.0, 1.0, 0.0]",65.55536122928584,2.7502797184171524,0.9999999999997673
ii,143,rotation,0.5,"[0.0, 1.0, 0.0]",65.55536122928504,2.750279718417136,0.9999999999997673
ii,143,rotation,1.0,"[0.0, 1.0, 0.0]",65.55536122928504,2.750279718417136,0.9999999999997673
ii,143,rotation,2.0,"[0.0, 1.0, 0.0]",65.55536122928504,2.750279718417136,0.9999999999997673
ii,143,combined,25.0,"[0.0, 1.0, 0.0]",65.5527671760462,2.752290021125371,0.9999999953263389
ii,143,combined,50.0,"[0.0, 1.0, 0.0]",65.52345829908664,2.7487333819951103,0.9999998525903208
ii,143,combined,100.0,"[0.0, 1.0, 0.0]",65.4929680048681,2.747951859906854,0.9999994763385318
ii,143,translation,10.0,"[0.0, 0.0, 1.0]",65.5562879491405,2.751054417712082,0.9999999839785373
ii,143,translation,25.0,"[0.0, 0.0, 1.0]",65.56549565359839,2.7537083573469037,0.9999999981265036
ii,143,translation,50.0,"[0.0, 0.0, 1.0]",65.5571725229387,2.7529320453651955,0.999999997671205
ii,143,translation,100.0,"[0.0, 0.0, 1.0]",65.55266991125768,2.7522896597539113,0.9999999949863616
