traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
iv,216,oracle,0.0,all,76.77987338097367,1.0859666114763882,1.0
iv,216,translation,10.0,"[1.0, 0.0, 0.0]",76.77376229598458,1.0861820193886587,0.9999999994598984
iv,216,translation,25.0,"[1.0, 0.0, 0.0]",76.77314434232882,1.0863936867374155,0.9999999962981995
iv,216,translation,50.0,"[1.0, 0.0, 0.0]",76.76554877462087,1.0862736146030536,0.9999999867854235
iv,216,translation,100.0,"[1.0, 0.0, 0.0]",76.78325439689934,1.085065287905948,0.9999999058586115
iv,216,rotation,0.25,"[1.0, 0.0, 0.0]",76.77987338097367,1.0859666114763882,0.9999999999998302
iv,216,rotation,0.5,"[1.0, 0.0, 0.0]",76.77987338097367,1.0859666114763882,0.9999999999998302
iv,216,rotation,1.0,"[1.0, 0.0, 0.0]",76.77987338097367,1.0859666114763882,0.9999999999998302
iv,216,rotation,2.0,"[1.0, 0.0, 0.0]",76.77987338097367,1.0859666114763882,0.9999999999998302
iv,216,combined,25.0,"[1.0, 0.0, 0.0]",76.77314434232882,1.0863936867374155,0.9999999962981995
iv,216,combined,50.0,"[1.0, 0.0, 0.0]",76.76554877462081,1.0862736146030783,0.9999999867854235
iv,216,combined,100.0,"[1.0, 0.0, 0.0]",76.78325439689932,1.0850652879059444,0.9999999058586115
iv,216,translation,10.0,"[0.0, 1.0, 0.0]",76.77861025507435,1.0859268084070315,0.9999999995336282
iv,216,translation,25.0,"[0.0, 1.0, 0.0]",76.7764436360854,1.0863128568698168,0.9999999814738143
iv,216,translation,50.0,"[0.0, 1.0, 0.0]",76.78896013611177,1.0853454582788613,0.9999999657564475
iv,216,translation,100.0,"[0.0, 1.0, 0.0]",76.78478637621669,1.086614055814451,0.9999997849145832
iv,216,rotation,0.25,"[0.0, 1.0, 0.0]",76.77987338097189,1.0859666114763897,0.9999999999998302
iv,216,rotation,0.5,"[0.0, 1.0, 0.0]",76.77987338097249,1.0859666114763993,0.9999999999998304
iv,216,rotation,1.0,"[0.0, 1.0, 0.0]",76.77987338097367,1.0859666114763882,0.9999999999998302
iv,216,rotation,2.0,"[0.0, 1.0, 0.0]",76.77987338097186,1.0859666114764144,0.9999999999998304
iv,216,combined,25.0,"[0.0, 1.0, 0.0]",76.77644363608502,1.0863128568697944,0.9999999814738142
iv,216,combined,50.0,"[0.0, 1.0, 0.0]",76.78896013611151,1.0853454582788673,0.9999999657564475
iv,216,combined,100.0,"[0.0, 1.0, 0.0]",76.78478637621771,1.0866140558144064,0.9999997849145832
iv,216,translation,10.0,"[0.0, 0.0, 1.0]",76.78141238211208,1.0859330869371064,0.9999999987271306
iv,216,translation,25.0,"[0.0, 0.0, 1.0]",76.79434388390375,1.085541854974428,0.9999999897380435
iv,216,translation,50.0,"[0.0, 0.0, 1.0]",76.78075838830011,1.086132934868146,0.9999999999722846
iv,216,translation,100.0,"[0.0, 0.0, 1.0]",76.77761702322717,1.086149813392575,0.9999999994837011
iv,216,rotation,0.25,"[0.0, 0.0, 1.0]",76.77987338097199,1.0859666114763866,0.9999999999998305
iv,216,rotation,0.5,"[0.0, 0.0, 1.0]",76.77987338097249,1.0859666114763993,0.9999999999998304
iv,216,rotation,1.0,"[0.0, 0.0, 1.0]",76.77987338097206,1.085966611476392,0.9999999999998304
iv,216,rotation,2.0,"[0.0, 0.0, 1.0]",76.77987338097206,1.085966611476392,0.9999999999998304
iv,216,combined,25.0,"[0.0, 0.0, 1.0]",76.79434388390307,1.085541854974475,0.9999999897380435
iv,216,combined,50.0,"[0.0, 0.0, 1.0]",76.78075838830055,1.0861329348681403,0.9999999999722847
iv,216,combined,100.0,"[0.0, 0.0, 1.0]",76.77761702322667,1.0861498133925553,0.9999999994837009
iv,217,oracle,0.0,all,69.79308181754314,1.3510949310637919,1.0
