traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
v,0,oracle,0.0,all,61.55548714104439,2.5760842705974802,1.0
v,0,translation,10.0,"[1.0, 0.0, 0.0]",61.5530109631108,2.576081620761881,0.9999999946304226
v,0,translation,25.0,"[1.0, 0.0, 0.0]",61.536684574106765,2.575320052550836,0.9999999559333275
v,0,translation,50.0,"[1.0, 0.0, 0.0]",61.51149937245938,2.575824351270712,0.9999999059830219
v,0,translation,100.0,"[1.0, 0.0, 0.0]",61.44458572539885,2.575470982391918,0.9999990955291187
v,0,rotation,0.25,"[1.0, 0.0, 0.0]",61.555487141044026,2.5760842705974727,0.9999999999997362
v,0,rotation,0.5,"[1.0, 0.0, 0.0]",61.555487141044026,2.5760842705974727,0.9999999999997362
v,0,rotation,1.0,"[1.0, 0.0, 0.0]",61.555487141044026,2.5760842705974727,0.9999999999997362
v,0,rotation,2.0,"[1.0, 0.0, 0.0]",61.555487141044026,2.5760842705974727,0.9999999999997362
v,0,combined,25.0,"[1.0, 0.0, 0.0]",61.53668457410696,2.575320052550832,0.9999999559333274
v,0,combined,50.0,"[1.0, 0.0, 0.0]",61.511499372460115,2.5758243512707217,0.9999999059830219
v,0,combined,100.0,"[1.0, 0.0, 0.0]",61.444585725398376,2.5754709823919275,0.9999990955291187
v,0,translation,10.0,"[0.0, 1.0, 0.0]",61.56004378346858,2.576743367840701,0.9999999122813487
v,0,translation,25.0,"[0.0, 1.0, 0.0]",61.56868612187117,2.578018410523698,0.9999994745063442
v,0,translation,50.0,"[0.0, 1.0, 0.0]",61.56639783407122,2.5791716905335242,0.9999985361885726
v,0,translation,100.0,"[0.0, 1.0, 0.0]",61.55553404940721,2.582262156100424,0.9999966650429828
v,0,rotation,0.25,"[0.0, 1.0, 0.0]",61.55548714104439,2.5760842705974802,0.9999999999997361
v,0,rotation,0.5,"[0.0, 1.0, 0.0]",61.55548714104439,2.5760842705974802,0.9999999999997361
v,0,rotation,1.0,"[0.0, 1.0, 0.0]",61.55548714104439,2.5760842705974802,0.9999999999997361
v,0,rotation,2.0,"[0.0, 1.0, 0.0]",61.55548714104439,2.5760842705974802,0.9999999999997361
v,0,combined,25.0,"[0.0, 1.0, 0.0]",61.56868612187117,2.578018410523698,0.9999994745063442
v,0,combined,50.0,"[0.0, 1.0, 0.0]",61.56639783407134,2.579171690533514,0.9999985361885726
v,0,combined,100.0,"[0.0, 1.0, 0.0]",61.55553404940721,2.582262156100424,0.9999966650429828
v,0,translation,10.0,"[0.0, 0.0, 1.0]",61.560701636896034,2.5762084414454542,0.9999999939900366
v,0,translation,25.0,"[0.0, 0.0, 1.0]",61.55765476053823,2.576195445349204,0.9999999957908203
v,0,translation,50.0,"[0.0, 0.0, 1.0]",61.543602896433164,2.575207836613104,0.9999999725708135
v,0,translation,100.0,"[0.0, 0.0, 1.0]",61.527902163383324,2.5746624077476623,0.999999884947656
v,0,rotation,0.25,"[0.0, 0.0, 1.0]",61.555487141042164,2.576084270597516,0.9999999999997362
v,0,rotation,0.5,"[0.0, 0.0, 1.0]",61.555487141044026,2.5760842705974727,0.9999999999997362
v,0,rotation,1.0,"[0.0, 0.0, 1.0]",61.5554871410431,2.5760842705974936,0.9999999999997361
v,0,rotation,2.0,"[0.0, 0.0, 1.0]",61.5554871410431,2.5760842705974936,0.9999999999997361
v,0,combined,25.0,"[0.0, 0.0, 1.0]",61.557654760537304,2.5761954453492724,0.9999999957908204
v,0,combined,50.0,"[0.0, 0.0, 1.0]",61.54360289643088,2.575207836613136,0.9999999725708135
v,0,combined,100.0,"[0.0, 0.0, 1.0]",61.52790216338447,2.574662407747648,0.9999998849476561
v,13,oracle,0.0,all,69.69833734566521,4.586951201264442,1.0
v,13,translation,10.0,"[1.0, 0.0, 0.0]",69.6915172279642,4.588283633150541,0.9999999446510099
v,13,translation,25.0,"[1.0, 0.0, 0.0]",69.67108616365756,4.586849016111731,0.9999999627466428
v,13,translation,50.0,"[1.0, 0.0, 0.0]",69.64141615549654,4.589564172345679,0.9999997385931871
v,13,translation,100.0,"[1.0, 0.0, 0.0]",69.57970471607905,4.594299120029634,0.9999984415228411
v,13,rotation,0.25,"[1.0, 0.0, 0.0]",69.69833734566521,4.586951201264442,0.9999999999997942
v,13,rotation,0.5,"[1.0, 0.0, 0.0]",69.69833734566521,4.586951201264442,0.9999999999997942
v,13,rotation,1.0,"[1.0, 0.0, 0.0]",69.69833734566521,4.586951201264442,0.9999999999997942
v,13,rotation,2.0,"[1.0, 0.0, 0.0]",69.69833734566521,4.586951201264442,0.9999999999997942
v,13,combined,25.0,"[1.0, 0.0, 0.0]",69.67108616365756,4.586849016111731,0.9999999627466428
v,13,combined,50.0,"[1.0, 0.0, 0.0]",69.64141615549654,4.589564172345679,0.9999997385931871
v,13,combined,100.0,"[1.0, 0.0, 0.0]",69.57970471607905,4.594299120029634,0.9999984415228411
v,13,translation,10.0,"[0.0, 1.0, 0.0]",69.68832598563947,4.588416991941691,0.999999923500173
v,13,translation,25.0,"[0.0, 1.0, 0.0]",69.65952232900226,4.590017624968188,0.9999997139446405
v,13,translation,50.0,"[0.0, 1.0, 0.0]",69.63535793709339,4.592394942249121,0.9999988829400965
v,13,translation,100.0,"[0.0, 1.0, 0.0]",69.57994598435418,4.59954117635852,0.9999955273459817
v,13,rotation,0.25,"[0.0, 1.0, 0.0]",69.69833734566497,4.586951201264477,0.9999999999997943
