traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
vi,0,oracle,0.0,all,66.91086381228725,3.959045372299236,1.0
vi,0,translation,10.0,"[1.0, 0.0, 0.0]",66.91144004569098,3.959017636278528,0.9999999999535693
vi,0,translation,25.0,"[1.0, 0.0, 0.0]",66.92103086681473,3.9601259000921396,0.9999999537972695
vi,0,translation,50.0,"[1.0, 0.0, 0.0]",66.94010561639546,3.960340193877652,0.9999999679938849
vi,0,translation,100.0,"[1.0, 0.0, 0.0]",66.94732683731313,3.9608359858826185,0.9999999244811938
vi,0,rotation,0.25,"[1.0, 0.0, 0.0]",66.9108638122879,3.959045372299231,0.9999999999997766
vi,0,rotation,0.5,"[1.0, 0.0, 0.0]",66.9108638122879,3.959045372299231,0.9999999999997766
vi,0,rotation,1.0,"[1.0, 0.0, 0.0]",66.91086381228725,3.959045372299236,0.9999999999997766
vi,0,rotation,2.0,"[1.0, 0.0, 0.0]",66.9108638122879,3.959045372299231,0.9999999999997766
vi,0,combined,25.0,"[1.0, 0.0, 0.0]",66.9210308668152,3.960125900092148,0.9999999537972695
vi,0,combined,50.0,"[1.0, 0.0, 0.0]",66.94010561639546,3.960340193877652,0.9999999679938849
vi,0,combined,100.0,"[1.0, 0.0, 0.0]",66.9473268373124,3.9608359858826243,0.9999999244811941
vi,0,translation,10.0,"[0.0, 1.0, 0.0]",66.92364283792044,3.9592455350996856,0.9999999506700201
vi,0,translation,25.0,"[0.0, 1.0, 0.0]",66.93442061382402,3.9589882717233253,0.9999996797148243
vi,0,translation,50.0,"[0.0, 1.0, 0.0]",67.22809446361077,3.9915490983455646,0.9996608805647592
vi,0,translation,100.0,"[0.0, 1.0, 0.0]",67.29789182647818,3.9967509321947556,0.9996301866492979
vi,0,rotation,0.25,"[0.0, 1.0, 0.0]",66.91086381228764,3.959045372299238,0.9999999999997766
vi,0,rotation,0.5,"[0.0, 1.0, 0.0]",66.91086381228743,3.959045372299242,0.9999999999997766
vi,0,rotation,1.0,"[0.0, 1.0, 0.0]",66.91086381228725,3.959045372299236,0.9999999999997766
vi,0,rotation,2.0,"[0.0, 1.0, 0.0]",66.91086381228753,3.9590453722992462,0.9999999999997766
vi,0,combined,25.0,"[0.0, 1.0, 0.0]",66.93442061382507,3.9589882717233373,0.9999996797148243
vi,0,combined,50.0,"[0.0, 1.0, 0.0]",67.22809446361077,3.9915490983455646,0.9996608805647592
vi,0,combined,100.0,"[0.0, 1.0, 0.0]",67.29789182647899,3.9967509321947263,0.9996301866492983
vi,0,translation,10.0,"[0.0, 0.0, 1.0]",66.91114321896991,3.958979230433795,0.9999999999623667
vi,0,translation,25.0,"[0.0, 0.0, 1.0]",66.93671087474516,3.9594927042864208,0.999999954207407
vi,0,translation,50.0,"[0.0, 0.0, 1.0]",66.91005686974442,3.9588976556225277,0.999999994047564
vi,0,translation,100.0,"[0.0, 0.0, 1.0]",66.92856125150468,3.95926345235387,0.9999999732589312
vi,0,rotation,0.25,"[0.0, 0.0, 1.0]",66.9108638122881,3.9590453722992542,0.9999999999997766
vi,0,rotation,0.5,"[0.0, 0.0, 1.0]",66.91086381228682,3.959045372299232,0.9999999999997764
vi,0,rotation,1.0,"[0.0, 0.0, 1.0]",66.91086381228682,3.959045372299232,0.9999999999997764
vi,0,rotation,2.0,"[0.0, 0.0, 1.0]",66.9108638122879,3.959045372299231,0.9999999999997766
vi,0,combined,25.0,"[0.0, 0.0, 1.0]",66.93671087474715,3.9594927042864434,0.9999999542074068
vi,0,combined,50.0,"[0.0, 0.0, 1.0]",66.91005686974543,3.958897655622547,0.9999999940475642
vi,0,combined,100.0,"[0.0, 0.0, 1.0]",66.92856125150529,3.95926345235388,0.9999999732589312
vi,3,oracle,0.0,all,78.91559633838777,2.932166065760782,1.0
vi,3,translation,10.0,"[1.0, 0.0, 0.0]",78.91419635587178,2.9343063608174536,0.9999999844384851
vi,3,translation,25.0,"[1.0, 0.0, 0.0]",78.91109498010059,2.93082806246263,0.9999999975401322
vi,3,translation,50.0,"[1.0, 0.0, 0.0]",78.92549207663845,2.931231396483569,0.9999999807428284
vi,3,translation,100.0,"[1.0, 0.0, 0.0]",78.93392328149541,2.9350645389633248,0.9999999741387877
vi,3,rotation,0.25,"[1.0, 0.0, 0.0]",78.91559633838777,2.932166065760782,0.9999999999998395
vi,3,rotation,0.5,"[1.0, 0.0, 0.0]",78.91559633838814,2.9321660657607884,0.9999999999998392
vi,3,rotation,1.0,"[1.0, 0.0, 0.0]",78.91559633838845,2.9321660657607826,0.9999999999998395
vi,3,rotation,2.0,"[1.0, 0.0, 0.0]",78.91559633838845,2.9321660657607826,0.9999999999998395
vi,3,combined,25.0,"[1.0, 0.0, 0.0]",78.91109498010152,2.9308280624626426,0.9999999975401321
vi,3,combined,50.0,"[1.0, 0.0, 0.0]",78.92549207663882,2.9312313964835415,0.999999980742828
vi,3,combined,100.0,"[1.0, 0.0, 0.0]",78.93392328149555,2.935064538963318,0.9999999741387874
vi,3,translation,10.0,"[0.0, 1.0, 0.0]",78.92234964591181,2.9311618339174275,0.9999999088415547
vi,3,translation,25.0,"[0.0, 1.0, 0.0]",78.9240994287122,2.92986792251845,0.9999996214551723
vi,3,translation,50.0,"[0.0, 1.0, 0.0]",78.92733221925891,2.933863040982531,0.9999983978654453
vi,3,translation,100.0,"[0.0, 1.0, 0.0]",78.94162590579664,2.9392548425718283,0.9999930219141826
vi,3,rotation,0.25,"[0.0, 1.0, 0.0]",78.91559633838787,2.932166065760769,0.9999999999998395
vi,3,rotation,0.5,"[0.0, 1.0, 0.0]",78.91559633838762,2.9321660657607698,0.9999999999998396
vi,3,rotation,1.0,"[0.0, 1.0, 0.0]",78.91559633838722,2.9321660657607773,0.9999999999998395
vi,3,rotation,2.0,"[0.0, 1.0, 0.0]",78.91559633838821,2.9321660657608017,0.9999999999998395
vi,3,combined,25.0,"[0.0, 1.0, 0.0]",78.92409942871164,2.929867922518465,0.9999996214551722
vi,3,combined,50.0,"[0.0, 1.0, 0.0]",78.92733221925862,2.933863040982558,0.9999983978654451
vi,3,combined,100.0,"[0.0, 1.0, 0.0]",78.94162590579613,2.9392548425718323,0.9999930219141826
vi,3,translation,10.0,"[0.0, 0.0, 1.0]",78.9127317913818,2.9338099225006835,0.9999999877717725
