traj,ptype,magnitude,et_med,eR_med,dir_cos_med,n
ii,combined,25.0,65.55745504604468,2.2795165923336373,0.9999998285697614,150
ii,combined,50.0,65.55423775228255,2.2790633964380396,0.9999993925365251,150
ii,combined,100.0,65.55233033393972,2.277428492286786,0.9999943351252227,150
ii,oracle,0.0,65.60791440982962,2.279711536447217,1.0,150
ii,rotation,0.25,65.60791440982928,2.279711536447227,0.9999999999997677,150
ii,rotation,0.5,65.60791440982928,2.279711536447227,0.9999999999997675,150
ii,rotation,1.0,65.60791440982948,2.279711536447234,0.9999999999997675,150
ii,rotation,2.0,65.60791440982928,2.279711536447234,0.9999999999997675,150
ii,translation,10.0,65.56449560510882,2.278647245915593,0.9999999636094274,150
ii,translation,25.0,65.55745504604484,2.279516592333647,0.9999998285697613,150
ii,translation,50.0,65.55423775228219,2.279063396438037,0.999999392536525,150
ii,translation,100.0,65.55233033394018,2.277428492286788,0.9999943351252225,150
iv,combined,25.0,81.85968761028698,2.4143223445427324,0.9999999851517054,150
iv,combined,50.0,81.96780465583447,2.4159765433633487,0.999999958273305,150
iv,combined,100.0,82.23076421811199,2.4405605519368256,0.9999998294366121,150
iv,oracle,0.0,81.85714809247045,2.4154868457118877,1.0,150
iv,rotation,0.25,81.857148092471,2.415486845711885,0.9999999999998508,150
iv,rotation,0.5,81.85714809247062,2.4154868457118868,0.9999999999998507,150
iv,rotation,1.0,81.8571480924705,2.4154868457118854,0.9999999999998508,150
iv,rotation,2.0,81.85714809247109,2.415486845711895,0.9999999999998507,150
iv,translation,10.0,81.85852752277206,2.4152729269236577,0.9999999956802794,150
iv,translation,25.0,81.85968761028695,2.414322344542745,0.9999999851517056,150
iv,translation,50.0,81.96780465583447,2.4159765433633495,0.999999958273305,150
iv,translation,100.0,82.23076421811254,2.4405605519368487,0.9999998294366121,150
v,combined,25.0,116.80484824598327,3.1654892919152173,0.999999995465642,144
v,combined,50.0,117.30583671245552,3.1431436904514234,0.9999999879065387,144
v,combined,100.0,117.29058098399294,3.1070211237182037,0.9999999480834626,144
v,oracle,0.0,116.81790756608925,3.169732616709404,1.0,144
v,rotation,0.25,116.81790756608939,3.169732616709405,0.9999999999999267,144
v,rotation,0.5,116.81790756608939,3.169732616709413,0.9999999999999267,144
v,rotation,1.0,116.81790756608942,3.169732616709407,0.999999999999927,144
v,rotation,2.0,116.81790756608942,3.1697326167093895,0.9999999999999267,144
v,translation,10.0,116.80653937406002,3.1686491984364658,0.9999999973579894,144
v,translation,25.0,116.80484824598292,3.165489291915224,0.999999995465642,144
v,translation,50.0,117.30583671245495,3.143143690451431,0.9999999879065387,144
v,translation,100.0,117.2905809839931,3.1070211237182006,0.9999999480834626,144
vi,combined,25.0,78.11688218315112,2.8426330982162664,0.9999998714809282,150
vi,combined,50.0,78.0577289403014,2.8420428246766525,0.9999993294712763,150
vi,combined,100.0,77.90590753337759,2.860728922518751,0.9999959439921424,150
vi,oracle,0.0,78.13754480117441,2.8428921168741876,1.0,150
vi,rotation,0.25,78.13754480117404,2.8428921168741894,0.9999999999998364,150
vi,rotation,0.5,78.13754480117404,2.842892116874191,0.9999999999998364,150
vi,rotation,1.0,78.13754480117365,2.842892116874183,0.9999999999998361,150
vi,rotation,2.0,78.13754480117393,2.842892116874188,0.9999999999998361,150
vi,translation,10.0,78.1225087369292,2.843173323356175,0.9999999716820647,150
vi,translation,25.0,78.11688218315106,2.8426330982162664,0.999999871480928,150
vi,translation,50.0,78.0577289403012,2.842042824676657,0.9999993294712763,150
vi,translation,100.0,77.90590753337793,2.8607289225187618,0.9999959439921424,150
