method,et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,iters,traj,order,scan,view,ndist,in_support,nearest_d
M0_raw_p2p,95.99954471591228,2.0936156585348384,0.042619229577616685,0.0058324875924864504,0.0036654417234716526,40,iii,0,0,oracle,2.412317086013498,False,2.412317086013498
M1_raw_p2l,98.01468565429487,2.209862321176959,0.036358695038908206,0.0058324875924864504,0.003674027291935484,40,iii,0,0,oracle,2.412317086013498,False,2.412317086013498
M2_raw_huber,82.41074941765012,1.8625601894657668,0.01957941099893075,0.0058324875924864504,0.0038217571164824247,40,iii,0,0,oracle,2.412317086013498,False,2.412317086013498
M3_global_corr,91.38004173182951,2.0868295742100984,0.041115421901997545,0.0058324875924864504,0.003782200033816001,40,iii,0,0,oracle,2.412317086013498,False,2.412317086013498
M4_patch_corr,68.08275633200306,2.64289799074154,0.020117513302299127,0.0058324875924864504,0.004503005905296867,40,iii,0,0,oracle,2.412317086013498,False,2.412317086013498
M5_full_corr,39.28144758507521,2.088066296704506,0.010167525021207128,0.0058324875924864504,0.00516010605955627,40,iii,0,0,oracle,2.412317086013498,False,2.412317086013498
M0_raw_p2p,98.42020889491306,2.0111238394018476,0.04283326417233546,0.006232924138833936,0.003956681471582111,40,iii,1,1,oracle,2.411303360132923,False,2.411303360132923
M1_raw_p2l,100.82918317067355,2.2024428436282792,0.040066342606192566,0.006232924138833936,0.003963110161554821,19,iii,1,1,oracle,2.411303360132923,False,2.411303360132923
M2_raw_huber,82.23684481533029,1.7469204326549825,0.019898962964167818,0.006232924138833936,0.004139872108895801,40,iii,1,1,oracle,2.411303360132923,False,2.411303360132923
M3_global_corr,93.09176260001183,2.0149764027254173,0.04120221918925641,0.006232924138833936,0.004081623817628709,40,iii,1,1,oracle,2.411303360132923,False,2.411303360132923
M4_patch_corr,69.82763907955827,2.913050147467719,0.0207080759379592,0.006232924138833936,0.0047299174902462994,40,iii,1,1,oracle,2.411303360132923,False,2.411303360132923
M5_full_corr,40.43283357491371,2.400063893260692,0.009579515687587055,0.006232924138833936,0.005401841561223879,40,iii,1,1,oracle,2.411303360132923,False,2.411303360132923
M0_raw_p2p,100.92541261307326,2.363968757235463,0.043895617790299955,0.006723909676564291,0.0043390262943410595,39,iii,2,2,oracle,2.410787416132602,False,2.410787416132602
M1_raw_p2l,103.34949658703017,2.68489630994411,0.04195955633742713,0.006723909676564291,0.0043492699110685065,26,iii,2,2,oracle,2.410787416132602,False,2.410787416132602
M2_raw_huber,83.42101316089811,1.86314024838388,0.019999118591938057,0.006723909676564291,0.004558061550533096,40,iii,2,2,oracle,2.410787416132602,False,2.410787416132602
M3_global_corr,94.5637407184134,2.336752199611655,0.04135784187617866,0.006723909676564291,0.0044304110916965475,37,iii,2,2,oracle,2.410787416132602,False,2.410787416132602
M4_patch_corr,74.03171876816712,2.8659924760129503,0.021446329669355224,0.006723909676564291,0.005056203844013029,40,iii,2,2,oracle,2.410787416132602,False,2.410787416132602
M5_full_corr,46.37099247916504,2.38601815760103,0.010635375827422282,0.006723909676564291,0.005761125791299118,40,iii,2,2,oracle,2.410787416132602,False,2.410787416132602
M0_raw_p2p,103.43658297443832,2.208967320236248,0.04451183616234163,0.007141769329905736,0.004657534865165343,40,iii,3,3,oracle,2.4104424244366762,False,2.4104424244366762
M1_raw_p2l,106.27442464787259,2.4035132617128374,0.040834343027117095,0.007141769329905736,0.004671553271434668,40,iii,3,3,oracle,2.4104424244366762,False,2.4104424244366762
M2_raw_huber,83.99655571260178,1.7929391909092292,0.02077564585329624,0.007141769329905736,0.004893565529958791,40,iii,3,3,oracle,2.4104424244366762,False,2.4104424244366762
M3_global_corr,97.11543018481456,2.211900455062197,0.04141230060766952,0.007141769329905736,0.004772416556071164,40,iii,3,3,oracle,2.4104424244366762,False,2.4104424244366762
