geometry,dtype,mag,form,n,et_med,et_lo,et_hi,eR_med,eR_lo,eR_hi,grad_med,grad_lo,grad_hi,on_bound
GA,CTRL_random_noise,2.0,huber,20,0.0247878623739246,0.0181628612023262,0.03096216021917705,0.00230066279637515,0.0017597821098812,0.00309589247758895,2.2736023128258762e-05,1.8822741065723357e-05,2.5209572712091034e-05,0.0
GA,CTRL_random_noise,2.0,ls,20,0.0247878623739246,0.0181628612023262,0.03096216021917705,0.00230066279637515,0.0017597821098812,0.00309589247758895,4.547196406059952e-05,3.764558175487818e-05,5.041913052712854e-05,0.0
GA,CTRL_random_noise,2.0,trim,20,0.024505383219354852,0.0212714802001739,0.03370413465797405,0.00195911375333565,0.0017809243626438,0.0027875368661305,,,,0.0
GA,CTRL_random_noise,5.0,huber,20,0.07424215336058965,0.05117034853911675,0.0806090611651194,0.0039438191367307494,0.00271290201072375,0.0047894448660383004,4.665193532610066e-05,3.6950762441170966e-05,5.2672186056352765e-05,0.0
GA,CTRL_random_noise,5.0,ls,20,0.074336600528717,0.05149854739043291,0.08063048692977551,0.00394415655581015,0.00269484569108185,0.0048080618632431495,9.48589388558336e-05,7.468008735222065e-05,0.00010620044892395,0.0
GA,CTRL_random_noise,5.0,trim,20,0.05831674192444795,0.04574345331567375,0.0798992856482352,0.004474419385444401,0.0033122320650334,0.0057440487065682,,,,0.0
GA,CTRL_random_noise,10.0,huber,20,0.1405999775321588,0.12025957531686765,0.21184186172715053,0.00451457623590085,0.0039616634982774,0.008501166982985801,8.765671669705509e-05,8.093990780651448e-05,0.00010561063902715523,0.0
GA,CTRL_random_noise,10.0,ls,20,0.1717146521013212,0.12635990359201243,0.23286237012626754,0.005145899903575,0.004259920011305,0.00887297747943665,0.00018808937582565001,0.0001721324663949,0.00024179348976570002,0.0
GA,CTRL_random_noise,10.0,trim,20,0.12930541289599207,0.09313410639584,0.19732649821002904,0.0050166031538789995,0.0039026473820377,0.00900308072870085,,,,0.0
GA,CTRL_random_noise,25.0,huber,20,1.345267712204012,0.9433576262844712,1.5300021339097358,0.02814341728881355,0.01993187137357975,0.04244122930450377,0.00031985659118895,0.00030876052164910005,0.0003528776100999,0.0
GA,CTRL_random_noise,25.0,ls,20,1.5660600596979801,1.3366761189011687,1.7573367351116462,0.03146734655005645,0.019865965249328,0.0386477935472125,0.00077868318103385,0.0006806483080295,0.0008474901899868,0.0
GA,CTRL_random_noise,25.0,trim,20,1.1247667555438565,0.7079230483151657,1.325792970398707,0.0325389933134343,0.0247218658446861,0.0399852848996291,,,,0.0
GA,CTRL_random_noise,50.0,huber,20,5.912287297031569,5.178861514179006,6.598499951516347,0.07143368836070625,0.0550964713359445,0.0928808854760327,0.0011180117970597502,0.0009673732769858499,0.0011870513516822544,0.0
GA,CTRL_random_noise,50.0,ls,20,6.132957732117472,5.194458362810592,6.697493784781078,0.06316820575940245,0.0531228078156956,0.08079069337433556,0.0026089516001424,0.002493282752252,0.00281025939027725,0.0
GA,CTRL_random_noise,50.0,trim,20,5.283618087638702,4.680968651949122,5.919890963047611,0.10118730470460524,0.0780419323492619,0.12016450908954476,,,,0.0
GA,CTRL_random_noise,100.0,huber,20,21.713787745209935,17.698142782813186,22.42900797613924,0.1145976568020288,0.09185850760263958,0.1831410849414811,0.0040539479425964,0.00381293891569955,0.0043468260282156,0.0
GA,CTRL_random_noise,100.0,ls,20,22.55151272376019,18.79247695382403,23.34744438541134,0.14129324573925983,0.11164842054347757,0.18848160552389634,0.0098449109796308,0.00954492572400095,0.010423818890966049,0.0
