geometry,dtype,mag,unit,rep,kind,form,grad_gt,et_mm,eR_deg,J0,Jstar,dJ,on_bound,n_obs,condition
GA,D1_appendage_disp,0.0,mm,0,p2p,ls,3.857862098183658e-05,0.013198271865526833,0.0026889806644310246,1.196270943574374e-05,1.1961493901888224e-05,1.2155338555155611e-09,0,38358,structured
GA,D1_appendage_disp,0.0,mm,0,p2p,huber,1.9289310490918405e-05,0.013198271865526833,0.0026889806644310246,5.981354717871869e-06,1.1961493901888224e-05,-5.980139184016355e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,0,p2p,trim,,0.021792390046330445,0.002070683682520157,8.061640017572727e-06,8.060877773539247e-06,7.622440334797205e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,0,p2l,ls,2.3302857944823005e-05,0.018878848762363596,0.006719335628912211,3.9796650365994715e-06,3.97909492159543e-06,5.701150040417812e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,1,p2p,ls,3.13654488522125e-05,0.01690076268815702,0.0015869317239218237,1.1956505280329445e-05,1.1955907109592725e-05,5.981707367200062e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,1,p2p,huber,1.5682724426106223e-05,0.01690076268815702,0.0015869317239218237,5.978252640164722e-06,1.1955907109592725e-05,-5.9776544694280035e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,1,p2p,trim,,0.01960669030294206,0.0021541298592503157,8.098280381298278e-06,8.097141032677225e-06,1.1393486210537547e-09,0,38358,structured
GA,D1_appendage_disp,0.0,mm,1,p2l,ls,2.1191383378518345e-05,0.0451609628098745,0.0010344195725417206,3.9630501986698e-06,3.962576718525766e-06,4.734801440343275e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,2,p2p,ls,3.022849880666246e-05,0.009952660249290654,0.0006033414279818161,1.1911515468700816e-05,1.1911304872635377e-05,2.1059606543955987e-10,0,32274,structured
GA,D1_appendage_disp,0.0,mm,2,p2p,huber,1.5114249403330873e-05,0.009952660249290654,0.0006033414279818161,5.955757734350407e-06,1.1911304872635377e-05,-5.9555471382849695e-06,0,32274,structured
GA,D1_appendage_disp,0.0,mm,2,p2p,trim,,0.014041430109681898,0.0012661130612487666,8.04141009941839e-06,8.040842694382364e-06,5.674050360250204e-10,0,32274,structured
GA,D1_appendage_disp,0.0,mm,2,p2l,ls,2.3230835140870223e-05,0.19333990518400693,0.004479874560554356,4.022787346634077e-06,4.02222101105185e-06,5.663355822275822e-10,0,32274,structured
GA,D1_appendage_disp,0.0,mm,3,p2p,ls,2.8562488588095016e-05,0.01476475401969894,0.0010835236191349535,1.2033946760332323e-05,1.203349219877927e-05,4.545615530524369e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,3,p2p,huber,1.428124429404735e-05,0.01476475401969894,0.0010835236191349535,6.0169733801661605e-06,1.203349219877927e-05,-6.01651881861311e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,3,p2p,trim,,0.014534127744769207,0.001715527387284389,8.104952843577713e-06,8.104416610013144e-06,5.36233564569347e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,3,p2l,ls,1.6307144344376924e-05,0.007876404917803413,0.0033357791576482726,3.953787703785609e-06,3.953629474482262e-06,1.5822930334664285e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,4,p2p,ls,5.546001429535204e-05,0.03663793946760717,0.0027159912487883403,1.1920485673040163e-05,1.1918669376756628e-05,1.8162962835353418e-09,0,38358,structured
GA,D1_appendage_disp,0.0,mm,4,p2p,huber,2.7730007147675823e-05,0.03663793946760717,0.0027159912487883403,5.960242836520082e-06,1.1918669376756628e-05,-5.958426540236546e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,4,p2p,trim,,0.0452422488034688,0.002362352729500924,8.043986755929864e-06,8.04195565543128e-06,2.031100498584655e-09,0,38358,structured
GA,D1_appendage_disp,0.0,mm,4,p2l,ls,3.0340852728031904e-05,0.03742298484897944,0.0036572709664430695,4.006933762421097e-06,4.0061401036784395e-06,7.93658742657872e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,5,p2p,ls,5.732739529070785e-05,0.030928660934718834,0.0015548998525649182,1.201234407625477e-05,1.2010836432784256e-05,1.5076434705138764e-09,0,32274,structured
GA,D1_appendage_disp,0.0,mm,5,p2p,huber,2.8663697645353755e-05,0.030928660934718834,0.0015548998525649182,6.006172038127386e-06,1.2010836432784256e-05,-6.00466439465687e-06,0,32274,structured
GA,D1_appendage_disp,0.0,mm,5,p2p,trim,,0.03643693492996325,0.0007039527830265659,8.117712436826324e-06,8.11659276930861e-06,1.1196675177134815e-09,0,32274,structured
GA,D1_appendage_disp,0.0,mm,5,p2l,ls,4.848950262620595e-05,0.24940771293902486,0.004029564591937342,4.075555075461953e-06,4.07442714309941e-06,1.1279323625436276e-09,0,32274,structured
GA,D1_appendage_disp,0.0,mm,6,p2p,ls,1.7568256737803565e-05,0.009012001318707915,0.0011878072222674116,1.1895754301993458e-05,1.1895296195027637e-05,4.58106965820534e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,6,p2p,huber,8.784128368901769e-06,0.009012001318707915,0.0011878072222674116,5.947877150996728e-06,1.1895296195027637e-05,-5.947419044030909e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,6,p2p,trim,,0.010196636984137511,0.0011819271399169504,8.030128940369447e-06,8.02972437672752e-06,4.0456364192705473e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,6,p2l,ls,1.067621823740396e-05,0.017774757338440555,0.003275287985796748,3.956013553084484e-06,3.95571882992764e-06,2.9472315684449994e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,7,p2p,ls,2.9554642993188345e-05,0.023724655243557827,0.0011761027730468495,1.1996668809524496e-05,1.1995837003487839e-05,8.318060366574963e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,7,p2p,huber,1.4777321496594338e-05,0.023724655243557827,0.0011761027730468495,5.998334404762249e-06,1.1995837003487839e-05,-5.99750259872559e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,7,p2p,trim,,0.02473296818063682,0.0011487542877814207,8.101636432981358e-06,8.100915279466397e-06,7.211535149611144e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,7,p2l,ls,2.1673333187879722e-05,0.019872629705399852,0.007963085958205121,3.981095574259312e-06,3.981176979752316e-06,-8.140549300409127e-11,0,38358,structured
GA,D1_appendage_disp,0.0,mm,8,p2p,ls,4.161943276743814e-05,0.04737870099321798,0.0015581534750270963,1.1882133413213612e-05,1.1879885877807899e-05,2.2475354057125975e-09,0,32274,structured
GA,D1_appendage_disp,0.0,mm,8,p2p,huber,2.0809716383718633e-05,0.04737870099321798,0.0015581534750270963,5.941066706606804e-06,1.1879885877807899e-05,-5.938819171201095e-06,0,32274,structured
GA,D1_appendage_disp,0.0,mm,8,p2p,trim,,0.04869962259483127,0.002765180065714022,8.0149282670927e-06,8.01264613032896e-06,2.2821367637411904e-09,0,32274,structured
GA,D1_appendage_disp,0.0,mm,8,p2l,ls,1.1060202009361171e-05,0.086383009347431,0.0037470264214640794,3.946681680369394e-06,3.946376566082082e-06,3.05114287312244e-10,0,32274,structured
GA,D1_appendage_disp,0.0,mm,9,p2p,ls,2.379155069927157e-05,0.018476702106984527,0.0012243240070587706,1.201493499563152e-05,1.2014235318660239e-05,6.996769712816053e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,9,p2p,huber,1.1895775349635735e-05,0.018476702106984527,0.0012243240070587706,6.00746749781576e-06,1.2014235318660239e-05,-6.006767820844479e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,9,p2p,trim,,0.018104886922732513,0.0011887797486396963,8.122365745920965e-06,8.121771481534984e-06,5.942643859810457e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,9,p2l,ls,2.081005970640917e-05,0.040303969891078435,0.004352919637224831,3.9845201415638044e-06,3.983957898960094e-06,5.622426037105369e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,10,p2p,ls,3.9239750359685344e-05,0.01581849096971185,0.00118994814857691,1.1936715694666597e-05,1.1936194012430001e-05,5.216822365956987e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,10,p2p,huber,1.9619875179842825e-05,0.01581849096971185,0.00118994814857691,5.968357847333298e-06,1.1936194012430001e-05,-5.967836165096704e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,10,p2p,trim,,0.020438567958129827,0.0012080581426152977,8.083412243753953e-06,8.082818256327658e-06,5.939874262955269e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,10,p2l,ls,2.3723466833295084e-05,0.04584817206349813,0.0024678162165993893,3.9778650923607256e-06,3.977410681877621e-06,4.54410483104226e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,11,p2p,ls,2.5947702738773894e-05,0.012135118863342365,0.0009012631714810404,1.1974791022293461e-05,1.1974418634430779e-05,3.723878626826478e-10,0,32274,structured
GA,D1_appendage_disp,0.0,mm,11,p2p,huber,1.2973851369387073e-05,0.012135118863342365,0.0009012631714810404,5.987395511146731e-06,1.1974418634430779e-05,-5.987023123284048e-06,0,32274,structured
GA,D1_appendage_disp,0.0,mm,11,p2p,trim,,0.012232777080385872,0.0007868237279760372,8.075243999640728e-06,8.074946913057385e-06,2.9708658334273686e-10,0,32274,structured
GA,D1_appendage_disp,0.0,mm,11,p2l,ls,1.70391069707365e-05,0.27083472947081605,0.008197899376796252,4.061343679081521e-06,4.060361327308767e-06,9.823517727537739e-10,0,32274,structured
GA,D1_appendage_disp,0.0,mm,12,p2p,ls,2.1126671214211332e-05,0.024610913956844744,0.0007972441386432751,1.1926883277286806e-05,1.192617264869295e-05,7.106285938555002e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,12,p2p,huber,1.056333560710529e-05,0.024610913956844744,0.0007972441386432751,5.963441638643401e-06,1.192617264869295e-05,-5.962731010049549e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,12,p2p,trim,,0.026915532232775458,0.001906978148397811,8.069223871273252e-06,8.067668176064156e-06,1.555695209095188e-09,0,38358,structured
GA,D1_appendage_disp,0.0,mm,12,p2l,ls,1.3429011872954064e-05,0.01838194913998371,0.004175929824273756,3.979801630883197e-06,3.979510459291656e-06,2.911715915407821e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,13,p2p,ls,2.4980604391451086e-05,0.02138282439781889,0.0006820267796160149,1.2069435338071679e-05,1.2068864901583484e-05,5.704364881945905e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,13,p2p,huber,1.2490302195725338e-05,0.02138282439781889,0.0006820267796160149,6.0347176690358384e-06,1.2068864901583484e-05,-6.0341472325476455e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,13,p2p,trim,,0.013568995994561565,0.0014123229225563693,8.150396754497574e-06,8.149978020127688e-06,4.187343698861722e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,13,p2l,ls,2.197005630967947e-05,0.03091557134481382,0.0063947466126675345,4.036727214724594e-06,4.036014455794129e-06,7.127589304645909e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,14,p2p,ls,3.388218930708007e-05,0.020867658077560528,0.0013323000240017104,1.1979663246637531e-05,1.1978476601468446e-05,1.186645169084537e-09,0,32274,structured
