trajectory,n_frames,raw_translation_median_mm,patch_translation_median_mm,raw_rotation_median_deg,patch_rotation_median_deg,paired_translation_benefit_mm,translation_improved_frac,paired_rotation_change_deg,patch_boundary_trigger_rate,n_blocks,trans_benefit_blockCI,rot_change_blockCI,config,patch_count
VI,501,161.4078916359028,120.8884726463731,4.509032326167583,4.122076847284395,38.626874957469525,1.0,-0.1470474553453558,0.0,6,"(35.941, 39.841)","(-0.251, -0.015)",k12,12
IV,156,160.423862077838,128.70607588822367,4.006055547406119,3.492550443563679,31.50883705997626,1.0,-0.4435832654225733,0.0,4,"(23.342, 34.909)","(-0.776, -0.34)",k12,12
II,428,66.14920168537466,46.846334625798704,1.7742670258913975,1.3591047632850315,20.00073786950531,0.9065420560747663,-0.35268801258910165,0.07009345794392523,9,"(8.123, 30.573)","(-0.964, 0.14)",k12,12
III,371,75.03685823906689,35.90435796708241,1.6582788034687348,1.8346269541306177,27.731827425330778,1.0,-0.0023606277525325403,0.0,8,"(23.7, 38.764)","(-0.903, 0.949)",k12,12
VI,501,161.4078916359028,115.53807974649737,4.509032326167583,4.548432583663639,46.04265508984075,1.0,0.13902242194513725,0.0,6,"(44.831, 47.271)","(-0.028, 0.36)",k18,18
IV,156,160.423862077838,122.86337351134821,4.006055547406119,3.8672943122998182,34.763690264195525,1.0,-0.17279962820965622,0.0,4,"(24.497, 38.602)","(-0.393, 0.247)",k18,18
II,428,66.14920168537466,44.24774431959982,1.7742670258913975,1.4076512880191214,22.311629642934463,0.9228971962616822,-0.4407530223673416,0.07242990654205607,9,"(12.275, 37.442)","(-0.627, -0.224)",k18,18
III,371,75.03685823906689,31.448006230116675,1.6582788034687348,2.354128732374981,33.548430764419166,1.0,0.33298374049176704,0.0,8,"(26.625, 42.996)","(-0.368, 1.114)",k18,18
VI,501,161.4078916359028,116.81527871617058,4.509032326167583,4.66731556808484,43.5102795086748,1.0,0.28057350638390943,0.0,6,"(41.932, 45.003)","(0.007, 0.512)",k24,24
IV,156,160.423862077838,126.26002467918383,4.006055547406119,4.0003627437297276,33.63070095666989,0.9935897435897436,-0.005688574583138761,0.0,4,"(24.5, 36.974)","(-0.23, 0.201)",k24,24
II,428,66.14920168537466,41.77723740078632,1.7742670258913975,1.2694027224561912,19.1030687120173,0.927570093457944,-0.38938717153810126,0.07009345794392523,9,"(11.89, 30.114)","(-0.874, -0.057)",k24,24
III,371,75.03685823906689,41.29782690845897,1.6582788034687348,2.1160235589767638,28.929768382518283,0.9946091644204852,0.1939536888455855,0.0,8,"(21.143, 38.589)","(-0.217, 0.815)",k24,24
VI,501,161.4078916359028,108.20059470464261,4.509032326167583,4.522505420867474,52.47158763258638,1.0,0.14101484548827337,0.001996007984031936,6,"(49.656, 54.561)","(-0.002, 0.306)",k32,32
IV,156,160.423862077838,122.34619198541675,4.006055547406119,4.080737738623524,36.81674792287394,1.0,0.04004090660883497,0.0,4,"(22.159, 42.618)","(-0.087, 0.102)",k32,32
II,428,66.14920168537466,48.988587578971874,1.7742670258913975,1.7374074637579031,24.33674331600117,0.7780373831775701,0.0,0.06775700934579439,9,"(1.693, 38.53)","(-0.426, 0.294)",k32,32
III,371,75.03685823906689,33.69414542038127,1.6582788034687348,2.1635683332670297,31.61065205949327,0.9919137466307277,0.36366376004154244,0.0,8,"(18.349, 44.059)","(0.11, 0.581)",k32,32
VI,501,161.4078916359028,103.71960959790765,4.509032326167583,4.634911631540682,56.803703452490566,1.0,0.3002505357359091,0.001996007984031936,6,"(53.175, 58.797)","(0.158, 0.401)",k48,48
IV,156,160.423862077838,119.23538840690887,4.006055547406119,4.22353526435351,40.607024942709806,1.0,0.2484297676703282,0.0,4,"(18.548, 43.979)","(-0.142, 0.366)",k48,48
II,428,66.14920168537466,50.43704594153577,1.7742670258913975,1.6092649199152016,14.54502095536839,0.7313084112149533,-0.13487461891786467,0.07242990654205607,9,"(0.0, 25.228)","(-0.593, 0.025)",k48,48
III,371,75.03685823906689,40.02933036405415,1.6582788034687348,2.274878302724835,23.232023102660648,0.9380053908355795,0.46828842943885096,0.0,8,"(11.337, 41.452)","(-0.314, 1.061)",k48,48
