trajectory,n_frames,raw_translation_median_mm,patch_translation_median_mm,raw_rotation_median_deg,patch_rotation_median_deg,paired_translation_benefit_mm,translation_improved_frac,paired_rotation_change_deg,patch_boundary_trigger_rate,n_blocks,trans_benefit_blockCI,rot_change_blockCI,config,normal_weight
VI,501,161.4078916359028,122.67914538859144,4.509032326167583,4.53254231458579,39.07506637578689,1.0,0.1741888111177472,0.0,6,"(36.69, 40.779)","(0.042, 0.347)",w000,0.0
IV,156,160.423862077838,130.0278531493376,4.006055547406119,3.795145528020061,31.775004605203584,1.0,-0.14972624616632313,0.0,4,"(24.649, 34.628)","(-0.401, 0.028)",w000,0.0
II,428,66.14920168537466,47.57196012120952,1.7742670258913975,1.3588440123337144,19.083033415320337,0.8691588785046729,-0.37260698212736865,0.07009345794392523,9,"(8.836, 33.007)","(-0.643, -0.008)",w000,0.0
III,371,75.03685823906689,37.169674880206095,1.6582788034687348,1.8848668139251363,32.19865900293103,1.0,0.06584167674880814,0.0,8,"(23.84, 40.255)","(-0.706, 0.491)",w000,0.0
VI,501,161.4078916359028,121.84942691172503,4.509032326167583,4.232598269794708,39.08585876241197,1.0,-0.20310549770944064,0.0,6,"(37.343, 40.614)","(-0.348, -0.006)",w015,0.15
IV,156,160.423862077838,127.80747467552823,4.006055547406119,3.595076355251654,32.91960660514337,1.0,-0.40987417734924025,0.0,4,"(26.501, 34.57)","(-0.589, -0.172)",w015,0.15
II,428,66.14920168537466,46.96019234217904,1.7742670258913975,1.0833508254961135,17.9310267938801,0.8878504672897196,-0.6580873774645896,0.07009345794392523,9,"(8.899, 31.666)","(-0.909, -0.257)",w015,0.15
III,371,75.03685823906689,38.74635148974165,1.6582788034687348,1.8760804183845246,31.376692317685357,1.0,0.13514424953284898,0.0,8,"(26.706, 38.678)","(-0.947, 0.75)",w015,0.15
VI,501,161.4078916359028,116.81527871617058,4.509032326167583,4.66731556808484,43.5102795086748,1.0,0.28057350638390943,0.0,6,"(41.932, 45.003)","(0.007, 0.512)",w030,0.3
IV,156,160.423862077838,126.26002467918383,4.006055547406119,4.0003627437297276,33.630700956669884,0.9935897435897436,-0.005688574583138761,0.0,4,"(24.5, 36.974)","(-0.23, 0.201)",w030,0.3
II,428,66.14920168537466,41.77723740078632,1.7742670258913975,1.2694027224561912,19.1030687120173,0.927570093457944,-0.38938717153810126,0.07009345794392523,9,"(11.89, 30.114)","(-0.874, -0.057)",w030,0.3
III,371,75.03685823906689,41.29782690845897,1.6582788034687348,2.116023558976764,28.929768382518283,0.9946091644204852,0.1939536888455855,0.0,8,"(21.143, 38.589)","(-0.217, 0.815)",w030,0.3
VI,501,161.4078916359028,103.67667632363334,4.509032326167583,4.597179639371587,56.207898026537165,1.0,0.23222071352194096,0.001996007984031936,6,"(52.733, 58.691)","(0.065, 0.39)",w060,0.6
IV,156,160.423862077838,115.66989789927896,4.006055547406119,4.190157698031184,40.74680439746667,1.0,0.19375777275215955,0.0,4,"(23.554, 46.884)","(0.113, 0.237)",w060,0.6
II,428,66.14920168537466,48.85489021756971,1.7742670258913975,1.6266298503672902,18.390581512516786,0.8014018691588785,-0.08641479479479813,0.07242990654205607,9,"(3.404, 30.372)","(-0.336, 0.0)",w060,0.6
III,371,75.03685823906689,37.285969644316104,1.6582788034687348,2.337348480044111,27.536804994141313,0.9838274932614556,0.31960761281824057,0.0,8,"(14.288, 44.826)","(0.016, 0.995)",w060,0.6
VI,501,161.4078916359028,102.51895880518519,4.509032326167583,4.436126740824419,57.66428061752431,1.0,-0.007420119767910016,0.0,6,"(54.539, 60.413)","(-0.091, 0.089)",w100,1.0
IV,156,160.423862077838,115.15457802902498,4.006055547406119,4.076700491680034,41.90507976732108,1.0,0.09568722825603215,0.0,4,"(21.276, 47.274)","(0.078, 0.149)",w100,1.0
II,428,66.14920168537466,48.43654972055184,1.7742670258913975,1.6254233972264474,22.20297103711721,0.7967289719626168,-0.177172214735768,0.07242990654205607,9,"(4.539, 27.999)","(-0.398, 0.0)",w100,1.0
III,371,75.03685823906689,37.16747514745277,1.6582788034687348,2.098988042211026,26.40039261964631,0.9892183288409704,0.3001308501260529,0.0,8,"(15.906, 44.451)","(0.06, 0.731)",w100,1.0
