trajectory,n_frames,raw_translation_median_mm,patch_translation_median_mm,raw_rotation_median_deg,patch_rotation_median_deg,paired_translation_benefit_mm,translation_improved_frac,paired_rotation_change_deg,patch_boundary_trigger_rate,n_blocks,trans_benefit_blockCI,rot_change_blockCI,config,clustering_seed
VI,501,161.4078916359028,117.5060187225603,4.509032326167583,4.559906660166461,43.160998265174385,1.0,0.10891763858090453,0.0,6,"(41.815, 44.51)","(-0.117, 0.299)",s0,0
IV,156,160.423862077838,125.25963103046959,4.006055547406119,4.055618246346784,33.402952435417106,1.0,-0.055337483167880785,0.0,4,"(24.218, 37.488)","(-0.072, -0.031)",s0,0
II,428,66.14920168537466,45.03024606889525,1.7742670258913975,1.5120084744909188,27.696292250299,0.9088785046728972,-0.22084375368962628,0.07009345794392523,9,"(11.088, 40.216)","(-0.599, 0.0)",s0,0
III,371,75.03685823906689,31.736087644558765,1.6582788034687348,2.400182913168818,30.58188095418683,1.0,0.5308173799814522,0.0,8,"(24.729, 40.504)","(0.049, 1.191)",s0,0
VI,501,161.4078916359028,114.26653393555567,4.509032326167583,4.225083027997321,47.398793320988034,1.0,-0.21307516818451422,0.0,6,"(46.389, 48.639)","(-0.312, -0.125)",s1,1
IV,156,160.423862077838,122.3433356066688,4.006055547406119,3.876578508371515,36.50913227830643,1.0,-0.14251705007786808,0.0,4,"(26.698, 40.372)","(-0.179, -0.106)",s1,1
II,428,66.14920168537466,42.69105764614285,1.7742670258913975,1.384667420773681,21.685511397633164,0.9299065420560748,-0.37569191433720195,0.07009345794392523,9,"(11.298, 39.501)","(-0.672, -0.174)",s1,1
III,371,75.03685823906689,28.604885795869585,1.6582788034687348,1.9193587407025414,34.80402011975811,0.9919137466307277,0.1360381584355117,0.0,8,"(24.931, 44.689)","(-0.299, 0.391)",s1,1
VI,501,161.4078916359028,113.03484556982676,4.509032326167583,4.69199161864585,47.94791071903222,1.0,0.338005720708793,0.0,6,"(46.042, 50.606)","(0.213, 0.454)",s2,2
IV,156,160.423862077838,125.09328752290946,4.006055547406119,4.20032067594841,33.99935827227971,1.0,0.18148602737082742,0.0,4,"(25.649, 39.473)","(0.068, 0.292)",s2,2
II,428,66.14920168537466,45.88227295936485,1.7742670258913975,1.5561556539787993,22.874554438698837,0.8925233644859814,-0.2777389334542294,0.06542056074766354,9,"(7.281, 36.093)","(-0.621, 0.112)",s2,2
III,371,75.03685823906689,34.22663956881047,1.6582788034687348,2.374247866318742,26.575041187687024,0.9973045822102425,0.6437977769857297,0.0,8,"(18.397, 43.086)","(-0.153, 1.347)",s2,2
VI,501,161.4078916359028,116.81527871617058,4.509032326167583,4.66731556808484,43.5102795086748,1.0,0.28057350638390943,0.0,6,"(41.932, 45.003)","(0.007, 0.512)",s42,42
IV,156,160.423862077838,126.26002467918383,4.006055547406119,4.0003627437297276,33.630700956669884,0.9935897435897436,-0.005688574583138761,0.0,4,"(24.5, 36.974)","(-0.23, 0.201)",s42,42
II,428,66.14920168537466,41.77723740078632,1.7742670258913975,1.2694027224561912,19.1030687120173,0.927570093457944,-0.38938717153810126,0.07009345794392523,9,"(11.89, 30.114)","(-0.874, -0.057)",s42,42
III,371,75.03685823906689,41.29782690845897,1.6582788034687348,2.116023558976764,28.929768382518283,0.9946091644204852,0.1939536888455855,0.0,8,"(21.143, 38.589)","(-0.217, 0.815)",s42,42
VI,501,161.4078916359028,112.03152972079374,4.509032326167583,4.603860074493194,48.084991199791176,1.0,0.18326972581457035,0.0,6,"(46.002, 49.853)","(-0.013, 0.364)",s20240910,20240910
IV,156,160.423862077838,120.61004667351835,4.006055547406119,4.076666198689392,35.963709010226125,1.0,0.061536175656035086,0.0,4,"(26.043, 41.031)","(-0.052, 0.182)",s20240910,20240910
II,428,66.14920168537466,45.700246214601485,1.7742670258913975,1.5020085494055015,27.695583469270893,0.8434579439252337,-0.31802775092585533,0.06542056074766354,9,"(7.322, 39.188)","(-0.593, -0.063)",s20240910,20240910
III,371,75.03685823906689,33.59496902456785,1.6582788034687348,2.4899837343654094,33.330917622887206,0.9946091644204852,0.4831742202674967,0.0,8,"(23.901, 43.953)","(-0.008, 1.17)",s20240910,20240910
